"lon","lat","species.name"
-100.25401,25.664085,"Adelpha   basiloides"
-100.206828,25.632414,"Adelpha   basiloides"
-100.270845,25.549392,"Adelpha   basiloides"
-100.2257,25.551505,"Adelpha   basiloides"
-100.270867,25.547317,"Adelpha   basiloides"
-100.270419,25.549862,"Adelpha   basiloides"
-100.060735,25.225785,"Adelpha   basiloides"
-100.144493,25.30201,"Adelpha   basiloides"
-100.27671,25.532318,"Adelpha   basiloides"
-100.360628,25.618056,"Adelpha   basiloides"
-100.270798,25.548653,"Adelpha   basiloides"
-100.269806,25.549828,"Adelpha   basiloides"
-100.359047,25.618903,"Adelpha   basiloides"
-100.22612,25.551628,"Adelpha   basiloides"
-100.273125,25.552547,"Adelpha   basiloides"
-100.255363,25.662794,"Adelpha   basiloides"
-100.270866,25.547924,"Adelpha   basiloides"
-100.210606,25.628818,"Adelpha   basiloides"
-100.255058,25.661203,"Adelpha   basiloides"
-100.254738,25.663345,"Adelpha   basiloides"
-100.155315,25.469544,"Adelpha   basiloides"
-100.208755,25.630463,"Adelpha   basiloides"
-100.208799,25.630403,"Adelpha   basiloides"
-100.207973,25.630906,"Adelpha   basiloides"
-100.27057,25.549634,"Adelpha   basiloides"
-100.360241,25.618744,"Adelpha   basiloides"
-98.36552,26.179529,"Adelpha   basiloides"
-100.270842,25.54771,"Adelpha   basiloides"
-100.271233,25.542632,"Adelpha   basiloides"
-100.160487,25.367091,"Adelpha   basiloides"
-100.270849,25.545839,"Adelpha   basiloides"
-100.269148,25.550771,"Adelpha   basiloides"
-99.7859,25.107984,"Adelpha   basiloides"
-100.270813,25.547634,"Adelpha   basiloides"
-100.270968,25.548582,"Adelpha   basiloides"
-100.207291,25.639198,"Adelpha   basiloides"
-100.270886,25.547669,"Adelpha   basiloides"
-100.207497,25.631107,"Adelpha   basiloides"
-100.270972,25.547345,"Adelpha   basiloides"
-100.270962,25.550805,"Adelpha   basiloides"
-98.366518,26.179819,"Adelpha   basiloides"
-98.366566,26.179827,"Adelpha   basiloides"
-100.208847,25.630508,"Adelpha   basiloides"
-100.134634,25.398623,"Adelpha   basiloides"
-98.365531,26.177165,"Adelpha   basiloides"
-100.208008,25.631096,"Adelpha   basiloides"
-100.270387,25.549856,"Adelpha   basiloides"
-100.270342,25.549832,"Adelpha   basiloides"
-100.270348,25.550095,"Adelpha   basiloides"
-100.270632,25.549472,"Adelpha   basiloides"
-100.266659,25.555006,"Adelpha   basiloides"
-100.20515,25.634847,"Adelpha   basiloides"
-100.255651,25.561181,"Adelpha   basiloides"
-100.270498,25.550831,"Adelpha   basiloides"
-100.207286,25.631877,"Adelpha   basiloides"
-100.270264,25.550418,"Adelpha   basiloides"
-100.114331,25.433431,"Adelpha   basiloides"
-100.270825,25.549496,"Adelpha   basiloides"
-98.379444,26.185498,"Adelpha   basiloides"
-98.18099,26.396383,"Adelpha   basiloides"
-100.160184,25.367001,"Adelpha   basiloides"
-98.715805,26.546335,"Adelpha   basiloides"
-100.299722,25.637222,"Adelpha   basiloides"
-100.158,25.368,"Adelpha   basiloides"
-100.159722,25.3475,"Adelpha   basiloides"
-100.283056,25.366667,"Adelpha   basiloides"
-100.166667,25.361667,"Adelpha   basiloides"
-100.299722,25.548889,"Adelpha   basiloides"
-100.312,25.572,"Adelpha   basiloides"
-100.121944,25.411667,"Adelpha   basiloides"
