"lon","lat","species.name"
-97.957825,26.126124,"Adelpha   fessonia"
-107.385224,24.823166,"Adelpha   fessonia"
-98.740678,29.552667,"Adelpha   fessonia"
-97.565917,25.995905,"Adelpha   fessonia"
-97.570424,25.996626,"Adelpha   fessonia"
-97.568394,25.996736,"Adelpha   fessonia"
-97.567661,25.996274,"Adelpha   fessonia"
-98.18099,26.396383,"Adelpha   fessonia"
-97.958328,26.124242,"Adelpha   fessonia"
-97.957826,26.126258,"Adelpha   fessonia"
-97.958071,26.128318,"Adelpha   fessonia"
-97.958543,26.124188,"Adelpha   fessonia"
-98.365522,26.176548,"Adelpha   fessonia"
-98.365488,26.176861,"Adelpha   fessonia"
-98.365296,26.179949,"Adelpha   fessonia"
-97.958114,26.126351,"Adelpha   fessonia"
-100.270486,25.549926,"Adelpha   fessonia"
-97.957524,26.126043,"Adelpha   fessonia"
-97.564465,25.98825,"Adelpha   fessonia"
-97.568424,25.996602,"Adelpha   fessonia"
-100.360263,25.618763,"Adelpha   fessonia"
-97.567909,25.99666,"Adelpha   fessonia"
-97.566297,25.99617,"Adelpha   fessonia"
-97.566025,25.995833,"Adelpha   fessonia"
-107.384967,24.82376,"Adelpha   fessonia"
-98.366481,26.179799,"Adelpha   fessonia"
-98.366518,26.178986,"Adelpha   fessonia"
-98.365536,26.17788,"Adelpha   fessonia"
-97.567225,25.995974,"Adelpha   fessonia"
-98.365467,26.176726,"Adelpha   fessonia"
-98.365527,26.177157,"Adelpha   fessonia"
-97.960528,26.129501,"Adelpha   fessonia"
-99.115399,26.514829,"Adelpha   fessonia"
-97.959616,26.127199,"Adelpha   fessonia"
-97.56722,25.996161,"Adelpha   fessonia"
-100.270592,25.549774,"Adelpha   fessonia"
-98.134599,26.291336,"Adelpha   fessonia"
-97.567777,25.996757,"Adelpha   fessonia"
-97.571626,25.9968,"Adelpha   fessonia"
-97.47896,26.102922,"Adelpha   fessonia"
-98.362827,26.173156,"Adelpha   fessonia"
-98.365617,26.176738,"Adelpha   fessonia"
-97.57164,25.996933,"Adelpha   fessonia"
-115.1,32.55,"Adelpha   fessonia"
