"lon","lat","species.name"
-107.385579,24.82264,"Anartia   fatima"
-100.258269,25.568686,"Anartia   fatima"
-100.207213,25.639197,"Anartia   fatima"
-99.444364,27.04463,"Anartia   fatima"
-100.360052,25.61815,"Anartia   fatima"
-98.366254,26.178292,"Anartia   fatima"
-98.365652,26.17669,"Anartia   fatima"
-99.936443,25.044313,"Anartia   fatima"
-100.277588,25.655462,"Anartia   fatima"
-100.270419,25.549862,"Anartia   fatima"
-98.366493,26.179835,"Anartia   fatima"
-98.137552,26.080525,"Anartia   fatima"
-100.22657,25.551267,"Anartia   fatima"
-99.839561,25.532589,"Anartia   fatima"
-100.20726,25.63908,"Anartia   fatima"
-99.983018,25.388047,"Anartia   fatima"
-100.163845,25.330337,"Anartia   fatima"
-100.130867,25.408613,"Anartia   fatima"
-100.510541,26.531407,"Anartia   fatima"
-100.269558,25.589998,"Anartia   fatima"
-100.231497,25.376917,"Anartia   fatima"
-100.258775,25.563099,"Anartia   fatima"
-100.239166,25.675833,"Anartia   fatima"
-100.225029,25.794199,"Anartia   fatima"
-98.38809,26.173588,"Anartia   fatima"
-100.168235,25.479195,"Anartia   fatima"
-100.131592,25.407464,"Anartia   fatima"
-100.207664,25.645721,"Anartia   fatima"
-100.203613,25.727222,"Anartia   fatima"
-100.13113,25.407156,"Anartia   fatima"
-100.130768,25.407173,"Anartia   fatima"
-100.200977,25.587737,"Anartia   fatima"
-100.155321,25.46923,"Anartia   fatima"
-100.040627,25.233101,"Anartia   fatima"
-99.576103,24.84851,"Anartia   fatima"
-100.227031,25.551268,"Anartia   fatima"
-100.360263,25.618763,"Anartia   fatima"
-107.385178,24.823821,"Anartia   fatima"
-107.384967,24.82376,"Anartia   fatima"
-98.379444,26.185498,"Anartia   fatima"
-100.256821,25.583823,"Anartia   fatima"
-98.366137,26.179786,"Anartia   fatima"
-98.379101,26.18596,"Anartia   fatima"
-100.270145,25.5501,"Anartia   fatima"
-98.135591,26.081962,"Anartia   fatima"
-100.267327,25.554183,"Anartia   fatima"
-100.164717,25.637208,"Anartia   fatima"
-98.229452,26.176382,"Anartia   fatima"
-100.20723,25.639154,"Anartia   fatima"
-98.135446,26.081901,"Anartia   fatima"
-98.377312,26.19714,"Anartia   fatima"
-100.135156,25.398908,"Anartia   fatima"
-100.196655,25.681183,"Anartia   fatima"
-100.104212,25.232933,"Anartia   fatima"
-100.019364,25.268803,"Anartia   fatima"
-100.260965,25.559983,"Anartia   fatima"
-98.139265,26.080651,"Anartia   fatima"
-100.284348,25.676918,"Anartia   fatima"
-98.137307,26.080948,"Anartia   fatima"
-98.136648,26.079196,"Anartia   fatima"
-100.066051,25.315632,"Anartia   fatima"
-100.249146,25.665943,"Anartia   fatima"
-99.829234,25.186979,"Anartia   fatima"
-98.379729,26.185573,"Anartia   fatima"
-98.134644,26.291337,"Anartia   fatima"
-98.261568,26.096742,"Anartia   fatima"
-100.27037,25.550123,"Anartia   fatima"
-98.134513,26.291045,"Anartia   fatima"
-101.096741,27.829866,"Anartia   fatima"
-100.268312,25.55276,"Anartia   fatima"
-98.18099,26.396383,"Anartia   fatima"
-98.135442,26.082713,"Anartia   fatima"
-98.365751,26.179395,"Anartia   fatima"
-100.270393,25.550108,"Anartia   fatima"
-99.2664,25.9261,"Anartia   fatima"
-99.5667,24.86,"Anartia   fatima"
-99.56568,24.85908,"Anartia   fatima"
-100.15,25.399722,"Anartia   fatima"
-100.283056,25.366667,"Anartia   fatima"
-109.285556,27.073611,"Anartia   fatima"
-97.566389,25.833056,"Anartia   fatima"
-98.19,26.168,"Anartia   fatima"
-105.68333,26.53333,"Anartia   fatima"
-105.15,25.85,"Anartia   fatima"
-111.319722,25.779722,"Anartia   fatima"
-100.299722,25.637222,"Anartia   fatima"
-100.69928,26.66664,"Anartia   fatima"
