"lon","lat","species.name"
-80.45155,25.86548,"Ancyloxypha   numitor"
-80.451822,25.869676,"Ancyloxypha   numitor"
-81.397061,26.034574,"Ancyloxypha   numitor"
-82.569753,29.041888,"Ancyloxypha   numitor"
-94.538433,29.613962,"Ancyloxypha   numitor"
-80.547026,25.755594,"Ancyloxypha   numitor"
-94.538035,29.613823,"Ancyloxypha   numitor"
-94.430222,29.67141,"Ancyloxypha   numitor"
-96.963435,33.062162,"Ancyloxypha   numitor"
-84.617144,32.551285,"Ancyloxypha   numitor"
-97.609041,30.198757,"Ancyloxypha   numitor"
-82.613067,29.155755,"Ancyloxypha   numitor"
-83.059559,29.304963,"Ancyloxypha   numitor"
-89.933964,30.319563,"Ancyloxypha   numitor"
-96.614853,33.161549,"Ancyloxypha   numitor"
-82.33532,28.648302,"Ancyloxypha   numitor"
-80.276767,43.346283,"Ancyloxypha   numitor"
-95.687226,30.30963,"Ancyloxypha   numitor"
-85.883899,39.035636,"Ancyloxypha   numitor"
-77.925208,38.019123,"Ancyloxypha   numitor"
-93.182811,33.346871,"Ancyloxypha   numitor"
-97.640315,30.681271,"Ancyloxypha   numitor"
-94.1614,35.288046,"Ancyloxypha   numitor"
-83.885033,39.383629,"Ancyloxypha   numitor"
-94.390063,29.574338,"Ancyloxypha   numitor"
-76.333142,36.595494,"Ancyloxypha   numitor"
-80.654145,35.316389,"Ancyloxypha   numitor"
-89.821676,35.141652,"Ancyloxypha   numitor"
-77.753625,38.465213,"Ancyloxypha   numitor"
-92.298708,38.602403,"Ancyloxypha   numitor"
-84.083511,39.626453,"Ancyloxypha   numitor"
-76.308727,39.707695,"Ancyloxypha   numitor"
-76.716672,39.047953,"Ancyloxypha   numitor"
-96.962273,33.060767,"Ancyloxypha   numitor"
-75.527135,39.044529,"Ancyloxypha   numitor"
-81.273099,43.044557,"Ancyloxypha   numitor"
-79.612255,43.949416,"Ancyloxypha   numitor"
-79.807135,43.916474,"Ancyloxypha   numitor"
-86.725693,41.191167,"Ancyloxypha   numitor"
-77.687138,43.073875,"Ancyloxypha   numitor"
-80.14565,43.387059,"Ancyloxypha   numitor"
-85.384636,42.404036,"Ancyloxypha   numitor"
-81.180358,35.817422,"Ancyloxypha   numitor"
-73.686263,41.181328,"Ancyloxypha   numitor"
-72.382588,43.149522,"Ancyloxypha   numitor"
-77.242881,38.704794,"Ancyloxypha   numitor"
-81.892603,41.407694,"Ancyloxypha   numitor"
-70.916922,42.768433,"Ancyloxypha   numitor"
-79.123617,42.4354,"Ancyloxypha   numitor"
-77.297063,44.482861,"Ancyloxypha   numitor"
-73.248739,44.488382,"Ancyloxypha   numitor"
-79.330022,39.561228,"Ancyloxypha   numitor"
-93.196169,44.9,"Ancyloxypha   numitor"
-77.306199,44.474407,"Ancyloxypha   numitor"
-73.341393,44.694047,"Ancyloxypha   numitor"
-79.86294,44.849519,"Ancyloxypha   numitor"
-71.571072,42.484388,"Ancyloxypha   numitor"
-79.123783,42.43525,"Ancyloxypha   numitor"
-65.396686,44.790505,"Ancyloxypha   numitor"
-70.923538,42.76644,"Ancyloxypha   numitor"
-72.4738,42.681248,"Ancyloxypha   numitor"
-80.146087,43.393878,"Ancyloxypha   numitor"
-79.902517,43.93052,"Ancyloxypha   numitor"
-88.185769,42.351111,"Ancyloxypha   numitor"
-89.726877,43.588493,"Ancyloxypha   numitor"
-82.680275,36.496387,"Ancyloxypha   numitor"
-79.571323,44.560288,"Ancyloxypha   numitor"
-90.056944,38.572995,"Ancyloxypha   numitor"
-81.850024,41.042988,"Ancyloxypha   numitor"
-74.784932,45.013947,"Ancyloxypha   numitor"
-80.61283,43.464572,"Ancyloxypha   numitor"
-75.857092,45.273849,"Ancyloxypha   numitor"
-94.270765,35.527865,"Ancyloxypha   numitor"
-85.400826,42.403639,"Ancyloxypha   numitor"
-73.078565,44.501596,"Ancyloxypha   numitor"
-79.821922,43.200299,"Ancyloxypha   numitor"
-77.31936,38.933598,"Ancyloxypha   numitor"
-75.641201,39.743093,"Ancyloxypha   numitor"
-73.851374,42.7117,"Ancyloxypha   numitor"
-76.771781,39.077828,"Ancyloxypha   numitor"
-81.917203,40.782984,"Ancyloxypha   numitor"
-87.80219,42.47629,"Ancyloxypha   numitor"
-74.552316,40.744869,"Ancyloxypha   numitor"
-79.037885,43.820672,"Ancyloxypha   numitor"
-77.337,38.923914,"Ancyloxypha   numitor"
-71.200358,42.400678,"Ancyloxypha   numitor"
-79.611191,43.791978,"Ancyloxypha   numitor"
-87.592063,41.754438,"Ancyloxypha   numitor"
-74.782872,45.013461,"Ancyloxypha   numitor"
-91.111153,41.391859,"Ancyloxypha   numitor"
-79.883457,44.357736,"Ancyloxypha   numitor"
-80.342691,32.677636,"Ancyloxypha   numitor"
-76.035358,44.505186,"Ancyloxypha   numitor"
-77.352872,44.455792,"Ancyloxypha   numitor"
-97.111297,32.905947,"Ancyloxypha   numitor"
-76.650518,43.374797,"Ancyloxypha   numitor"
-79.516377,40.712731,"Ancyloxypha   numitor"
-71.225202,42.429763,"Ancyloxypha   numitor"
-76.047675,39.734438,"Ancyloxypha   numitor"
-80.160562,40.304224,"Ancyloxypha   numitor"
-80.103278,43.41567,"Ancyloxypha   numitor"
-73.894165,42.979168,"Ancyloxypha   numitor"
-74.148042,41.227845,"Ancyloxypha   numitor"
-87.924103,41.663797,"Ancyloxypha   numitor"
-77.301841,44.478325,"Ancyloxypha   numitor"
-80.082843,43.403991,"Ancyloxypha   numitor"
-73.849557,42.710458,"Ancyloxypha   numitor"
-81.296441,43.030445,"Ancyloxypha   numitor"
-73.624906,42.334988,"Ancyloxypha   numitor"
-76.792238,37.251035,"Ancyloxypha   numitor"
-78.940522,39.698033,"Ancyloxypha   numitor"
-79.90061,43.436088,"Ancyloxypha   numitor"
