"lon","lat","species.name"
-115.45301,36.162721,"Apodemia   mejicanus"
-110.612243,32.174768,"Apodemia   mejicanus"
-110.608322,32.178363,"Apodemia   mejicanus"
-116.242164,34.077082,"Apodemia   mejicanus"
-111.04362,28.002455,"Apodemia   mejicanus"
-110.94817,31.721697,"Apodemia   mejicanus"
-110.950503,31.734844,"Apodemia   mejicanus"
-110.947481,31.728849,"Apodemia   mejicanus"
-110.950406,31.738441,"Apodemia   mejicanus"
-110.95027,31.733852,"Apodemia   mejicanus"
-104.821601,38.723296,"Apodemia   mejicanus"
-111.843112,33.761472,"Apodemia   mejicanus"
-116.241564,34.081015,"Apodemia   mejicanus"
-111.123253,31.388767,"Apodemia   mejicanus"
-111.109393,31.391267,"Apodemia   mejicanus"
-110.84523,31.525734,"Apodemia   mejicanus"
-104.52747,38.827385,"Apodemia   mejicanus"
-115.321,30.05839,"Apodemia   mejicanus"
-106.394026,35.095491,"Apodemia   mejicanus"
-106.66907,35.054,"Apodemia   mejicanus"
-106.443743,35.083569,"Apodemia   mejicanus"
-107.18816,33.11948,"Apodemia   mejicanus"
-105.78108,32.588776,"Apodemia   mejicanus"
-111.78302,32.12824,"Apodemia   mejicanus"
-113.15194,34.55021,"Apodemia   mejicanus"
-111.45377,33.90262,"Apodemia   mejicanus"
