"lon","lat","species.name"
-116.263414,34.080573,"Apodemia   mormo"
-116.961689,32.557954,"Apodemia   mormo"
-116.863088,32.951464,"Apodemia   mormo"
-115.807174,33.717486,"Apodemia   mormo"
-116.943733,32.738303,"Apodemia   mormo"
-116.264641,34.078681,"Apodemia   mormo"
-116.78536,32.55515,"Apodemia   mormo"
-115.825684,33.729372,"Apodemia   mormo"
-116.538597,33.66314,"Apodemia   mormo"
-117.026832,32.895015,"Apodemia   mormo"
-116.73405,32.478492,"Apodemia   mormo"
-116.24155,34.082957,"Apodemia   mormo"
-117.09782,32.896419,"Apodemia   mormo"
-117.046771,32.843509,"Apodemia   mormo"
-116.722406,33.237589,"Apodemia   mormo"
-115.453069,36.163236,"Apodemia   mormo"
-116.635305,33.13517,"Apodemia   mormo"
-116.184722,33.970493,"Apodemia   mormo"
-117.008528,32.655942,"Apodemia   mormo"
-117.230756,32.7418,"Apodemia   mormo"
-117.997866,34.509284,"Apodemia   mormo"
-118.048055,34.209732,"Apodemia   mormo"
-116.46655,32.992786,"Apodemia   mormo"
-116.45717,32.415978,"Apodemia   mormo"
-117.275887,32.771214,"Apodemia   mormo"
-116.807126,34.041323,"Apodemia   mormo"
-117.102268,32.851733,"Apodemia   mormo"
-117.222849,32.761475,"Apodemia   mormo"
-117.273804,32.738363,"Apodemia   mormo"
-116.807194,33.951066,"Apodemia   mormo"
-116.839457,32.798401,"Apodemia   mormo"
-116.263818,34.081171,"Apodemia   mormo"
-117.153144,32.892566,"Apodemia   mormo"
-117.257586,33.565726,"Apodemia   mormo"
-117.248959,32.707895,"Apodemia   mormo"
-117.01316,32.872139,"Apodemia   mormo"
-117.291724,32.640438,"Apodemia   mormo"
-117.077357,32.863047,"Apodemia   mormo"
-118.92535,34.130387,"Apodemia   mormo"
-117.173255,32.945734,"Apodemia   mormo"
-116.684608,33.082987,"Apodemia   mormo"
-116.829846,32.811439,"Apodemia   mormo"
-117.115699,33.478195,"Apodemia   mormo"
-117.151332,32.959691,"Apodemia   mormo"
-117.093353,32.658211,"Apodemia   mormo"
-117.052276,32.808672,"Apodemia   mormo"
-116.584112,32.454859,"Apodemia   mormo"
-117.181703,32.751347,"Apodemia   mormo"
-116.678358,33.267027,"Apodemia   mormo"
-117.187765,33.532191,"Apodemia   mormo"
-118.17228,34.36392,"Apodemia   mormo"
-118.680135,34.028625,"Apodemia   mormo"
-111.881035,33.965263,"Apodemia   mormo"
-116.875337,32.922249,"Apodemia   mormo"
-116.481538,32.902778,"Apodemia   mormo"
-118.090879,34.257813,"Apodemia   mormo"
-117.169842,32.844021,"Apodemia   mormo"
-117.454711,33.610862,"Apodemia   mormo"
-118.58323,34.56758,"Apodemia   mormo"
-116.536888,32.862627,"Apodemia   mormo"
-116.532113,32.630248,"Apodemia   mormo"
-116.428794,32.889425,"Apodemia   mormo"
-117.442036,33.766566,"Apodemia   mormo"
-117.745204,33.672176,"Apodemia   mormo"
-117.646253,33.669085,"Apodemia   mormo"
-118.439798,34.477229,"Apodemia   mormo"
-116.507029,32.806283,"Apodemia   mormo"
-116.724095,33.841407,"Apodemia   mormo"
-117.168806,33.075761,"Apodemia   mormo"
-117.722748,33.46436,"Apodemia   mormo"
-116.681499,33.305992,"Apodemia   mormo"
