"lon","lat","species.name"
-100.278418,25.6761,"Astraptes   alector"
-100.360119,25.618177,"Astraptes   alector"
-100.360313,25.618362,"Astraptes   alector"
-100.284827,25.595647,"Astraptes   alector"
-98.365261,26.178145,"Astraptes   alector"
-100.284881,25.677533,"Astraptes   alector"
-100.360263,25.618763,"Astraptes   alector"
-100.207474,25.639095,"Astraptes   alector"
-100.268612,25.552354,"Astraptes   alector"
-100.270279,25.54981,"Astraptes   alector"
-100.205757,25.639662,"Astraptes   alector"
-100.354185,25.789497,"Astraptes   alector"
-100.209488,25.629967,"Astraptes   alector"
-100.270353,25.55008,"Astraptes   alector"
-100.309788,25.727383,"Astraptes   alector"
-100.081995,25.219591,"Astraptes   alector"
-100.270217,25.550876,"Astraptes   alector"
-100.208364,25.630686,"Astraptes   alector"
-100.270156,25.551269,"Astraptes   alector"
-99.826667,25.187222,"Astraptes   alector"
-98.62,25.551667,"Astraptes   alector"
