"lon","lat","species.name"
-150.10019,63.49723,"Boloria   alaskensis"
-148.96071,63.75095,"Boloria   alaskensis"
-149.60716,63.59104,"Boloria   alaskensis"
-150.10298,63.50154,"Boloria   alaskensis"
-148.9606,63.7252,"Boloria   alaskensis"
-148.9607,63.751,"Boloria   alaskensis"
-145.665647,63.193488,"Boloria   alaskensis"
-145.569007,65.424543,"Boloria   alaskensis"
-149.490124,68.451635,"Boloria   alaskensis"
-145.403654,65.483882,"Boloria   alaskensis"
-138.53075,64.23571,"Boloria   alaskensis"
-136.37071,59.45116,"Boloria   alaskensis"
-153.951583,59.44945,"Boloria   alaskensis"
-153.95,59.45,"Boloria   alaskensis"
-134.95135,60.70935,"Boloria   alaskensis"
-145.4444,65.45504,"Boloria   alaskensis"
-149.516667,68.575,"Boloria   alaskensis"
-135.866667,67.175,"Boloria   alaskensis"
-115.25981,67.79814,"Boloria   alaskensis"
-150.15,63.478333,"Boloria   alaskensis"
-134.708333,60.075,"Boloria   alaskensis"
-143.747533,68.59655,"Boloria   alaskensis"
-150.136667,63.486667,"Boloria   alaskensis"
-149.35,68.475,"Boloria   alaskensis"
-150.126667,63.486667,"Boloria   alaskensis"
-150.266667,63.441667,"Boloria   alaskensis"
-150.14,63.48,"Boloria   alaskensis"
-134.691111,60.058056,"Boloria   alaskensis"
-144.833333,62.116667,"Boloria   alaskensis"
-69.9494,77.6669,"Boloria   alaskensis"
-114.833333,68.779167,"Boloria   alaskensis"
-114.816667,68.789167,"Boloria   alaskensis"
-114.833333,68.778333,"Boloria   alaskensis"
-114.826667,68.788333,"Boloria   alaskensis"
-114.233333,68.556667,"Boloria   alaskensis"
-149.283333,61.791667,"Boloria   alaskensis"
-138.263333,65.048333,"Boloria   alaskensis"
-138.245,64.582333,"Boloria   alaskensis"
-115.083333,67.833333,"Boloria   alaskensis"
-145.4,65.483333,"Boloria   alaskensis"
-145.383333,65.5,"Boloria   alaskensis"
-145.421667,65.483333,"Boloria   alaskensis"
-122.505,57.039,"Boloria   alaskensis"
-140.75,69.433333,"Boloria   alaskensis"
-140.783333,69.5,"Boloria   alaskensis"
-145.403611,65.484444,"Boloria   alaskensis"
-149.608611,68.046111,"Boloria   alaskensis"
-140.20429,69.584701,"Boloria   alaskensis"
-150.955151,65.705972,"Boloria   alaskensis"
-150.1487,63.4734,"Boloria   alaskensis"
-133.023881,69.441741,"Boloria   alaskensis"
-124.845733,64.825544,"Boloria   alaskensis"
-150.967084,63.313751,"Boloria   alaskensis"
-153.401344,57.592466,"Boloria   alaskensis"
-145.091667,69.368333,"Boloria   alaskensis"
-145.073333,69.373333,"Boloria   alaskensis"
-145.086667,69.366667,"Boloria   alaskensis"
-134.774033,68.906689,"Boloria   alaskensis"
-95.5,64.1667,"Boloria   alaskensis"
-138.377954,64.650057,"Boloria   alaskensis"
-145.028333,69.338333,"Boloria   alaskensis"
-145.133333,69.375,"Boloria   alaskensis"
-153.473471,57.584043,"Boloria   alaskensis"
-146.866667,69.666667,"Boloria   alaskensis"
-149.640278,60.920278,"Boloria   alaskensis"
-145.833333,68.808333,"Boloria   alaskensis"
-131.427482,69.938015,"Boloria   alaskensis"
-151.3534,68.2497,"Boloria   alaskensis"
-151.7591,68.1084,"Boloria   alaskensis"
-151.046282,68.620121,"Boloria   alaskensis"
-139.747467,69.259201,"Boloria   alaskensis"
-132.246078,69.441439,"Boloria   alaskensis"
-150.286907,69.258778,"Boloria   alaskensis"
-148.338429,70.255645,"Boloria   alaskensis"
-135.90356,68.206979,"Boloria   alaskensis"
-149.487839,68.453017,"Boloria   alaskensis"
-148.8578,61.65,"Boloria   alaskensis"
-137.8902,68.1843,"Boloria   alaskensis"
-148.7,69.366667,"Boloria   alaskensis"
-148.95,68.733333,"Boloria   alaskensis"
-145.966667,65.4,"Boloria   alaskensis"
-152.016667,68.083333,"Boloria   alaskensis"
-109.808866,43.11925,"Boloria   alaskensis"
-149.445833,63.749167,"Boloria   alaskensis"
-146.295,63.091667,"Boloria   alaskensis"
-150.891667,63.531667,"Boloria   alaskensis"
-145.066667,69.366667,"Boloria   alaskensis"
-146.355,63.086667,"Boloria   alaskensis"
-150.148667,63.360328,"Boloria   alaskensis"
-151.733333,68.141667,"Boloria   alaskensis"
-148.975,61.603333,"Boloria   alaskensis"
-121.6319,46.9161,"Boloria   alaskensis"
-71.2908,44.3203,"Boloria   alaskensis"
-151.532,59.6495,"Boloria   alaskensis"
