"lon","lat","species.name"
-138.89128,69.582437,"Boloria   improba"
-148.96071,63.75095,"Boloria   improba"
-150.10019,63.49723,"Boloria   improba"
-138.277,61.214,"Boloria   improba"
-138.276,61.214,"Boloria   improba"
-140.294,61.399,"Boloria   improba"
-145.4,65.483333,"Boloria   improba"
-145.403654,65.483882,"Boloria   improba"
-138.53075,64.23571,"Boloria   improba"
-136.37071,59.45116,"Boloria   improba"
-145.42052,65.479037,"Boloria   improba"
-136.51437,59.77466,"Boloria   improba"
-138.25,61.217,"Boloria   improba"
-134.70016,60.08005,"Boloria   improba"
-148.35,64.95,"Boloria   improba"
-145.4037,65.48415,"Boloria   improba"
-136.216667,67.033333,"Boloria   improba"
-150.468948,66.359808,"Boloria   improba"
-148.562134,69.489808,"Boloria   improba"
-123.745333,71.701167,"Boloria   improba"
-117.75,70.733333,"Boloria   improba"
-134.708333,60.075,"Boloria   improba"
-115.25981,67.79814,"Boloria   improba"
-115.766667,67.9,"Boloria   improba"
-150.136667,63.486667,"Boloria   improba"
-150.17,63.461667,"Boloria   improba"
-134.691111,60.058056,"Boloria   improba"
-138.25,64.5667,"Boloria   improba"
-137.1215,59.5755,"Boloria   improba"
-148.75618,69.833215,"Boloria   improba"
-135.3,63.9,"Boloria   improba"
-136.283333,66.633333,"Boloria   improba"
-117.775,70.748833,"Boloria   improba"
-115.103333,67.825,"Boloria   improba"
-117.75,70.751667,"Boloria   improba"
-114.826667,68.788333,"Boloria   improba"
-114.833333,68.778333,"Boloria   improba"
-114.816667,68.789167,"Boloria   improba"
-114.808333,68.788333,"Boloria   improba"
-114.783333,68.793333,"Boloria   improba"
-117.3833,52.9167,"Boloria   improba"
-138.5833,68.8833,"Boloria   improba"
-136.5333,67.9833,"Boloria   improba"
-95.5,64.1667,"Boloria   improba"
-109.1583,42.8408,"Boloria   improba"
-136.3272,66.6656,"Boloria   improba"
-122.874717,57.071511,"Boloria   improba"
-136.25,66.593333,"Boloria   improba"
-137.8883,60.8369,"Boloria   improba"
-134.6833,60.0833,"Boloria   improba"
-138.263333,65.038333,"Boloria   improba"
-140.0333,69.25,"Boloria   improba"
-138.255,65.083333,"Boloria   improba"
-140.0833,69.2167,"Boloria   improba"
-138.26,65.083333,"Boloria   improba"
-140.1667,69.2167,"Boloria   improba"
-140.0667,69.2167,"Boloria   improba"
-140.0333,69.2833,"Boloria   improba"
-115.1,67.8333,"Boloria   improba"
-115.0183,67.8169,"Boloria   improba"
-140.4167,69.45,"Boloria   improba"
-107.1358,37.6058,"Boloria   improba"
-107.3003,37.8214,"Boloria   improba"
-139.4667,61.4667,"Boloria   improba"
-136.6967,66.3125,"Boloria   improba"
-139.4714,61.4619,"Boloria   improba"
-138.9,69.5667,"Boloria   improba"
-139.5375,61.3178,"Boloria   improba"
-109.2508,42.8331,"Boloria   improba"
-109.5008,43,"Boloria   improba"
-109.167655,42.848953,"Boloria   improba"
-109.1789,42.8325,"Boloria   improba"
-109.1778,42.8014,"Boloria   improba"
-122.8667,57.0667,"Boloria   improba"
-122.5081,57.0394,"Boloria   improba"
-135.3025,63.9092,"Boloria   improba"
-135.7667,66.1333,"Boloria   improba"
-136.6167,66.1,"Boloria   improba"
-137.5108,60.7536,"Boloria   improba"
-137.85,60.83,"Boloria   improba"
-137.5,60.75,"Boloria   improba"
-107.422,37.94083,"Boloria   improba"
-136.6333,68,"Boloria   improba"
-138.5,60.9833,"Boloria   improba"
-96.0333,64.3167,"Boloria   improba"
-127.7667,61.6,"Boloria   improba"
