"lon","lat","species.name"
-105.399743,40.14489,"Callophrys   affinis"
-105.293392,40.094317,"Callophrys   affinis"
-105.354087,40.014023,"Callophrys   affinis"
-105.375343,40.002457,"Callophrys   affinis"
-109.165132,33.791848,"Callophrys   affinis"
-105.367053,39.637717,"Callophrys   affinis"
-105.300379,40.048202,"Callophrys   affinis"
-106.339395,35.919805,"Callophrys   affinis"
-105.283929,40.044038,"Callophrys   affinis"
-112.063365,41.440851,"Callophrys   affinis"
-104.925969,39.183258,"Callophrys   affinis"
-111.590448,40.590514,"Callophrys   affinis"
-118.694113,42.669764,"Callophrys   affinis"
-112.005421,41.629055,"Callophrys   affinis"
-108.20164,32.934789,"Callophrys   affinis"
-111.098009,34.350307,"Callophrys   affinis"
-111.639084,40.591738,"Callophrys   affinis"
-105.287099,40.073561,"Callophrys   affinis"
-105.297794,39.678905,"Callophrys   affinis"
-120.51796,46.855327,"Callophrys   affinis"
-110.826302,33.283355,"Callophrys   affinis"
-105.219416,40.109461,"Callophrys   affinis"
-104.873325,38.903581,"Callophrys   affinis"
-111.59446,40.598177,"Callophrys   affinis"
-112.474839,34.540681,"Callophrys   affinis"
-111.125259,39.410884,"Callophrys   affinis"
-105.25125,39.576572,"Callophrys   affinis"
-111.624089,40.570817,"Callophrys   affinis"
-105.39838,40.094837,"Callophrys   affinis"
-105.277981,39.823103,"Callophrys   affinis"
-110.81187,33.78962,"Callophrys   affinis"
-110.42262,44.85134,"Callophrys   affinis"
-107.655393,38.446557,"Callophrys   affinis"
-112.076051,40.513003,"Callophrys   affinis"
-111.8175,40.96444,"Callophrys   affinis"
-111.064205,41.010418,"Callophrys   affinis"
-111.871568,40.973781,"Callophrys   affinis"
-106.326627,35.825503,"Callophrys   affinis"
-105.034493,38.118787,"Callophrys   affinis"
-105.37351,38.101994,"Callophrys   affinis"
-106.45322,37.485764,"Callophrys   affinis"
-105.367158,39.91332,"Callophrys   affinis"
-106.09588,40.123287,"Callophrys   affinis"
-105.310523,39.702223,"Callophrys   affinis"
-112.573746,34.630043,"Callophrys   affinis"
-109.242325,33.238873,"Callophrys   affinis"
-110.32091,35.390934,"Callophrys   affinis"
-109.49017,35.385082,"Callophrys   affinis"
-105.106231,38.155309,"Callophrys   affinis"
-106.176445,37.213406,"Callophrys   affinis"
-119.2833,50.3167,"Callophrys   affinis"
-119.4667,49.9167,"Callophrys   affinis"
-109.920707,40.571344,"Callophrys   affinis"
-111.710882,40.69486,"Callophrys   affinis"
-117.39616,33.953348,"Callophrys   affinis"
-119.6667,49.6,"Callophrys   affinis"
-119.283333,50.3,"Callophrys   affinis"
-116.56085,34.32334,"Callophrys   affinis"
-109.31814,33.55061,"Callophrys   affinis"
-115.446,43.356,"Callophrys   affinis"
-105.05415,39.79805,"Callophrys   affinis"
-109.851,34.092,"Callophrys   affinis"
-109.14313,33.80458,"Callophrys   affinis"
-122.43636,37.68743,"Callophrys   affinis"
-116.50994,33.09643,"Callophrys   affinis"
-119.2667,50.2667,"Callophrys   affinis"
-119.666668,49.600002,"Callophrys   affinis"
-105.41722,39.85582,"Callophrys   affinis"
-112.05,42.15,"Callophrys   affinis"
-104.53719,39.21943,"Callophrys   affinis"
-111.65127,35.19807,"Callophrys   affinis"
-113.53,42.268,"Callophrys   affinis"
-113.574,43.455,"Callophrys   affinis"
-111.535,42.37,"Callophrys   affinis"
-105.93946,39.99914,"Callophrys   affinis"
-118.3148,34.27278,"Callophrys   affinis"
-116.748,46.517,"Callophrys   affinis"
-115.832,44.05,"Callophrys   affinis"
-105.14765,39.7033,"Callophrys   affinis"
-105.33981,39.853,"Callophrys   affinis"
-116.55363,33.18337,"Callophrys   affinis"
-119.71264,34.49444,"Callophrys   affinis"
-121.80944,36.70028,"Callophrys   affinis"
-121.789829,36.684404,"Callophrys   affinis"
-121.85162,37.23606,"Callophrys   affinis"
-117.83895,34.29167,"Callophrys   affinis"
-116.748,46.516,"Callophrys   affinis"
-119.366667,50.166667,"Callophrys   affinis"
-113.497,42.31,"Callophrys   affinis"
-122.99694,38.00132,"Callophrys   affinis"
-118.53453,35.57579,"Callophrys   affinis"
-120.860712449249,35.2699141671473,"Callophrys   affinis"
-119.25,50.2,"Callophrys   affinis"
-122.0208,37.14139,"Callophrys   affinis"
-105.2386,39.73249,"Callophrys   affinis"
-104.87222,39.09167,"Callophrys   affinis"
-119.2518,50.2002,"Callophrys   affinis"
-119.766667,49.533333,"Callophrys   affinis"
-109.23017,47.1488,"Callophrys   affinis"
-122.52525,37.99853,"Callophrys   affinis"
-119.75167,34.06389,"Callophrys   affinis"
-122.50686,37.99853,"Callophrys   affinis"
-122.503,38.006,"Callophrys   affinis"
-119.843001,34.035166,"Callophrys   affinis"
-122.41,37.63056,"Callophrys   affinis"
-122.652167,37.987202,"Callophrys   affinis"
-123.60501,44.37685,"Callophrys   affinis"
-123.45381,44.47865,"Callophrys   affinis"
-123.59649,44.38151,"Callophrys   affinis"
-123.56569,44.42428,"Callophrys   affinis"
-123.62746,44.38493,"Callophrys   affinis"
-123.48254,44.45814,"Callophrys   affinis"
-119.59533,49.84859,"Callophrys   affinis"
-110.13408,46.02078,"Callophrys   affinis"
-123.59649,44.40323,"Callophrys   affinis"
-123.56548,44.43503,"Callophrys   affinis"
-123.59649,44.4322,"Callophrys   affinis"
-123.55772,44.44841,"Callophrys   affinis"
-110.72009,32.45403,"Callophrys   affinis"
-111.94609,45.29381,"Callophrys   affinis"
-105.69729,40.35546,"Callophrys   affinis"
-115.51444,34.94083,"Callophrys   affinis"
-110.81673,31.49818,"Callophrys   affinis"
-122.31909,42.68374,"Callophrys   affinis"
-123.04227,42.09163,"Callophrys   affinis"
-106.84615,38.66472,"Callophrys   affinis"
-118.49203,35.588009,"Callophrys   affinis"
-105.39774,39.74549,"Callophrys   affinis"
-106.190296,38.538607,"Callophrys   affinis"
-118.530646843577,34.0699638793328,"Callophrys   affinis"
-118.519478,34.095672,"Callophrys   affinis"
-119.780617,48.095978,"Callophrys   affinis"
-105.560381138215,39.9399170196269,"Callophrys   affinis"
-121.990763022088,37.3698537574681,"Callophrys   affinis"
-120.37,40.149,"Callophrys   affinis"
-111.58139,40.60389,"Callophrys   affinis"
-105.02693,38.58611,"Callophrys   affinis"
-106.19889,38.27528,"Callophrys   affinis"
-110.02983,34.25421,"Callophrys   affinis"
-121.660957,36.686859,"Callophrys   affinis"
-123.176495,45.294282,"Callophrys   affinis"
-121.46949,44.61869,"Callophrys   affinis"
-117.464642,44.582105,"Callophrys   affinis"
-105.51361,39.74249,"Callophrys   affinis"
-117.428284,34.325905,"Callophrys   affinis"
-109.262263,33.41835,"Callophrys   affinis"
-117.246348,32.699534,"Callophrys   affinis"
-122.016667,36.966667,"Callophrys   affinis"
-119.06041,37.65632,"Callophrys   affinis"
-105.27055,40.01499,"Callophrys   affinis"
-119.63684,38.32769,"Callophrys   affinis"
-119.781132,48.102857,"Callophrys   affinis"
-117.046364,32.753849,"Callophrys   affinis"
-121.22217,38.67518,"Callophrys   affinis"
-119.984978,34.743183,"Callophrys   affinis"
-118.366871,33.765449,"Callophrys   affinis"
-110.705345,32.430378,"Callophrys   affinis"
-119.937766,48.019925,"Callophrys   affinis"
-104.917477,38.860546,"Callophrys   affinis"
-119.724968,34.430595,"Callophrys   affinis"
-117.36921,33.78446,"Callophrys   affinis"
-117.373199,33.8535,"Callophrys   affinis"
-117.815994,33.789211,"Callophrys   affinis"
-119.7667,49.6667,"Callophrys   affinis"
-119.7167,49.45,"Callophrys   affinis"
-119.8261,49.2055,"Callophrys   affinis"
-119.6,49.4833,"Callophrys   affinis"
-110.878449,33.821715,"Callophrys   affinis"
-119.824585,34.51166,"Callophrys   affinis"
-121.277981,36.32691,"Callophrys   affinis"
-117.865337,34.136116,"Callophrys   affinis"
-109.585045,33.910648,"Callophrys   affinis"
-117.224808,33.795697,"Callophrys   affinis"
-118.13979,33.97668,"Callophrys   affinis"
-122.445381,37.751431,"Callophrys   affinis"
-122.63002,41.09487,"Callophrys   affinis"
-120.961063,40.014889,"Callophrys   affinis"
-118.119003,34.159206,"Callophrys   affinis"
-117.144127,32.874974,"Callophrys   affinis"
-111.719547,40.520411,"Callophrys   affinis"
-108.706718,31.845372,"Callophrys   affinis"
-117.195368,32.686487,"Callophrys   affinis"
-119.45,49.0333,"Callophrys   affinis"
-115.306941,41.261846,"Callophrys   affinis"
-122.005467,42.708615,"Callophrys   affinis"
-116.432617,38.771914,"Callophrys   affinis"
-120.67334,44.114527,"Callophrys   affinis"
-120.124023,36.89791,"Callophrys   affinis"
-105.261383,36.552534,"Callophrys   affinis"
-105.220370223895,39.7499219022663,"Callophrys   affinis"
-117.318672,34.52071,"Callophrys   affinis"
-104.980349254895,38.0699529879494,"Callophrys   affinis"
-105.420349653571,36.6999789251733,"Callophrys   affinis"
-116.449943,33.110641,"Callophrys   affinis"
-117.909479,33.604612,"Callophrys   affinis"
-107.000395359856,37.2599584889217,"Callophrys   affinis"
