"lon","lat","species.name"
-110.721459,32.335082,"Callophrys   augustinus"
-118.528592,34.121824,"Callophrys   augustinus"
-79.394723,35.142718,"Callophrys   augustinus"
-121.49225,36.234417,"Callophrys   augustinus"
-80.189247,34.567183,"Callophrys   augustinus"
-121.17153,36.538837,"Callophrys   augustinus"
-121.492295,36.233543,"Callophrys   augustinus"
-110.72905,32.595429,"Callophrys   augustinus"
-118.52709,34.127952,"Callophrys   augustinus"
-80.18947,34.567102,"Callophrys   augustinus"
-121.200928,36.495472,"Callophrys   augustinus"
-116.861139,33.000027,"Callophrys   augustinus"
-110.282181,31.439195,"Callophrys   augustinus"
-80.189292,34.567108,"Callophrys   augustinus"
-83.43198,35.02625,"Callophrys   augustinus"
-111.417246,33.919147,"Callophrys   augustinus"
-122.3992,37.447945,"Callophrys   augustinus"
-116.946647,32.7116,"Callophrys   augustinus"
-109.810895,32.649757,"Callophrys   augustinus"
-118.164825,34.20214,"Callophrys   augustinus"
-109.871667,32.701389,"Callophrys   augustinus"
-111.477156,33.799406,"Callophrys   augustinus"
-116.613196,33.839897,"Callophrys   augustinus"
-121.947487,37.89877,"Callophrys   augustinus"
-121.180065,36.48183,"Callophrys   augustinus"
-116.946275,32.711383,"Callophrys   augustinus"
-121.494987,36.229713,"Callophrys   augustinus"
-111.221563,31.468698,"Callophrys   augustinus"
-116.909063,33.348356,"Callophrys   augustinus"
-122.171949,37.355298,"Callophrys   augustinus"
-121.758024,36.651864,"Callophrys   augustinus"
-117.16881,33.45966,"Callophrys   augustinus"
-105.33896,39.94867,"Callophrys   augustinus"
-123.316516,48.426141,"Callophrys   augustinus"
-105.3068,39.974553,"Callophrys   augustinus"
-70.646267,41.406882,"Callophrys   augustinus"
-122.278792,37.461693,"Callophrys   augustinus"
-119.456712,37.065103,"Callophrys   augustinus"
-122.279076,37.461754,"Callophrys   augustinus"
-122.276847,37.468068,"Callophrys   augustinus"
-121.721772,37.090856,"Callophrys   augustinus"
-122.278817,37.462158,"Callophrys   augustinus"
-122.285364,37.46481,"Callophrys   augustinus"
-118.997764,36.727772,"Callophrys   augustinus"
-117.763395,34.157415,"Callophrys   augustinus"
-124.17924,40.831,"Callophrys   augustinus"
-122.43928,37.692514,"Callophrys   augustinus"
-121.93705,37.888455,"Callophrys   augustinus"
-121.721938,37.091014,"Callophrys   augustinus"
-83.543335,35.655834,"Callophrys   augustinus"
-122.433218,37.692395,"Callophrys   augustinus"
-110.7094,32.388902,"Callophrys   augustinus"
-119.456922,37.066133,"Callophrys   augustinus"
-122.301183,37.501359,"Callophrys   augustinus"
-124.091885,49.243527,"Callophrys   augustinus"
-121.946272,37.897526,"Callophrys   augustinus"
-72.954648,41.348497,"Callophrys   augustinus"
-90.199203,44.074371,"Callophrys   augustinus"
-109.354622,33.409744,"Callophrys   augustinus"
-121.642769,44.487554,"Callophrys   augustinus"
-96.546108,50.416775,"Callophrys   augustinus"
-113.571022,48.832196,"Callophrys   augustinus"
-66.671556,45.937968,"Callophrys   augustinus"
-93.579202,48.707195,"Callophrys   augustinus"
-90.840452,46.036509,"Callophrys   augustinus"
-118.654234,34.270649,"Callophrys   augustinus"
-118.585651,34.097355,"Callophrys   augustinus"
-73.41743,42.081108,"Callophrys   augustinus"
-64.650269,46.385848,"Callophrys   augustinus"
-71.159965,42.463212,"Callophrys   augustinus"
-70.481525,43.541368,"Callophrys   augustinus"
-123.459393,45.796123,"Callophrys   augustinus"
-70.689115,41.858263,"Callophrys   augustinus"
-71.49418,43.207923,"Callophrys   augustinus"
-90.838331,46.034931,"Callophrys   augustinus"
-121.754312,44.404788,"Callophrys   augustinus"
-106.715701,35.902163,"Callophrys   augustinus"
-118.585823,34.096999,"Callophrys   augustinus"
-120.343169,38.886058,"Callophrys   augustinus"
-83.632304,45.947384,"Callophrys   augustinus"
-121.437464,37.402756,"Callophrys   augustinus"
-123.568014,48.983765,"Callophrys   augustinus"
