"lon","lat","species.name"
-122.544507,38.467134,"Callophrys   muiri"
-122.450627,38.536225,"Callophrys   muiri"
-122.742598,37.838855,"Callophrys   muiri"
-122.784679,37.979671,"Callophrys   muiri"
-122.431671,38.451376,"Callophrys   muiri"
-122.604194,37.973737,"Callophrys   muiri"
-122.668762,37.889863,"Callophrys   muiri"
-122.734933,37.887688,"Callophrys   muiri"
-122.566436,38.506812,"Callophrys   muiri"
-122.441868,38.45308,"Callophrys   muiri"
-122.504279,38.533346,"Callophrys   muiri"
-122.524227,38.528811,"Callophrys   muiri"
-122.587108,38.544009,"Callophrys   muiri"
-122.460909,38.571353,"Callophrys   muiri"
-122.474387,38.557997,"Callophrys   muiri"
-122.785251,37.962091,"Callophrys   muiri"
-122.547085,38.594654,"Callophrys   muiri"
-122.773374,37.895165,"Callophrys   muiri"
-122.422132,38.519673,"Callophrys   muiri"
-122.536123,38.524653,"Callophrys   muiri"
-122.463525,38.513714,"Callophrys   muiri"
-122.517766,38.460852,"Callophrys   muiri"
-122.489459,38.640489,"Callophrys   muiri"
-122.595763,39.320597,"Callophrys   muiri"
-122.529779,38.588958,"Callophrys   muiri"
-122.463699,38.580332,"Callophrys   muiri"
-122.538792,38.663712,"Callophrys   muiri"
-122.580622,38.581035,"Callophrys   muiri"
-122.638104,37.936586,"Callophrys   muiri"
-120.124023,36.89791,"Callophrys   muiri"
