"lon","lat","species.name"
-110.746759,32.450801,"Callophrys   spinetorum"
-110.696947,32.408935,"Callophrys   spinetorum"
-116.461,32.902237,"Callophrys   spinetorum"
-117.957941,34.352203,"Callophrys   spinetorum"
-113.89307,46.86443,"Callophrys   spinetorum"
-106.463219,35.096822,"Callophrys   spinetorum"
-120.135518,41.977607,"Callophrys   spinetorum"
-105.85194,40.118839,"Callophrys   spinetorum"
-109.416365,34.033782,"Callophrys   spinetorum"
-120.196267,38.694325,"Callophrys   spinetorum"
-106.708981,35.932597,"Callophrys   spinetorum"
-121.623449,37.164586,"Callophrys   spinetorum"
-121.622358,37.163627,"Callophrys   spinetorum"
-121.622097,37.163444,"Callophrys   spinetorum"
-110.298529,31.424415,"Callophrys   spinetorum"
-121.9053,37.9023,"Callophrys   spinetorum"
-106.66907,35.054,"Callophrys   spinetorum"
-106.882614,35.685074,"Callophrys   spinetorum"
-110.325866,31.424342,"Callophrys   spinetorum"
-110.796776,33.280674,"Callophrys   spinetorum"
-111.143489,34.424465,"Callophrys   spinetorum"
-109.49017,35.385082,"Callophrys   spinetorum"
-105.410235,41.252003,"Callophrys   spinetorum"
-105.40745,39.837218,"Callophrys   spinetorum"
-119.859572,39.358413,"Callophrys   spinetorum"
-105.411383,39.839138,"Callophrys   spinetorum"
-109.512663,33.959237,"Callophrys   spinetorum"
-108.60553,43.0553,"Callophrys   spinetorum"
-105.383692,40.139896,"Callophrys   spinetorum"
-111.17345,45.535557,"Callophrys   spinetorum"
-120.00505,38.199253,"Callophrys   spinetorum"
-111.257559,44.498568,"Callophrys   spinetorum"
-109.466872,38.515232,"Callophrys   spinetorum"
-109.698935,39.067952,"Callophrys   spinetorum"
-105.78108,32.588776,"Callophrys   spinetorum"
-110.54327,32.216215,"Callophrys   spinetorum"
-104.833072,38.726316,"Callophrys   spinetorum"
-117.908481,34.349259,"Callophrys   spinetorum"
-105.721886,41.665516,"Callophrys   spinetorum"
-105.386095,39.909424,"Callophrys   spinetorum"
-118.26186,34.1964,"Callophrys   spinetorum"
-121.201593,36.499417,"Callophrys   spinetorum"
-117.274394,49.501555,"Callophrys   spinetorum"
-111.125259,39.410884,"Callophrys   spinetorum"
-105.25125,39.576572,"Callophrys   spinetorum"
-109.296454,38.571355,"Callophrys   spinetorum"
-105.39838,40.094837,"Callophrys   spinetorum"
-105.386696,39.908963,"Callophrys   spinetorum"
-118.152961,37.257663,"Callophrys   spinetorum"
-120.821496,36.35243,"Callophrys   spinetorum"
-121.957115,37.905362,"Callophrys   spinetorum"
-121.911947,37.886832,"Callophrys   spinetorum"
-119.247841,38.65564,"Callophrys   spinetorum"
-119.19742,39.022213,"Callophrys   spinetorum"
-111.924759,36.003946,"Callophrys   spinetorum"
-109.392446,33.610062,"Callophrys   spinetorum"
-112.261462,36.021473,"Callophrys   spinetorum"
-117.160479,47.747488,"Callophrys   spinetorum"
-105.982125,39.564516,"Callophrys   spinetorum"
-106.06083,41.17259,"Callophrys   spinetorum"
-106.915963,39.505204,"Callophrys   spinetorum"
-110.408091,44.560448,"Callophrys   spinetorum"
-104.856777,31.934332,"Callophrys   spinetorum"
-121.906271,37.89145,"Callophrys   spinetorum"
-121.900413,37.893484,"Callophrys   spinetorum"
-117.40393,36.561977,"Callophrys   spinetorum"
-119.13314,34.35874,"Callophrys   spinetorum"
-116.24438,43.451477,"Callophrys   spinetorum"
-105.590557,40.194152,"Callophrys   spinetorum"
-118.73388,45.591198,"Callophrys   spinetorum"
-106.394026,35.095491,"Callophrys   spinetorum"
-115.591635,36.228263,"Callophrys   spinetorum"
-115.002,51.041,"Callophrys   spinetorum"
