"lon","lat","species.name"
-106.11866,39.389775,"Chlosyne   damoetas"
-106.186133,39.281378,"Chlosyne   damoetas"
-112.847831,47.978006,"Chlosyne   damoetas"
-107.079525,44.149803,"Chlosyne   damoetas"
-119.203,53.964,"Chlosyne   damoetas"
-110.018785,40.798864,"Chlosyne   damoetas"
-114.28,49.36,"Chlosyne   damoetas"
-115.268,50.867,"Chlosyne   damoetas"
-114.455,50.197,"Chlosyne   damoetas"
-122.158,50.3583,"Chlosyne   damoetas"
-114.5167,50.2,"Chlosyne   damoetas"
-114.6667,49.9667,"Chlosyne   damoetas"
-117.1667,52.2167,"Chlosyne   damoetas"
-116.25,51.4333,"Chlosyne   damoetas"
-122.0833,50.7333,"Chlosyne   damoetas"
-116.219,51.417,"Chlosyne   damoetas"
-116.25,51.417,"Chlosyne   damoetas"
-113.9,49.0667,"Chlosyne   damoetas"
-122.0833,50.7337,"Chlosyne   damoetas"
