"lon","lat","species.name"
-107.096582,39.678753,"Colias   alexandra"
-105.683639,40.342793,"Colias   alexandra"
-105.374372,41.275482,"Colias   alexandra"
-119.724009,42.442632,"Colias   alexandra"
-105.616003,40.373128,"Colias   alexandra"
-105.618266,40.37192,"Colias   alexandra"
-105.436255,41.251778,"Colias   alexandra"
-105.756675,39.413321,"Colias   alexandra"
-105.614724,39.949987,"Colias   alexandra"
-105.368675,41.159969,"Colias   alexandra"
-105.377098,40.615329,"Colias   alexandra"
-113.05042,42.146593,"Colias   alexandra"
-105.604728,40.318581,"Colias   alexandra"
-117.270806,45.246241,"Colias   alexandra"
-111.147652,34.418783,"Colias   alexandra"
-105.284759,38.926628,"Colias   alexandra"
-111.261198,34.426757,"Colias   alexandra"
-118.837987,43.253642,"Colias   alexandra"
-109.513602,33.958912,"Colias   alexandra"
-105.419447,39.514331,"Colias   alexandra"
-120.022261,41.834563,"Colias   alexandra"
-105.614359,40.372607,"Colias   alexandra"
-105.34018,41.200153,"Colias   alexandra"
-105.257633,36.388822,"Colias   alexandra"
-109.306973,38.491641,"Colias   alexandra"
-105.478944,40.547956,"Colias   alexandra"
-105.25125,39.576572,"Colias   alexandra"
-106.631972,37.670109,"Colias   alexandra"
-109.279708,38.543737,"Colias   alexandra"
-105.187387,38.709325,"Colias   alexandra"
-105.641862,40.399752,"Colias   alexandra"
-120.149,44.835,"Colias   alexandra"
-110.943874,34.334805,"Colias   alexandra"
-111.971352,40.382944,"Colias   alexandra"
-117.009888,39.121537,"Colias   alexandra"
-105.721886,41.665516,"Colias   alexandra"
-117.09,45.265,"Colias   alexandra"
-118.894333,43.243833,"Colias   alexandra"
-113.086083,39.852166,"Colias   alexandra"
-117.223,48.449,"Colias   alexandra"
-117.274,48.769,"Colias   alexandra"
-121.178635,44.64515,"Colias   alexandra"
-109.139087,33.770271,"Colias   alexandra"
-118.61,48.933,"Colias   alexandra"
-106.69295,39.63064,"Colias   alexandra"
-118.633,48.972,"Colias   alexandra"
-121.834,42.888,"Colias   alexandra"
-118.658,48.91,"Colias   alexandra"
-118.641,48.925,"Colias   alexandra"
-104.52747,38.827385,"Colias   alexandra"
-118.229,48.83,"Colias   alexandra"
-107.07811,38.669678,"Colias   alexandra"
-109.49017,35.385082,"Colias   alexandra"
-115.48,51.19,"Colias   alexandra"
-118.517075,48.437244,"Colias   alexandra"
-115.49,51.2,"Colias   alexandra"
-120.02688,44.736412,"Colias   alexandra"
-114.44262,46.931865,"Colias   alexandra"
-112.847831,47.978006,"Colias   alexandra"
-116.804,45.555,"Colias   alexandra"
-112.590054,45.67027,"Colias   alexandra"
-110.875,49.398,"Colias   alexandra"
-112.565333,40.49871,"Colias   alexandra"
-109.6,49.64,"Colias   alexandra"
-121.420545,41.690993,"Colias   alexandra"
-121.417412,41.687948,"Colias   alexandra"
-112.231522,37.576147,"Colias   alexandra"
-109.071765,42.851865,"Colias   alexandra"
-119.304,48.682,"Colias   alexandra"
-105.335,39.929,"Colias   alexandra"
-113.211047,39.998382,"Colias   alexandra"
-113.92,45.333,"Colias   alexandra"
-114.43466,46.774855,"Colias   alexandra"
-111.953134,38.533688,"Colias   alexandra"
-111.893661,38.520531,"Colias   alexandra"
-111.894402,38.520507,"Colias   alexandra"
-111.881301,38.510256,"Colias   alexandra"
-117.4583,49.0475,"Colias   alexandra"
-119.0644,49.0667,"Colias   alexandra"
-118.4322,49.0889,"Colias   alexandra"
-117.4783,49.0472,"Colias   alexandra"
-119.0644,49.0644,"Colias   alexandra"
-118.4333,49.0333,"Colias   alexandra"
-117.3947,49.0375,"Colias   alexandra"
-114.9667,49.2667,"Colias   alexandra"
-113.234352,39.991674,"Colias   alexandra"
-112.74361,40.22111,"Colias   alexandra"
-113.233931,39.988662,"Colias   alexandra"
-113.94828,49.48191,"Colias   alexandra"
-109.246,49.0338,"Colias   alexandra"
-122.766667,51.916667,"Colias   alexandra"
-109.75,49.2333,"Colias   alexandra"
-109.75,49,"Colias   alexandra"
-109.75,49.23,"Colias   alexandra"
-117.4042,49.0525,"Colias   alexandra"
-116.0333,50.5333,"Colias   alexandra"
-117.3333,49.0056,"Colias   alexandra"
-117.375,49.0278,"Colias   alexandra"
-117.5444,49.025,"Colias   alexandra"
-117.2833,49,"Colias   alexandra"
-115.733,50.783,"Colias   alexandra"
-106.987823,38.869715,"Colias   alexandra"
-106.989768,38.959158,"Colias   alexandra"
-119.6,49.3,"Colias   alexandra"
-111.143382,34.426018,"Colias   alexandra"
-111.25,49.07,"Colias   alexandra"
-107.7333,50.7,"Colias   alexandra"
-108.8167,49.5167,"Colias   alexandra"
-112.9142,51.1166,"Colias   alexandra"
-109.832723,43.289935,"Colias   alexandra"
-111.418547,38.94833,"Colias   alexandra"
-109.5,49.65,"Colias   alexandra"
-121.522164,45.705947,"Colias   alexandra"
-105.69729,40.35546,"Colias   alexandra"
-115.7667,49.5,"Colias   alexandra"
-116.468,45.622,"Colias   alexandra"
-114.466,49,"Colias   alexandra"
-116.55,45.46,"Colias   alexandra"
-114.752,50.867,"Colias   alexandra"
-115.8,49.9432,"Colias   alexandra"
-114.653,49.4385,"Colias   alexandra"
-117.65,49.316,"Colias   alexandra"
-115.7168,49.7167,"Colias   alexandra"
-114.9,50.887,"Colias   alexandra"
-118.977,48.849,"Colias   alexandra"
-114.818,50.934,"Colias   alexandra"
-118.583,43.666,"Colias   alexandra"
-114.924,51.056,"Colias   alexandra"
-105.179629,38.718051,"Colias   alexandra"
-118.643,42.738,"Colias   alexandra"
-105.352988,38.845876,"Colias   alexandra"
-119.06,48.793,"Colias   alexandra"
-111.61,50.839,"Colias   alexandra"
-116.154,48.777,"Colias   alexandra"
-117.672,52.384,"Colias   alexandra"
-99.9667,50.6333,"Colias   alexandra"
-114.111,51.114,"Colias   alexandra"
-113.033,43.7,"Colias   alexandra"
-112.3117,49.2546,"Colias   alexandra"
-112.1933,49.6038,"Colias   alexandra"
-119.083,49.5,"Colias   alexandra"
-118.117,48.417,"Colias   alexandra"
-117.025204,45.198274,"Colias   alexandra"
-116.986,48.353,"Colias   alexandra"
-112.8031,49.4147,"Colias   alexandra"
-112.5127,49.2401,"Colias   alexandra"
-112.2,49.4729,"Colias   alexandra"
-112.2447,49.1964,"Colias   alexandra"
-113.1167,49.3667,"Colias   alexandra"
-114.038,49.6766,"Colias   alexandra"
-112.6468,49.2837,"Colias   alexandra"
-112.6468,49.2983,"Colias   alexandra"
-116.911,42.969,"Colias   alexandra"
-116.7,45.242,"Colias   alexandra"
-116.266,50.833,"Colias   alexandra"
-116.216,48.57,"Colias   alexandra"
-105.7575,39.4128,"Colias   alexandra"
-116.272,48.573,"Colias   alexandra"
-112.5667,51.2167,"Colias   alexandra"
-110.3037,49.6766,"Colias   alexandra"
-110,50.95,"Colias   alexandra"
-116.733,43.017,"Colias   alexandra"
-115.083,49.1,"Colias   alexandra"
-112.573244,40.496888,"Colias   alexandra"
-117.201,46.424,"Colias   alexandra"
-116.842,46.211,"Colias   alexandra"
-116.783,45.055,"Colias   alexandra"
-116.164,45.419,"Colias   alexandra"
-114.4,51.4667,"Colias   alexandra"
-119.666667,49.85,"Colias   alexandra"
-116.83,46.173,"Colias   alexandra"
-119.1,49.85,"Colias   alexandra"
-119.883333,49.366667,"Colias   alexandra"
-119.166667,50.25,"Colias   alexandra"
-111.63139,35.28472,"Colias   alexandra"
-111.797,50.845,"Colias   alexandra"
-119.533333,50.05,"Colias   alexandra"
-114.633,46.633,"Colias   alexandra"
-116.167,45.456,"Colias   alexandra"
-119.866667,49.4,"Colias   alexandra"
