"lon","lat","species.name"
-102.546648,64.158841,"Colias   palaeno"
-96.845268,64.760013,"Colias   palaeno"
-121.351296,61.862408,"Colias   palaeno"
-150.22319,67.48164,"Colias   palaeno"
-148.9401,63.7318,"Colias   palaeno"
-150.984721,63.538844,"Colias   palaeno"
-147.13491,63.99986,"Colias   palaeno"
-148.9177,63.7339,"Colias   palaeno"
-148.9606,63.7252,"Colias   palaeno"
-150.982,63.5399,"Colias   palaeno"
-148.9637,63.7536,"Colias   palaeno"
-148.9607,63.751,"Colias   palaeno"
-150.9959,63.5422,"Colias   palaeno"
-150.8496,63.4573,"Colias   palaeno"
-148.9177,63.7324,"Colias   palaeno"
-148.95346,63.74016,"Colias   palaeno"
-150.864,63.4534,"Colias   palaeno"
-150.10298,63.50154,"Colias   palaeno"
-149.7845,63.5593,"Colias   palaeno"
-147.17934,63.99018,"Colias   palaeno"
-149.3595,63.7409,"Colias   palaeno"
-149.5717,63.6426,"Colias   palaeno"
-149.35381,63.74163,"Colias   palaeno"
-68.559837,63.767271,"Colias   palaeno"
-149.2627,63.7127,"Colias   palaeno"
-68.551941,63.767227,"Colias   palaeno"
-148.11847,64.46121,"Colias   palaeno"
-145.665647,63.193488,"Colias   palaeno"
-145.402703,65.490675,"Colias   palaeno"
-147.939573,64.911058,"Colias   palaeno"
-145.569007,65.424543,"Colias   palaeno"
-148.11922,64.46134,"Colias   palaeno"
-146.4358,63.09035,"Colias   palaeno"
-148.11459,64.45778,"Colias   palaeno"
-148.363217,64.953783,"Colias   palaeno"
-147.736836,64.869652,"Colias   palaeno"
-145.681037,63.305864,"Colias   palaeno"
-127.589378,62.129974,"Colias   palaeno"
-149.490124,68.451635,"Colias   palaeno"
-149.662761,68.03413,"Colias   palaeno"
-149.759878,67.993136,"Colias   palaeno"
-150.329183,66.259317,"Colias   palaeno"
-148.294855,64.70275,"Colias   palaeno"
-117.956,53.1922,"Colias   palaeno"
-117.95,53.19,"Colias   palaeno"
-147.72217,64.8698,"Colias   palaeno"
-118.091,52.892,"Colias   palaeno"
-118,52.92,"Colias   palaeno"
-118.02,52.8,"Colias   palaeno"
-118,52.921,"Colias   palaeno"
-118.023,52.808,"Colias   palaeno"
-118.09,52.89,"Colias   palaeno"
-142.995,62.395,"Colias   palaeno"
-113.99,49.06,"Colias   palaeno"
-93.86,58.77,"Colias   palaeno"
-94.05,58.7,"Colias   palaeno"
-93.82,58.74,"Colias   palaeno"
-93.78,58.63,"Colias   palaeno"
-93.81,58.63,"Colias   palaeno"
-93.73,58.77,"Colias   palaeno"
-94.09,58.76,"Colias   palaeno"
-93.86,58.76,"Colias   palaeno"
-93.74,58.78,"Colias   palaeno"
-93.98,58.75,"Colias   palaeno"
-93.82,58.63,"Colias   palaeno"
-94.11,58.73,"Colias   palaeno"
-93.78,58.73,"Colias   palaeno"
-93.8,58.63,"Colias   palaeno"
-93.98,58.76,"Colias   palaeno"
-93.8,58.72,"Colias   palaeno"
-94.12,58.73,"Colias   palaeno"
-93.79,58.63,"Colias   palaeno"
-93.81,58.73,"Colias   palaeno"
-93.81,58.72,"Colias   palaeno"
-143.25,62.53,"Colias   palaeno"
-93.82,58.73,"Colias   palaeno"
-94.08,58.76,"Colias   palaeno"
-124.4425,61.2364,"Colias   palaeno"
-128.0681,62.1392,"Colias   palaeno"
-148.297546,64.703507,"Colias   palaeno"
-130.1023,63.2753,"Colias   palaeno"
-124.8558,61.4057,"Colias   palaeno"
-111.5885,64.8683,"Colias   palaeno"
-125.6403,61.5932,"Colias   palaeno"
-125.758,61.6072,"Colias   palaeno"
-124.9305,61.4088,"Colias   palaeno"
-111.5835,64.8713,"Colias   palaeno"
-148.945809,64.785057,"Colias   palaeno"
-111.5562,64.8577,"Colias   palaeno"
-111.5802,64.875,"Colias   palaeno"
-148.563507,69.489167,"Colias   palaeno"
-145.42052,65.479037,"Colias   palaeno"
-151.51,66.92,"Colias   palaeno"
-114.415,59.048,"Colias   palaeno"
-135.25219,60.60137,"Colias   palaeno"
-151.513,66.91744,"Colias   palaeno"
-153.866111,59.568333,"Colias   palaeno"
-153.87,59.57,"Colias   palaeno"
-134.95135,60.70935,"Colias   palaeno"
-148.907778,61.365278,"Colias   palaeno"
-147.87462,64.91318,"Colias   palaeno"
-136.216667,67.033333,"Colias   palaeno"
-135.433333,67.225,"Colias   palaeno"
-124.633,58.65,"Colias   palaeno"
-123.9,58.6,"Colias   palaeno"
-123.15,59.567,"Colias   palaeno"
-123.216,59.083,"Colias   palaeno"
-124.666,58.667,"Colias   palaeno"
-124.683,58.65,"Colias   palaeno"
-139.583333,61.471667,"Colias   palaeno"
-117.52162,61.27546,"Colias   palaeno"
-115.25981,67.79814,"Colias   palaeno"
-150.15,63.478333,"Colias   palaeno"
-141.933333,62.961667,"Colias   palaeno"
-150.17,63.461667,"Colias   palaeno"
-143.74912,68.59375,"Colias   palaeno"
-134.708333,60.075,"Colias   palaeno"
-143.747533,68.59655,"Colias   palaeno"
-114.3821,62.44733,"Colias   palaeno"
-150.991667,63.541667,"Colias   palaeno"
-145.395,63.945,"Colias   palaeno"
-150.846667,63.476667,"Colias   palaeno"
-150.046667,63.529167,"Colias   palaeno"
-150.963333,63.528333,"Colias   palaeno"
-133.250229,68.286382,"Colias   palaeno"
-150.126667,63.486667,"Colias   palaeno"
