"lon","lat","species.name"
-107.856247,44.801821,"Colias   pelidne"
-110.460309,45.481224,"Colias   pelidne"
-144.682388,63.710426,"Colias   pelidne"
-63.629898,58.268129,"Colias   pelidne"
-110.58811,44.049324,"Colias   pelidne"
-99.81,50.66,"Colias   pelidne"
-99.82,50.67,"Colias   pelidne"
-94.05,58.7,"Colias   pelidne"
-128.0681,62.1392,"Colias   pelidne"
-127.2067,61.9594,"Colias   pelidne"
-94.13,58.75,"Colias   pelidne"
-126.7088,65.3043,"Colias   pelidne"
-124.1942,61.3057,"Colias   pelidne"
-125.758,61.6072,"Colias   pelidne"
-125.6403,61.5932,"Colias   pelidne"
-123.3823,61.0357,"Colias   pelidne"
-124.93,61.4128,"Colias   pelidne"
-93.82,58.73,"Colias   pelidne"
-107.052838,44.145799,"Colias   pelidne"
-56.96225,51.47196,"Colias   pelidne"
-133.333333,68.308333,"Colias   pelidne"
-114.005,45.246,"Colias   pelidne"
-111.605354,44.916378,"Colias   pelidne"
-70.2,54.73,"Colias   pelidne"
-70.3,54.55,"Colias   pelidne"
-71.1667,54.5667,"Colias   pelidne"
-71.3,54.45,"Colias   pelidne"
-70.2,54.7333,"Colias   pelidne"
-69.8667,54.6667,"Colias   pelidne"
-76.97,53.38,"Colias   pelidne"
-69.9833,54.7833,"Colias   pelidne"
-69.87,54.07,"Colias   pelidne"
-70.32,54.05,"Colias   pelidne"
-70.3167,54.5,"Colias   pelidne"
-70.85,54.57,"Colias   pelidne"
-70.05,54.45,"Colias   pelidne"
-70.5167,54.45,"Colias   pelidne"
-70.3167,54.6333,"Colias   pelidne"
-70.15,54.75,"Colias   pelidne"
-70.3,54.5833,"Colias   pelidne"
-70.4833,54.4333,"Colias   pelidne"
-70.35,54.4833,"Colias   pelidne"
-70.5,54.45,"Colias   pelidne"
-70.0833,54.7833,"Colias   pelidne"
-76.9667,53.3833,"Colias   pelidne"
-70.85,54.5667,"Colias   pelidne"
-71.02,54.57,"Colias   pelidne"
-115.272,50.814,"Colias   pelidne"
-55.6833,51.5306,"Colias   pelidne"
-66.9333,52.9833,"Colias   pelidne"
