"lon","lat","species.name"
-145.586925,69.571329,"Erebia   fasciata"
-145.3379,65.3558,"Erebia   fasciata"
-149.825912,63.536165,"Erebia   fasciata"
-145.3437,65.3693,"Erebia   fasciata"
-146.162109,69.557553,"Erebia   fasciata"
-148.363217,64.953783,"Erebia   fasciata"
-153.47282,69.44934,"Erebia   fasciata"
-148.793335,69.234737,"Erebia   fasciata"
-148.35,64.95,"Erebia   fasciata"
-127.3406,64.9319,"Erebia   fasciata"
-140.002,61.36,"Erebia   fasciata"
-148.358641,64.953034,"Erebia   fasciata"
-138.2333,65.07083,"Erebia   fasciata"
-138.37297,64.64846,"Erebia   fasciata"
-138.25,61.217,"Erebia   fasciata"
-134.95135,60.70935,"Erebia   fasciata"
-145.4444,65.45504,"Erebia   fasciata"
-139.583333,61.471667,"Erebia   fasciata"
-135.866667,67.175,"Erebia   fasciata"
-115.25981,67.79814,"Erebia   fasciata"
-115.766667,67.9,"Erebia   fasciata"
-123.745333,71.701167,"Erebia   fasciata"
-150.17,63.461667,"Erebia   fasciata"
-150.136667,63.486667,"Erebia   fasciata"
-148.35804,64.953024,"Erebia   fasciata"
-148.353333,64.9525,"Erebia   fasciata"
-148.12513,64.925103,"Erebia   fasciata"
-136.22,67.010833,"Erebia   fasciata"
-136.21,67.036667,"Erebia   fasciata"
-138.343333,65.06,"Erebia   fasciata"
-138.351715,65.07212,"Erebia   fasciata"
-145.403611,65.484444,"Erebia   fasciata"
-136.305,66.669167,"Erebia   fasciata"
-148.058333,65.216667,"Erebia   fasciata"
-138.167,65.0333,"Erebia   fasciata"
-138.2333,65.05,"Erebia   fasciata"
-138.2,65.0833,"Erebia   fasciata"
-148.833333,69.15,"Erebia   fasciata"
-148.75,69.833333,"Erebia   fasciata"
-134.71667,60.11111,"Erebia   fasciata"
-141.056667,65.153333,"Erebia   fasciata"
-138.238333,65.081667,"Erebia   fasciata"
-141.053333,65.15,"Erebia   fasciata"
-141.041667,65.152333,"Erebia   fasciata"
-117.75,70.751667,"Erebia   fasciata"
-117.765,70.751667,"Erebia   fasciata"
-117.751667,70.756667,"Erebia   fasciata"
-117.775,70.749167,"Erebia   fasciata"
-117.775,70.76,"Erebia   fasciata"
-115.106667,67.819167,"Erebia   fasciata"
-114.783333,68.7925,"Erebia   fasciata"
-114.808333,68.788333,"Erebia   fasciata"
-136.278333,66.600833,"Erebia   fasciata"
-136.295,66.628333,"Erebia   fasciata"
-136.25,66.593333,"Erebia   fasciata"
-138.417,65.25,"Erebia   fasciata"
-136.5333,67.9833,"Erebia   fasciata"
-139.4667,61.4667,"Erebia   fasciata"
-138.255,65.083333,"Erebia   fasciata"
-138.246667,65.081667,"Erebia   fasciata"
-138.243333,65.081667,"Erebia   fasciata"
-137.683333,65.841667,"Erebia   fasciata"
-138.26,65.063333,"Erebia   fasciata"
-138.2333,65.0833,"Erebia   fasciata"
-140.1667,69.2167,"Erebia   fasciata"
-138.26,65.083333,"Erebia   fasciata"
-140.0833,69.2167,"Erebia   fasciata"
-138.255,65.063,"Erebia   fasciata"
-138.253333,65.058333,"Erebia   fasciata"
-140.0333,69.25,"Erebia   fasciata"
-140.05,69.2833,"Erebia   fasciata"
-140.3833,69.45,"Erebia   fasciata"
-138.2,65.0167,"Erebia   fasciata"
-138.27,65.085,"Erebia   fasciata"
-138.9,69.5667,"Erebia   fasciata"
-145.4,65.483333,"Erebia   fasciata"
-136.8667,60.9833,"Erebia   fasciata"
-136.2,67.0167,"Erebia   fasciata"
-137.85,60.83,"Erebia   fasciata"
-149.7333,68.05,"Erebia   fasciata"
-135.8167,66.3667,"Erebia   fasciata"
-138.7,61.1667,"Erebia   fasciata"
-135.381691,67.235252,"Erebia   fasciata"
-138.3167,65.0667,"Erebia   fasciata"
-138.9167,61.25,"Erebia   fasciata"
-138.75,61.2167,"Erebia   fasciata"
-140.75,69.433333,"Erebia   fasciata"
-138.9167,61.2,"Erebia   fasciata"
-140.783333,69.5,"Erebia   fasciata"
-96.0333,64.3167,"Erebia   fasciata"
-138.25,65.066667,"Erebia   fasciata"
-136.083333,67.15,"Erebia   fasciata"
-138.366667,64.733333,"Erebia   fasciata"
-138.366667,64.616667,"Erebia   fasciata"
-136.2,67.05,"Erebia   fasciata"
-136.2333,66.9667,"Erebia   fasciata"
-138.85,61.2333,"Erebia   fasciata"
-136.066667,67.216667,"Erebia   fasciata"
-135.833333,67.183333,"Erebia   fasciata"
-136.5833,66.45,"Erebia   fasciata"
-138.7167,61.25,"Erebia   fasciata"
-136.2,67.166667,"Erebia   fasciata"
-149.5699,63.6193,"Erebia   fasciata"
-138.35,64.6167,"Erebia   fasciata"
-125.2,71.983333,"Erebia   fasciata"
-137.833333,60.85,"Erebia   fasciata"
-108.033,66.834,"Erebia   fasciata"
-114.033333,71.283333,"Erebia   fasciata"
-114,71.2833,"Erebia   fasciata"
-114.041667,71.283333,"Erebia   fasciata"
-113.966667,71.266667,"Erebia   fasciata"
-114.058333,71.283333,"Erebia   fasciata"
-114.016667,71.283333,"Erebia   fasciata"
-113.841667,71.266667,"Erebia   fasciata"
