"lon","lat","species.name"
-91.447926,48.776839,"Erebia   mancinus"
-136.155796,60.77425,"Erebia   mancinus"
-91.695833,48.675018,"Erebia   mancinus"
-148.29993,64.703626,"Erebia   mancinus"
-148.301193,64.703966,"Erebia   mancinus"
-147.736836,64.869652,"Erebia   mancinus"
-148.3,64.7,"Erebia   mancinus"
-148.11592,64.45904,"Erebia   mancinus"
-148.12675,64.46,"Erebia   mancinus"
-148.297546,64.703507,"Erebia   mancinus"
-148.294855,64.70275,"Erebia   mancinus"
-148.30158,64.70391,"Erebia   mancinus"
-106.02,53.9,"Erebia   mancinus"
-106.021,53.909,"Erebia   mancinus"
-106.02,53.91,"Erebia   mancinus"
-117.88,52.66,"Erebia   mancinus"
-117.883,52.665,"Erebia   mancinus"
-124.4464,61.2447,"Erebia   mancinus"
-148.35,64.95,"Erebia   mancinus"
-147.726618,64.86614,"Erebia   mancinus"
-148.281667,64.753889,"Erebia   mancinus"
-147.234496,64.744653,"Erebia   mancinus"
-128.9175,66.2708,"Erebia   mancinus"
-115.2853,62.6563,"Erebia   mancinus"
-128.9258,66.2678,"Erebia   mancinus"
-115.265,58.949,"Erebia   mancinus"
-115.26,58.949,"Erebia   mancinus"
-114.433,59.049,"Erebia   mancinus"
-134.97724,60.69921,"Erebia   mancinus"
-133.68182,59.55657,"Erebia   mancinus"
-147.9123,64.83007,"Erebia   mancinus"
-147.8675,64.8656,"Erebia   mancinus"
-111.067,57.953,"Erebia   mancinus"
-139.583333,61.471667,"Erebia   mancinus"
-133.64959,68.33611,"Erebia   mancinus"
-130.633333,59.95,"Erebia   mancinus"
-130.633333,59.966667,"Erebia   mancinus"
-134.333333,60.333333,"Erebia   mancinus"
-130.616667,59.966667,"Erebia   mancinus"
-130.616667,59.983333,"Erebia   mancinus"
-133.633333,59.683333,"Erebia   mancinus"
-133.683333,59.633333,"Erebia   mancinus"
-135.2183,60.6917,"Erebia   mancinus"
-133.6833,59.65,"Erebia   mancinus"
-133.7,59.5667,"Erebia   mancinus"
-134.6833,59.9667,"Erebia   mancinus"
-107.3279,54.4312,"Erebia   mancinus"
-114.871,52.655,"Erebia   mancinus"
-147.95,64.916667,"Erebia   mancinus"
