"lon","lat","species.name"
-128.393828,62.019975,"Erebia   pawloskii"
-148.95346,63.74016,"Erebia   pawloskii"
-149.60834,63.59455,"Erebia   pawloskii"
-148.96071,63.75095,"Erebia   pawloskii"
-145.681037,63.305864,"Erebia   pawloskii"
-150.02696,63.682335,"Erebia   pawloskii"
-149.529848,63.569706,"Erebia   pawloskii"
-142.995,62.395,"Erebia   pawloskii"
-149.431667,68.513333,"Erebia   pawloskii"
-94.17,58.76,"Erebia   pawloskii"
-93.82,58.74,"Erebia   pawloskii"
-93.73,58.77,"Erebia   pawloskii"
-93.82,58.73,"Erebia   pawloskii"
-138.37297,64.64846,"Erebia   pawloskii"
-105.39838,40.094837,"Erebia   pawloskii"
-145.42052,65.479037,"Erebia   pawloskii"
-135.25219,60.60137,"Erebia   pawloskii"
-139.583333,61.471667,"Erebia   pawloskii"
-149.366667,68.291667,"Erebia   pawloskii"
-150.136667,63.486667,"Erebia   pawloskii"
-150.15,63.478333,"Erebia   pawloskii"
-150.046667,63.529167,"Erebia   pawloskii"
-150.12,63.488333,"Erebia   pawloskii"
-150.17,63.461667,"Erebia   pawloskii"
-150.266667,63.441667,"Erebia   pawloskii"
-150.211667,63.466667,"Erebia   pawloskii"
-150.126667,63.486667,"Erebia   pawloskii"
-143.65,62.93,"Erebia   pawloskii"
-143.1,62.463333,"Erebia   pawloskii"
-143.25,62.53,"Erebia   pawloskii"
-110.58811,44.049324,"Erebia   pawloskii"
-138.228333,65.071667,"Erebia   pawloskii"
-143.3,62.538333,"Erebia   pawloskii"
-138.233333,65.070833,"Erebia   pawloskii"
-138.245,64.582333,"Erebia   pawloskii"
-138.218333,65.073333,"Erebia   pawloskii"
-138.233333,65.0725,"Erebia   pawloskii"
-138.26,65.063333,"Erebia   pawloskii"
-138.26,65.063833,"Erebia   pawloskii"
-138.223333,65.076667,"Erebia   pawloskii"
-139.58,61.47,"Erebia   pawloskii"
-153.554392,62.395383,"Erebia   pawloskii"
-150.2987,63.6012,"Erebia   pawloskii"
-150.1487,63.4734,"Erebia   pawloskii"
-150.2925,63.6249,"Erebia   pawloskii"
-150.287674,63.448607,"Erebia   pawloskii"
-148.7,69.366667,"Erebia   pawloskii"
-94.163591,58.768411,"Erebia   pawloskii"
-145.646443,63.312511,"Erebia   pawloskii"
-138.281051,64.590644,"Erebia   pawloskii"
-137.25,66.116667,"Erebia   pawloskii"
-109.4379,44.973294,"Erebia   pawloskii"
-143.248361,63.125278,"Erebia   pawloskii"
-150.286907,69.258778,"Erebia   pawloskii"
-149.00447,63.771627,"Erebia   pawloskii"
-149.663403,63.554545,"Erebia   pawloskii"
-150.404993,63.338563,"Erebia   pawloskii"
-151.728333,68.146667,"Erebia   pawloskii"
-150.967084,63.313751,"Erebia   pawloskii"
-152.143295,69.367233,"Erebia   pawloskii"
-151.741667,68.141667,"Erebia   pawloskii"
-150.230393,63.457269,"Erebia   pawloskii"
-149.420977,68.461901,"Erebia   pawloskii"
-105.686849,40.047938,"Erebia   pawloskii"
-145.833333,65.41,"Erebia   pawloskii"
-148.975,61.603333,"Erebia   pawloskii"
-150.933333,63.521667,"Erebia   pawloskii"
-150.18,63.445,"Erebia   pawloskii"
-150.233333,63.488333,"Erebia   pawloskii"
-150.212585,63.346084,"Erebia   pawloskii"
-150.896667,63.518333,"Erebia   pawloskii"
-149.25049,61.56603,"Erebia   pawloskii"
