"lon","lat","species.name"
-148.11802,64.46089,"Erebia   rossii"
-146.060486,69.572353,"Erebia   rossii"
-153.47282,69.44934,"Erebia   rossii"
-146.140944,69.576594,"Erebia   rossii"
-149.490124,68.451635,"Erebia   rossii"
-68.50781,63.751661,"Erebia   rossii"
-148.793335,69.178184,"Erebia   rossii"
-148.452301,70.147406,"Erebia   rossii"
-93.79,58.63,"Erebia   rossii"
-93.786,58.632,"Erebia   rossii"
-93.78,58.63,"Erebia   rossii"
-149.431667,68.513333,"Erebia   rossii"
-140.002,61.36,"Erebia   rossii"
-138.30937,64.847,"Erebia   rossii"
-111.5885,64.8683,"Erebia   rossii"
-138.25,61.217,"Erebia   rossii"
-149.20343,68.48931,"Erebia   rossii"
-149.2,68.49,"Erebia   rossii"
-149.455,68.52,"Erebia   rossii"
-149.495,68.493333,"Erebia   rossii"
-149.4,68.275,"Erebia   rossii"
-149.383333,68.266667,"Erebia   rossii"
-136.216667,67.033333,"Erebia   rossii"
-139.583333,61.471667,"Erebia   rossii"
-135.866667,67.175,"Erebia   rossii"
-125.683333,58.766667,"Erebia   rossii"
-115.25981,67.79814,"Erebia   rossii"
-149.573333,63.686667,"Erebia   rossii"
-149.578333,63.676667,"Erebia   rossii"
-149.493333,63.708333,"Erebia   rossii"
-150.108333,63.495,"Erebia   rossii"
-149.578333,63.683333,"Erebia   rossii"
-149.973333,63.5125,"Erebia   rossii"
-149.416667,63.725,"Erebia   rossii"
-150.136667,63.486667,"Erebia   rossii"
-136.21,67.036667,"Erebia   rossii"
-138.343333,65.06,"Erebia   rossii"
-136.199768,67.024311,"Erebia   rossii"
-138.351715,65.07212,"Erebia   rossii"
-139.444133,64.09308,"Erebia   rossii"
-136.22,67.010833,"Erebia   rossii"
-145.526111,65.438611,"Erebia   rossii"
-137.993384,65.714689,"Erebia   rossii"
-148.066667,65.188333,"Erebia   rossii"
-138.25,64.5667,"Erebia   rossii"
-138.167,65.0333,"Erebia   rossii"
-138.2167,65.0833,"Erebia   rossii"
-138.2,65.0333,"Erebia   rossii"
-138.2233,65.0833,"Erebia   rossii"
-148.75,69.833333,"Erebia   rossii"
-148.75618,69.833215,"Erebia   rossii"
-148.681667,69.416667,"Erebia   rossii"
-138.245,64.582333,"Erebia   rossii"
-138.228333,65.071667,"Erebia   rossii"
-115.113333,67.816667,"Erebia   rossii"
-115.106667,67.819167,"Erebia   rossii"
-136.278333,66.600833,"Erebia   rossii"
-136.256667,66.5975,"Erebia   rossii"
-136.295,66.628333,"Erebia   rossii"
-136.25,66.593333,"Erebia   rossii"
-136.4833,67.9667,"Erebia   rossii"
-136.208333,67.036667,"Erebia   rossii"
-136.5333,67.9833,"Erebia   rossii"
-138.25,64.9667,"Erebia   rossii"
-138.2333,65.05,"Erebia   rossii"
-138.1833,64.4833,"Erebia   rossii"
-138.26,65.063333,"Erebia   rossii"
-139.4667,61.4667,"Erebia   rossii"
-138.233333,65.0725,"Erebia   rossii"
-138.28,65.075,"Erebia   rossii"
-140.0833,69.2167,"Erebia   rossii"
-138.255,65.063,"Erebia   rossii"
-138.26,65.063833,"Erebia   rossii"
-138.253333,65.058333,"Erebia   rossii"
-140.0667,69.2167,"Erebia   rossii"
-140.1667,69.2167,"Erebia   rossii"
-140.0333,69.25,"Erebia   rossii"
-138.255,65.083333,"Erebia   rossii"
-140.2333,69.1333,"Erebia   rossii"
-138.26,65.033333,"Erebia   rossii"
-138.256667,65.028333,"Erebia   rossii"
-115.1,67.8333,"Erebia   rossii"
-138.2,65.0167,"Erebia   rossii"
-138.263333,65.048333,"Erebia   rossii"
-138.5833,68.8833,"Erebia   rossii"
-98.05,60,"Erebia   rossii"
-138.9,69.5667,"Erebia   rossii"
-94.1855,58.7752,"Erebia   rossii"
-96.1667,59.35,"Erebia   rossii"
-136.2,67.0167,"Erebia   rossii"
-136.7833,66.0333,"Erebia   rossii"
-96.0333,64.3167,"Erebia   rossii"
-138.417,65.25,"Erebia   rossii"
-138.3167,65.0667,"Erebia   rossii"
-138.4167,65.25,"Erebia   rossii"
-138.2,64.4667,"Erebia   rossii"
-135.4167,67.25,"Erebia   rossii"
-138.25,65.4167,"Erebia   rossii"
-94.0667,61.1167,"Erebia   rossii"
-138.2333,65.0833,"Erebia   rossii"
-96.016667,64.316667,"Erebia   rossii"
-138.3667,64.7333,"Erebia   rossii"
-140.783333,69.5,"Erebia   rossii"
-135.8,67.1833,"Erebia   rossii"
-94.1833,58.7833,"Erebia   rossii"
-136.2,66.9333,"Erebia   rossii"
-138.4333,64.9167,"Erebia   rossii"
-136.4333,64.9167,"Erebia   rossii"
-136.2,67.05,"Erebia   rossii"
-138.366667,64.816667,"Erebia   rossii"
-140.75,69.433333,"Erebia   rossii"
-136.2333,66.9667,"Erebia   rossii"
-135.833333,67.183333,"Erebia   rossii"
-137.8833,60.9167,"Erebia   rossii"
-83.1667,64.1333,"Erebia   rossii"
-136.5833,66.45,"Erebia   rossii"
-83.0667,64.1333,"Erebia   rossii"
-136.1,67.116667,"Erebia   rossii"
-136.1,67.1167,"Erebia   rossii"
-137.9833,60.9333,"Erebia   rossii"
-136.083333,67.15,"Erebia   rossii"
-149.788333,68.735833,"Erebia   rossii"
-124.733333,58.616667,"Erebia   rossii"
-149.776667,68.736667,"Erebia   rossii"
-108.033,66.834,"Erebia   rossii"
-150.607222,63.440376,"Erebia   rossii"
-115.133333,67.816667,"Erebia   rossii"
-135.3,63.9,"Erebia   rossii"
-138.2333,65.0667,"Erebia   rossii"
-124.6667,58.6333,"Erebia   rossii"
-138.7167,61.25,"Erebia   rossii"
-145.053333,69.378333,"Erebia   rossii"
-94.163591,58.768411,"Erebia   rossii"
-145.07,69.366667,"Erebia   rossii"
-138.4167,64.35,"Erebia   rossii"
-145.086667,69.366667,"Erebia   rossii"
-145.073333,69.373333,"Erebia   rossii"
-139.508368,69.479965,"Erebia   rossii"
-137.25,66.116667,"Erebia   rossii"
-146.866667,69.666667,"Erebia   rossii"
-138.25,64.4833,"Erebia   rossii"
-138.25,64.95,"Erebia   rossii"
-145.966667,69.375,"Erebia   rossii"
-134.671617,69.006175,"Erebia   rossii"
-137.214033,68.798515,"Erebia   rossii"
-135.90356,68.206979,"Erebia   rossii"
-149.933333,68.9,"Erebia   rossii"
-150.000999,63.491338,"Erebia   rossii"
-132.246078,69.441439,"Erebia   rossii"
-145.043377,69.314845,"Erebia   rossii"
-149.214744,68.522486,"Erebia   rossii"
-150.5198,67.7569,"Erebia   rossii"
-132.1667,69.3833,"Erebia   rossii"
-148.822777,69.154457,"Erebia   rossii"
-140.6,68.816667,"Erebia   rossii"
-148.338429,70.255645,"Erebia   rossii"
-149.274067,69.364175,"Erebia   rossii"
-151.046282,68.620121,"Erebia   rossii"
-150.286907,69.258778,"Erebia   rossii"
-150.587245,68.395544,"Erebia   rossii"
-149.421483,68.461706,"Erebia   rossii"
-96.0225,64.3213,"Erebia   rossii"
-149.524575,68.452639,"Erebia   rossii"
-148.7,69.366667,"Erebia   rossii"
-145.833333,65.41,"Erebia   rossii"
-151.816667,68.151667,"Erebia   rossii"
-137.983333,68.466667,"Erebia   rossii"
-151.748333,68.158333,"Erebia   rossii"
-150.836667,63.483333,"Erebia   rossii"
-145.383333,65.5,"Erebia   rossii"
-145.426667,65.471667,"Erebia   rossii"
-145.42,65.45,"Erebia   rossii"
-145.4,65.468333,"Erebia   rossii"
-145.066667,69.366667,"Erebia   rossii"
-120.6,68.75,"Erebia   rossii"
-94.35,60.85,"Erebia   rossii"
-150.212585,63.346084,"Erebia   rossii"
-151.733333,68.141667,"Erebia   rossii"
-107.3167,63.1833,"Erebia   rossii"
-145.4,65.483333,"Erebia   rossii"
-106.8333,65.2333,"Erebia   rossii"
-104.25,64.8667,"Erebia   rossii"
-102.2333,67.7167,"Erebia   rossii"
-135.7667,61.4333,"Erebia   rossii"
-66.5833,62.8333,"Erebia   rossii"
-138.2,65,"Erebia   rossii"
-124.6667,58.65,"Erebia   rossii"
-120.6667,58.6333,"Erebia   rossii"
-108.1667,64.75,"Erebia   rossii"
-111.25,64.0833,"Erebia   rossii"
-94.0833,58.75,"Erebia   rossii"
-90.7,63.3333,"Erebia   rossii"
-83.1667,64.15,"Erebia   rossii"
-83.1667,64.2,"Erebia   rossii"
-89.8167,68.5333,"Erebia   rossii"
-86.25,66.5333,"Erebia   rossii"
-95.5833,60.3,"Erebia   rossii"
-104,65.66,"Erebia   rossii"
-108.0333,66.8333,"Erebia   rossii"
-90.7,63.33333,"Erebia   rossii"
-140.9833,67.4167,"Erebia   rossii"
-93.5167,69.5333,"Erebia   rossii"
-93.25,69.3333,"Erebia   rossii"
-96.6667,61.9167,"Erebia   rossii"
-105.05,69.1167,"Erebia   rossii"
-94.6667,56.35,"Erebia   rossii"
-90.7,63.34,"Erebia   rossii"
-68.5167,63.75,"Erebia   rossii"
-125.7667,58.9333,"Erebia   rossii"
-68.4,58.1,"Erebia   rossii"
-134.1333,68.7,"Erebia   rossii"
-84.8833,66.85,"Erebia   rossii"
-94,58.75,"Erebia   rossii"
-81.67873,50.21709,"Erebia   rossii"
-72.65,64.0167,"Erebia   rossii"
-94.122148,58.752843,"Erebia   rossii"
-69.8833,62.85,"Erebia   rossii"
-150.552322188835,63.3294964769139,"Erebia   rossii"
-94.1167,58.725,"Erebia   rossii"
-115.0667,67.8167,"Erebia   rossii"
-105.7167,63.5833,"Erebia   rossii"
-70.9167,66.5,"Erebia   rossii"
-136.4167,68.8333,"Erebia   rossii"
-115,69.75,"Erebia   rossii"
-138.3833,61.0333,"Erebia   rossii"
-149.366667,68.525,"Erebia   rossii"
-149.35,68.308333,"Erebia   rossii"
-82.64,27.7731,"Erebia   rossii"
-114.66795,62.35019,"Erebia   rossii"
