"lon","lat","species.name"
-120.663699,48.726851,"Erebia   vidleri"
-121.81577,48.49329,"Erebia   vidleri"
-121.83643,48.84265,"Erebia   vidleri"
-123.88986,48.110905,"Erebia   vidleri"
-120.754838,48.500509,"Erebia   vidleri"
-121.055911,48.468732,"Erebia   vidleri"
-121.053183,48.469758,"Erebia   vidleri"
-120.848122,48.5718,"Erebia   vidleri"
-120.755986,49.123004,"Erebia   vidleri"
-120.961201,47.675184,"Erebia   vidleri"
-120.76778,49.09738,"Erebia   vidleri"
-121.16458,49.2989,"Erebia   vidleri"
-122.10509,50.27921,"Erebia   vidleri"
-120.665454,48.723762,"Erebia   vidleri"
-119.5,50.1333,"Erebia   vidleri"
-120.7833,49.05,"Erebia   vidleri"
-121.6833,49.1833,"Erebia   vidleri"
-120.8,49.1,"Erebia   vidleri"
-122.2018,50.7597,"Erebia   vidleri"
-119.9083,49.3542,"Erebia   vidleri"
-122.2,50.7667,"Erebia   vidleri"
-119.4687,50.5402,"Erebia   vidleri"
-122.158,50.3583,"Erebia   vidleri"
-119.9538,49.3912,"Erebia   vidleri"
-119.9,49.35,"Erebia   vidleri"
-121.683333,49.183333,"Erebia   vidleri"
-119.9,49.4,"Erebia   vidleri"
-119.883333,49.35,"Erebia   vidleri"
-119.883333,49.366667,"Erebia   vidleri"
-119.9,49.366667,"Erebia   vidleri"
-119.883333,49.416667,"Erebia   vidleri"
-119.566667,50.1,"Erebia   vidleri"
-119.85,49.35,"Erebia   vidleri"
-120,49.383333,"Erebia   vidleri"
-119.916667,49.366667,"Erebia   vidleri"
-119.866667,49.35,"Erebia   vidleri"
-119.75,50.016667,"Erebia   vidleri"
-120.647262,48.703395,"Erebia   vidleri"
-120.670944,48.700088,"Erebia   vidleri"
-122.8888,50.0265,"Erebia   vidleri"
-120.8835,49.0667,"Erebia   vidleri"
-122.174,50.766,"Erebia   vidleri"
-121.692,49.176,"Erebia   vidleri"
-121.6763,49.1837,"Erebia   vidleri"
-122.95,50.0667,"Erebia   vidleri"
-122.9333,50.7833,"Erebia   vidleri"
-120.679,48.742,"Erebia   vidleri"
-120.933333,49.083333,"Erebia   vidleri"
-120.9,49.066667,"Erebia   vidleri"
-119.9167,49.3833,"Erebia   vidleri"
-120.781,49.064,"Erebia   vidleri"
-123,50.6,"Erebia   vidleri"
-122.15,50.366667,"Erebia   vidleri"
-121.716667,49.166667,"Erebia   vidleri"
-119.5833,49.5,"Erebia   vidleri"
-122.366667,50.416667,"Erebia   vidleri"
-121.533333,49.616667,"Erebia   vidleri"
-122.85,50.966667,"Erebia   vidleri"
-122.2,50.766667,"Erebia   vidleri"
-123.66501,47.80213,"Erebia   vidleri"
-120.55,49.2,"Erebia   vidleri"
-120.783333,49.066667,"Erebia   vidleri"
-120.083333,49.183333,"Erebia   vidleri"
-120.617,49.1345,"Erebia   vidleri"
-120.883333,49.05,"Erebia   vidleri"
-120.660920020887,48.7197336138797,"Erebia   vidleri"
-120.6167,49.1333,"Erebia   vidleri"
-120.65,49.1167,"Erebia   vidleri"
-120.48316,48.97375,"Erebia   vidleri"
-120.7667,49.1,"Erebia   vidleri"
-120.767,49.092,"Erebia   vidleri"
-119.83924,48.65543,"Erebia   vidleri"
-119.93968,48.68936,"Erebia   vidleri"
-120.0333,49.3667,"Erebia   vidleri"
-120.4893,49.7668,"Erebia   vidleri"
-120.8667,49.1167,"Erebia   vidleri"
-120.5,49.4667,"Erebia   vidleri"
-119.780617,48.095978,"Erebia   vidleri"
-120.34868,48.17808,"Erebia   vidleri"
-119.7167,49.45,"Erebia   vidleri"
-120.3326,48.22793,"Erebia   vidleri"
-122.0833,50.7333,"Erebia   vidleri"
-119.8833,49.35,"Erebia   vidleri"
-121.4167,49.35,"Erebia   vidleri"
-121.5833,49.6833,"Erebia   vidleri"
-119.1833,49.8,"Erebia   vidleri"
-120.0667,49.35,"Erebia   vidleri"
-120.08333,49.35,"Erebia   vidleri"
-120.6167,49.9333,"Erebia   vidleri"
-119.45,50.05,"Erebia   vidleri"
-119.4833,49.8833,"Erebia   vidleri"
-121.9333,50.6833,"Erebia   vidleri"
-121.95,50.6667,"Erebia   vidleri"
-120.3833,49.4333,"Erebia   vidleri"
-121.4223,49.352,"Erebia   vidleri"
-120.5667,49.1667,"Erebia   vidleri"
-119.8667,49.3667,"Erebia   vidleri"
-122.855372,45.143731,"Erebia   vidleri"
-122.2167,50.7333,"Erebia   vidleri"
