"lon","lat","species.name"
-110.740018,32.457365,"Erora   quaderna"
-110.282233,31.411217,"Erora   quaderna"
-100.414347,25.718824,"Erora   quaderna"
-110.881062,31.728459,"Erora   quaderna"
-109.279767,31.917076,"Erora   quaderna"
-110.711207,32.408695,"Erora   quaderna"
-100.94259,25.328132,"Erora   quaderna"
-110.283079,31.43833,"Erora   quaderna"
-110.549988,32.218078,"Erora   quaderna"
-110.283036,31.429936,"Erora   quaderna"
-100.980277,25.334019,"Erora   quaderna"
-110.87559,31.710203,"Erora   quaderna"
-110.880087,31.725088,"Erora   quaderna"
-110.378098,31.537103,"Erora   quaderna"
-111.78302,32.12824,"Erora   quaderna"
-110.380068,31.532238,"Erora   quaderna"
-109.77516,31.840128,"Erora   quaderna"
-109.87831,32.931828,"Erora   quaderna"
-110.876576,31.704885,"Erora   quaderna"
-109.92083,32.699172,"Erora   quaderna"
-110.349922,31.555216,"Erora   quaderna"
-110.277286,31.5455,"Erora   quaderna"
-109.49017,35.385082,"Erora   quaderna"
-110.408137,31.488986,"Erora   quaderna"
-109.37572,33.43892,"Erora   quaderna"
-100.223056,24.886667,"Erora   quaderna"
-110.347618,31.475143,"Erora   quaderna"
-106.133056,24.888611,"Erora   quaderna"
-110.269907,31.475908,"Erora   quaderna"
-109.31814,33.55061,"Erora   quaderna"
-109.21727,31.87999,"Erora   quaderna"
-110.921111,32.432995,"Erora   quaderna"
-110.27137,31.41618,"Erora   quaderna"
-110.81673,31.49818,"Erora   quaderna"
-110.774807,31.825918,"Erora   quaderna"
-109.585045,33.910648,"Erora   quaderna"
-110.705345,32.430378,"Erora   quaderna"
-110.70537,32.430353,"Erora   quaderna"
-111.532715,34.180738,"Erora   quaderna"
-111.686523,33.009414,"Erora   quaderna"
