"lon","lat","species.name"
-80.26083,26.198023,"Eumaeus   atala"
-80.244592,26.120894,"Eumaeus   atala"
-80.47972,27.601603,"Eumaeus   atala"
-80.321585,27.567339,"Eumaeus   atala"
-80.514285,25.594374,"Eumaeus   atala"
-80.306557,26.133883,"Eumaeus   atala"
-80.204903,26.091439,"Eumaeus   atala"
-80.393232,26.153865,"Eumaeus   atala"
-80.26409,26.159553,"Eumaeus   atala"
-80.167336,26.751371,"Eumaeus   atala"
-80.203514,26.153339,"Eumaeus   atala"
-80.214315,26.188986,"Eumaeus   atala"
-77.253757,26.029267,"Eumaeus   atala"
-80.123974,26.518917,"Eumaeus   atala"
-80.320525,26.114991,"Eumaeus   atala"
-77.253756,26.029257,"Eumaeus   atala"
-80.07648,26.834129,"Eumaeus   atala"
-80.297129,26.015117,"Eumaeus   atala"
-80.268989,25.773333,"Eumaeus   atala"
-80.05984,26.31146,"Eumaeus   atala"
-80.345056,26.081094,"Eumaeus   atala"
-80.086974,26.530434,"Eumaeus   atala"
-80.221282,26.055075,"Eumaeus   atala"
-80.533595,25.463946,"Eumaeus   atala"
-80.364516,25.717526,"Eumaeus   atala"
-80.505053,27.844414,"Eumaeus   atala"
-80.406778,27.652143,"Eumaeus   atala"
-80.034841,26.442961,"Eumaeus   atala"
-80.072941,26.774173,"Eumaeus   atala"
-80.4956,27.817288,"Eumaeus   atala"
-80.045119,26.139105,"Eumaeus   atala"
-80.178245,26.851426,"Eumaeus   atala"
-80.376847,26.178752,"Eumaeus   atala"
-80.139538,26.705511,"Eumaeus   atala"
-80.199213,26.812967,"Eumaeus   atala"
-80.245663,26.034865,"Eumaeus   atala"
-80.774692,28.052115,"Eumaeus   atala"
-80.312271,26.046304,"Eumaeus   atala"
-80.575367,27.668939,"Eumaeus   atala"
-80.17917,26.775329,"Eumaeus   atala"
-80.081156,26.373834,"Eumaeus   atala"
-80.047446,26.773258,"Eumaeus   atala"
-80.386583,25.658683,"Eumaeus   atala"
-80.276893,27.145875,"Eumaeus   atala"
-80.437967,28.145703,"Eumaeus   atala"
-80.270033,27.177408,"Eumaeus   atala"
-80.256656,25.647571,"Eumaeus   atala"
-80.372123,25.654376,"Eumaeus   atala"
-80.135905,26.673365,"Eumaeus   atala"
-80.364777,26.5079,"Eumaeus   atala"
-80.082942,26.90969,"Eumaeus   atala"
-80.099007,26.908352,"Eumaeus   atala"
-80.159886,25.810657,"Eumaeus   atala"
-80.208354,25.661974,"Eumaeus   atala"
-80.365503,25.654161,"Eumaeus   atala"
-77.210229,26.218185,"Eumaeus   atala"
-80.19093,26.686462,"Eumaeus   atala"
-80.271157,26.527212,"Eumaeus   atala"
-80.353481,25.759765,"Eumaeus   atala"
-80.262087,25.76815,"Eumaeus   atala"
-80.040252,26.596893,"Eumaeus   atala"
-80.332836,25.881235,"Eumaeus   atala"
-80.216484,26.046607,"Eumaeus   atala"
-80.109852,26.506035,"Eumaeus   atala"
-80.277686,25.761114,"Eumaeus   atala"
-80.117325,26.450473,"Eumaeus   atala"
-80.282847,26.060604,"Eumaeus   atala"
-80.01437,26.433326,"Eumaeus   atala"
-80.315895,25.662071,"Eumaeus   atala"
-76.988788,26.472766,"Eumaeus   atala"
-80.305978,25.624834,"Eumaeus   atala"
-80.206193,25.761418,"Eumaeus   atala"
-80.378458,25.614221,"Eumaeus   atala"
-80.076899,26.444164,"Eumaeus   atala"
-80.392423,26.178021,"Eumaeus   atala"
-80.069606,26.554249,"Eumaeus   atala"
-80.191187,25.867232,"Eumaeus   atala"
-80.349514,25.566564,"Eumaeus   atala"
-80.153631,25.944089,"Eumaeus   atala"
-80.109743,25.879537,"Eumaeus   atala"
-80.271476,25.7039,"Eumaeus   atala"
-80.373217,25.777087,"Eumaeus   atala"
-80.391202,25.790873,"Eumaeus   atala"
-80.002836,25.912619,"Eumaeus   atala"
-80.278876,25.618112,"Eumaeus   atala"
-80.370066,25.679307,"Eumaeus   atala"
-80.275504,25.679179,"Eumaeus   atala"
-80.396442,26.192633,"Eumaeus   atala"
-80.02227,26.743503,"Eumaeus   atala"
-80.397782,25.719927,"Eumaeus   atala"
-80.162307,25.948752,"Eumaeus   atala"
-80.309065,25.644837,"Eumaeus   atala"
-80.356998,25.639666,"Eumaeus   atala"
-80.292223,26.769985,"Eumaeus   atala"
-80.349708,26.125912,"Eumaeus   atala"
-80.184774,26.404826,"Eumaeus   atala"
-80.156575,26.498072,"Eumaeus   atala"
-80.149832,26.125955,"Eumaeus   atala"
-80.199284,26.046835,"Eumaeus   atala"
-80.380166,25.779667,"Eumaeus   atala"
-80.44867,26.645763,"Eumaeus   atala"
