"lon","lat","species.name"
-117.81284,34.454441,"Euphilotes   enoptes"
-105.241802,39.954087,"Euphilotes   enoptes"
-117.808573,34.202331,"Euphilotes   enoptes"
-121.898567,37.160502,"Euphilotes   enoptes"
-123.096163,38.438464,"Euphilotes   enoptes"
-105.301154,40.013171,"Euphilotes   enoptes"
-116.823555,34.290763,"Euphilotes   enoptes"
-105.309681,40.025181,"Euphilotes   enoptes"
-112.047986,41.661017,"Euphilotes   enoptes"
-105.33627,39.943492,"Euphilotes   enoptes"
-121.714263,36.439883,"Euphilotes   enoptes"
-111.949098,41.557562,"Euphilotes   enoptes"
-105.309461,40.012206,"Euphilotes   enoptes"
-105.596465,40.36937,"Euphilotes   enoptes"
-111.639084,40.591738,"Euphilotes   enoptes"
-112.005261,41.628273,"Euphilotes   enoptes"
-119.268158,37.972887,"Euphilotes   enoptes"
-112.010536,41.634012,"Euphilotes   enoptes"
-111.646005,41.882231,"Euphilotes   enoptes"
-105.299789,40.116056,"Euphilotes   enoptes"
-121.777747,36.565648,"Euphilotes   enoptes"
-113.533562,43.445998,"Euphilotes   enoptes"
-105.182398,40.577773,"Euphilotes   enoptes"
-105.18241,40.577763,"Euphilotes   enoptes"
-105.586321,40.364049,"Euphilotes   enoptes"
-121.91484,36.59355,"Euphilotes   enoptes"
-113.6055,42.288635,"Euphilotes   enoptes"
-122.615807,37.978863,"Euphilotes   enoptes"
-105.31038,40.689597,"Euphilotes   enoptes"
-105.182445,40.577827,"Euphilotes   enoptes"
-121.839043,36.475584,"Euphilotes   enoptes"
-116.821507,34.289435,"Euphilotes   enoptes"
-122.385077,37.912691,"Euphilotes   enoptes"
-112.4019,42.7027,"Euphilotes   enoptes"
-122.488792,41.316002,"Euphilotes   enoptes"
-119.266183,37.9711,"Euphilotes   enoptes"
-105.215289,40.783039,"Euphilotes   enoptes"
-120.861003,40.019776,"Euphilotes   enoptes"
-119.12555,34.813803,"Euphilotes   enoptes"
-105.386181,40.136208,"Euphilotes   enoptes"
-105.341675,41.203438,"Euphilotes   enoptes"
-105.340272,41.200183,"Euphilotes   enoptes"
-105.367112,41.200703,"Euphilotes   enoptes"
-119.230961,37.934621,"Euphilotes   enoptes"
-105.371847,40.147179,"Euphilotes   enoptes"
-120.009438,38.68965,"Euphilotes   enoptes"
-116.300572,34.025988,"Euphilotes   enoptes"
-116.297882,34.023396,"Euphilotes   enoptes"
-118.72951,35.34663,"Euphilotes   enoptes"
-122.485604,37.909734,"Euphilotes   enoptes"
-122.499876,37.909642,"Euphilotes   enoptes"
-122.49565,37.911158,"Euphilotes   enoptes"
