"lon","lat","species.name"
-112.958685,37.252921,"Euphydryas   anicia"
-110.712455,43.658895,"Euphydryas   anicia"
-111.706571,40.44196,"Euphydryas   anicia"
-112.174671,42.703138,"Euphydryas   anicia"
-112.036005,41.660885,"Euphydryas   anicia"
-110.742713,43.698382,"Euphydryas   anicia"
-104.851112,38.7225,"Euphydryas   anicia"
-105.327432,41.178258,"Euphydryas   anicia"
-114.383324,49.337257,"Euphydryas   anicia"
-111.915146,41.655607,"Euphydryas   anicia"
-105.562888,40.17104,"Euphydryas   anicia"
-111.763267,41.369037,"Euphydryas   anicia"
-105.634087,39.582407,"Euphydryas   anicia"
-110.950761,45.853308,"Euphydryas   anicia"
-105.639392,39.596398,"Euphydryas   anicia"
-111.721642,39.796059,"Euphydryas   anicia"
-109.441235,33.978618,"Euphydryas   anicia"
-109.350911,38.432896,"Euphydryas   anicia"
-112.852075,37.233692,"Euphydryas   anicia"
-106.988917,37.256842,"Euphydryas   anicia"
-109.749677,40.417427,"Euphydryas   anicia"
-104.839335,38.722506,"Euphydryas   anicia"
-114.256395,49.394333,"Euphydryas   anicia"
-104.887452,38.947732,"Euphydryas   anicia"
-104.886698,38.948075,"Euphydryas   anicia"
-119.322524,43.531314,"Euphydryas   anicia"
-118.868739,42.809337,"Euphydryas   anicia"
-109.5936,44.492386,"Euphydryas   anicia"
-116.062858,51.193967,"Euphydryas   anicia"
-110.470866,41.499891,"Euphydryas   anicia"
-111.655306,40.580451,"Euphydryas   anicia"
-110.723527,41.593724,"Euphydryas   anicia"
-105.34243,41.200817,"Euphydryas   anicia"
-113.348844,48.49674,"Euphydryas   anicia"
-105.65909,38.13297,"Euphydryas   anicia"
-117.275383,49.969516,"Euphydryas   anicia"
-105.376675,41.16612,"Euphydryas   anicia"
-110.780909,41.89154,"Euphydryas   anicia"
-110.433025,44.793531,"Euphydryas   anicia"
-105.292872,39.97071,"Euphydryas   anicia"
-105.642304,40.01316,"Euphydryas   anicia"
-106.445231,39.117816,"Euphydryas   anicia"
-119.717811,42.479767,"Euphydryas   anicia"
-103.744064,42.485676,"Euphydryas   anicia"
-105.721886,41.665516,"Euphydryas   anicia"
-114.427629,50.03454,"Euphydryas   anicia"
-105.322853,38.893638,"Euphydryas   anicia"
-107.795896,37.889995,"Euphydryas   anicia"
-123.88986,48.110905,"Euphydryas   anicia"
-106.32925,40.663433,"Euphydryas   anicia"
-111.69085,40.673317,"Euphydryas   anicia"
-104.907202,38.958881,"Euphydryas   anicia"
-105.324572,38.901455,"Euphydryas   anicia"
-106.81612,37.783021,"Euphydryas   anicia"
-113.496204,38.494539,"Euphydryas   anicia"
-137.5081,61.6089,"Euphydryas   anicia"
-113.637321,48.806439,"Euphydryas   anicia"
-105.726259,32.974914,"Euphydryas   anicia"
-105.725663,32.972876,"Euphydryas   anicia"
-106.918012,37.829743,"Euphydryas   anicia"
-105.393562,40.148124,"Euphydryas   anicia"
-107.126398,37.788653,"Euphydryas   anicia"
-120.38979,42.788403,"Euphydryas   anicia"
-106.446533,40.007895,"Euphydryas   anicia"
-105.25125,39.576572,"Euphydryas   anicia"
-106.88121,44.78137,"Euphydryas   anicia"
-105.419998,39.841759,"Euphydryas   anicia"
-134.77103,60.25313,"Euphydryas   anicia"
-136.057541,61.817249,"Euphydryas   anicia"
-111.077369,39.928176,"Euphydryas   anicia"
-121.81577,48.49329,"Euphydryas   anicia"
-105.528946,39.861084,"Euphydryas   anicia"
-117.04724,39.90021,"Euphydryas   anicia"
-116.791534,39.185433,"Euphydryas   anicia"
-108.42732,38.009373,"Euphydryas   anicia"
-104.52747,38.827385,"Euphydryas   anicia"
-107.38341,37.811626,"Euphydryas   anicia"
-107.767136,38.1506,"Euphydryas   anicia"
-105.702939,39.593978,"Euphydryas   anicia"
-109.49017,35.385082,"Euphydryas   anicia"
-108.20452,40.573982,"Euphydryas   anicia"
-111.74458,41.734226,"Euphydryas   anicia"
-110.5328,45.421906,"Euphydryas   anicia"
-111.216317,48.860923,"Euphydryas   anicia"
-113.082571,39.670497,"Euphydryas   anicia"
-106.9323,37.651478,"Euphydryas   anicia"
-104.883518,38.821679,"Euphydryas   anicia"
-112.599608,45.716198,"Euphydryas   anicia"
-106.91595,39.217533,"Euphydryas   anicia"
-104.029654,42.780493,"Euphydryas   anicia"
-105.78108,32.588776,"Euphydryas   anicia"
-105.389442,39.909901,"Euphydryas   anicia"
-109.525795,49.66499,"Euphydryas   anicia"
-106.58854,44.04405,"Euphydryas   anicia"
-105.71765,39.118916,"Euphydryas   anicia"
-115.63788,44.77153,"Euphydryas   anicia"
-120.62993,40.72109,"Euphydryas   anicia"
-118.517075,48.437244,"Euphydryas   anicia"
-112.832207,37.63126,"Euphydryas   anicia"
-115.6535,46.67257,"Euphydryas   anicia"
-105.969461,39.411099,"Euphydryas   anicia"
-115.73,51.13,"Euphydryas   anicia"
-105.899416,39.310975,"Euphydryas   anicia"
-115.72,51.12,"Euphydryas   anicia"
-111.66867,40.120407,"Euphydryas   anicia"
-106.186133,39.281378,"Euphydryas   anicia"
-114,49.07,"Euphydryas   anicia"
-113.99,49.06,"Euphydryas   anicia"
-115.18022,47.75647,"Euphydryas   anicia"
-119.604,53.78,"Euphydryas   anicia"
-119.607,53.891,"Euphydryas   anicia"
-105.48213,40.66309,"Euphydryas   anicia"
-112.847831,47.978006,"Euphydryas   anicia"
-103.926322,42.766356,"Euphydryas   anicia"
-102.8238,44.00235,"Euphydryas   anicia"
-114.017,49.126,"Euphydryas   anicia"
-118.033065,43.014499,"Euphydryas   anicia"
-115.76,49.24,"Euphydryas   anicia"
-137.51622,60.74808,"Euphydryas   anicia"
-113.215126,39.994041,"Euphydryas   anicia"
-120.038873,41.991066,"Euphydryas   anicia"
-133.80415,60.07437,"Euphydryas   anicia"
-105.878806,39.654143,"Euphydryas   anicia"
-111.195541,40.096882,"Euphydryas   anicia"
-111.801876,39.503688,"Euphydryas   anicia"
-114.479,49.664,"Euphydryas   anicia"
-120.488644,47.626316,"Euphydryas   anicia"
-118.60868,42.554347,"Euphydryas   anicia"
-118.593331,42.599932,"Euphydryas   anicia"
-112.653497,37.047418,"Euphydryas   anicia"
-135.218333,61.056667,"Euphydryas   anicia"
-113.086083,39.852166,"Euphydryas   anicia"
-133.8,60.066667,"Euphydryas   anicia"
-109.166932,39.883439,"Euphydryas   anicia"
-109.17667,40.02111,"Euphydryas   anicia"
-111.647826,40.717406,"Euphydryas   anicia"
-112.871822,48.162661,"Euphydryas   anicia"
-122.266667,52.033333,"Euphydryas   anicia"
-114.489296,47.709747,"Euphydryas   anicia"
-114.582646,47.554956,"Euphydryas   anicia"
-139.583333,61.471667,"Euphydryas   anicia"
-118.98595,43.064354,"Euphydryas   anicia"
-114.635414,47.720478,"Euphydryas   anicia"
-114.54729,47.690921,"Euphydryas   anicia"
-112.095964,40.513395,"Euphydryas   anicia"
-115.142421,48.923296,"Euphydryas   anicia"
-122.266667,52.333333,"Euphydryas   anicia"
-122.520941,40.909738,"Euphydryas   anicia"
-119.45,49.05,"Euphydryas   anicia"
-119.6,49.3,"Euphydryas   anicia"
-115.113503,48.941909,"Euphydryas   anicia"
-109.75833,40.61389,"Euphydryas   anicia"
-114.28,49.36,"Euphydryas   anicia"
-112.719605,37.035976,"Euphydryas   anicia"
-115.181,50.865,"Euphydryas   anicia"
-110.870196,43.14031,"Euphydryas   anicia"
-112.37056,38.36917,"Euphydryas   anicia"
-110.930547,43.142312,"Euphydryas   anicia"
-114.455,50.197,"Euphydryas   anicia"
-107.16476,44.34736,"Euphydryas   anicia"
-118.983333,50.85,"Euphydryas   anicia"
-114.642,50.65,"Euphydryas   anicia"
-111.620864,40.397716,"Euphydryas   anicia"
-106.90061,49.34843,"Euphydryas   anicia"
-114.416667,49.816667,"Euphydryas   anicia"
-114.433333,49.833333,"Euphydryas   anicia"
-119.283333,50.3,"Euphydryas   anicia"
-121.45,50.7,"Euphydryas   anicia"
-114.443611,50.1025,"Euphydryas   anicia"
-115.683,45.812,"Euphydryas   anicia"
-120.68011,48.74208,"Euphydryas   anicia"
-116.783,45.055,"Euphydryas   anicia"
-117.216,46.114,"Euphydryas   anicia"
-119.166667,50.633333,"Euphydryas   anicia"
-116.593,43.103,"Euphydryas   anicia"
-109.686813,40.329903,"Euphydryas   anicia"
-116.18,48.916,"Euphydryas   anicia"
-105.7575,39.4128,"Euphydryas   anicia"
-119.833333,50.483333,"Euphydryas   anicia"
-116.15,44.933,"Euphydryas   anicia"
-114.727,44.37,"Euphydryas   anicia"
-121.5,50.416667,"Euphydryas   anicia"
-115.551,44.563,"Euphydryas   anicia"
-115.691,44.622,"Euphydryas   anicia"
-115.674,44.479,"Euphydryas   anicia"
-114.614,44.434,"Euphydryas   anicia"
-115.59,44.438,"Euphydryas   anicia"
-115.489,44.937,"Euphydryas   anicia"
-116.164,45.419,"Euphydryas   anicia"
-116.605,45.059,"Euphydryas   anicia"
-122.016667,50.8,"Euphydryas   anicia"
-121.916667,50.75,"Euphydryas   anicia"
-119.183333,50.25,"Euphydryas   anicia"
-119.2,50.266667,"Euphydryas   anicia"
-122.033333,50.816667,"Euphydryas   anicia"
-119.85,49.35,"Euphydryas   anicia"
-119.9,49.4,"Euphydryas   anicia"
-119.15,49.133333,"Euphydryas   anicia"
-120,50.383333,"Euphydryas   anicia"
-119.866667,49.35,"Euphydryas   anicia"
-115.157,50.943,"Euphydryas   anicia"
-119.116667,49.133333,"Euphydryas   anicia"
-115.651,44.551,"Euphydryas   anicia"
-119.683333,49.2,"Euphydryas   anicia"
-120.683333,50.083333,"Euphydryas   anicia"
-119.883333,49.35,"Euphydryas   anicia"
-120.083333,49.183333,"Euphydryas   anicia"
-113.279,44.458,"Euphydryas   anicia"
-119.916667,49.366667,"Euphydryas   anicia"
-121.55,50.383333,"Euphydryas   anicia"
-119.666667,49.116667,"Euphydryas   anicia"
-116.733,45.069,"Euphydryas   anicia"
-119.683333,49.633333,"Euphydryas   anicia"
-119.816667,49.316667,"Euphydryas   anicia"
-119.75,49.333333,"Euphydryas   anicia"
-119.583333,49.5,"Euphydryas   anicia"
-119.716667,49.35,"Euphydryas   anicia"
-115.574,44.525,"Euphydryas   anicia"
-119.816667,49.366667,"Euphydryas   anicia"
-119.833333,49.366667,"Euphydryas   anicia"
-116.303,45.105,"Euphydryas   anicia"
-111.720311,40.638966,"Euphydryas   anicia"
-116.667,44.991,"Euphydryas   anicia"
-115.564,44.542,"Euphydryas   anicia"
-115.69,44.629,"Euphydryas   anicia"
-115.688,44.521,"Euphydryas   anicia"
-115.567,44.365,"Euphydryas   anicia"
-105.560536,32.792598,"Euphydryas   anicia"
-115.446,43.356,"Euphydryas   anicia"
-107.42041,38.11272,"Euphydryas   anicia"
-110.893,43.197,"Euphydryas   anicia"
-111.216,43.572,"Euphydryas   anicia"
-115.682,44.066,"Euphydryas   anicia"
-115.619,44.081,"Euphydryas   anicia"
-107.462002,38.071661,"Euphydryas   anicia"
-114.356,43.697,"Euphydryas   anicia"
-115.672,44.557,"Euphydryas   anicia"
-116.711,45.083,"Euphydryas   anicia"
-116.556,44.864,"Euphydryas   anicia"
-111.502,42.082,"Euphydryas   anicia"
-113.919,45.333,"Euphydryas   anicia"
-133.9,60.233333,"Euphydryas   anicia"
-113.68,44.822,"Euphydryas   anicia"
-113.257,44.763,"Euphydryas   anicia"
-114.285,42.189,"Euphydryas   anicia"
-111.366,44.12,"Euphydryas   anicia"
-113.337,43.604,"Euphydryas   anicia"
-114.306,42.194,"Euphydryas   anicia"
-112.096,42.112,"Euphydryas   anicia"
-113.563,42.336,"Euphydryas   anicia"
-115.671,43.501,"Euphydryas   anicia"
-112.05,42.15,"Euphydryas   anicia"
-113.254,44.358,"Euphydryas   anicia"
-114.45,50.2,"Euphydryas   anicia"
