"lon","lat","species.name"
-122.475575,37.791681,"Euphydryas   chalcedona"
-122.456192,37.792653,"Euphydryas   chalcedona"
-122.160665,37.315241,"Euphydryas   chalcedona"
-122.43148,37.696106,"Euphydryas   chalcedona"
-122.019213,37.21896,"Euphydryas   chalcedona"
-121.949481,37.913374,"Euphydryas   chalcedona"
-122.420988,37.678245,"Euphydryas   chalcedona"
-122.401969,37.672211,"Euphydryas   chalcedona"
-122.078895,37.356222,"Euphydryas   chalcedona"
-121.950538,37.91081,"Euphydryas   chalcedona"
-121.96003,37.906007,"Euphydryas   chalcedona"
-122.422638,37.677972,"Euphydryas   chalcedona"
-122.476323,37.792799,"Euphydryas   chalcedona"
-122.097236,38.506703,"Euphydryas   chalcedona"
-121.80233,37.396892,"Euphydryas   chalcedona"
-122.426963,37.680695,"Euphydryas   chalcedona"
-122.473151,37.79042,"Euphydryas   chalcedona"
-122.476232,37.792116,"Euphydryas   chalcedona"
-122.430763,37.697449,"Euphydryas   chalcedona"
-121.934938,37.198791,"Euphydryas   chalcedona"
-118.730278,34.098849,"Euphydryas   chalcedona"
-122.456054,37.791895,"Euphydryas   chalcedona"
-123.030663,38.714995,"Euphydryas   chalcedona"
-122.430569,37.692732,"Euphydryas   chalcedona"
-122.425475,37.679897,"Euphydryas   chalcedona"
-122.403266,37.681015,"Euphydryas   chalcedona"
-121.997713,37.932222,"Euphydryas   chalcedona"
-121.970744,37.883375,"Euphydryas   chalcedona"
-121.848686,37.92934,"Euphydryas   chalcedona"
-122.635047,37.972112,"Euphydryas   chalcedona"
-122.425865,37.680362,"Euphydryas   chalcedona"
-121.915405,37.90184,"Euphydryas   chalcedona"
-122.42868,37.683712,"Euphydryas   chalcedona"
-116.442719,33.289068,"Euphydryas   chalcedona"
-121.799738,37.396288,"Euphydryas   chalcedona"
-121.181887,36.48048,"Euphydryas   chalcedona"
-118.566269,34.083023,"Euphydryas   chalcedona"
-116.964257,33.459251,"Euphydryas   chalcedona"
-122.052917,37.066984,"Euphydryas   chalcedona"
-121.951065,37.909987,"Euphydryas   chalcedona"
-116.412087,32.663892,"Euphydryas   chalcedona"
-122.43459,37.685917,"Euphydryas   chalcedona"
-121.873094,37.171649,"Euphydryas   chalcedona"
-121.417603,37.081711,"Euphydryas   chalcedona"
-121.950911,37.909622,"Euphydryas   chalcedona"
-122.43277,37.691963,"Euphydryas   chalcedona"
-121.915253,37.904308,"Euphydryas   chalcedona"
-121.805135,37.175688,"Euphydryas   chalcedona"
-122.174195,37.806986,"Euphydryas   chalcedona"
-121.684933,36.169323,"Euphydryas   chalcedona"
-122.434875,37.689863,"Euphydryas   chalcedona"
-120.423417,34.697396,"Euphydryas   chalcedona"
-122.455567,37.792547,"Euphydryas   chalcedona"
-122.455255,37.792904,"Euphydryas   chalcedona"
-122.431351,37.684174,"Euphydryas   chalcedona"
-122.473517,37.790467,"Euphydryas   chalcedona"
-122.4338,37.691712,"Euphydryas   chalcedona"
-122.183388,37.308178,"Euphydryas   chalcedona"
-119.964882,37.604504,"Euphydryas   chalcedona"
-122.28718,38.75483,"Euphydryas   chalcedona"
-121.881387,37.209971,"Euphydryas   chalcedona"
-122.456739,37.792464,"Euphydryas   chalcedona"
-122.427094,37.674755,"Euphydryas   chalcedona"
-122.407295,37.679403,"Euphydryas   chalcedona"
-121.950696,37.909532,"Euphydryas   chalcedona"
-121.798744,37.174394,"Euphydryas   chalcedona"
-121.414762,36.788583,"Euphydryas   chalcedona"
-121.838245,37.192491,"Euphydryas   chalcedona"
-121.873863,37.160209,"Euphydryas   chalcedona"
-121.945352,37.186876,"Euphydryas   chalcedona"
-121.399827,36.080796,"Euphydryas   chalcedona"
-121.882031,37.208194,"Euphydryas   chalcedona"
-122.183569,37.308866,"Euphydryas   chalcedona"
-122.277584,38.675001,"Euphydryas   chalcedona"
-121.99171,37.925342,"Euphydryas   chalcedona"
-122.435675,37.689254,"Euphydryas   chalcedona"
-122.285697,38.754028,"Euphydryas   chalcedona"
-121.889548,37.203727,"Euphydryas   chalcedona"
-122.174263,37.806828,"Euphydryas   chalcedona"
-122.286261,38.754031,"Euphydryas   chalcedona"
-121.399911,36.779939,"Euphydryas   chalcedona"
-122.456103,37.792032,"Euphydryas   chalcedona"
-121.939144,37.892602,"Euphydryas   chalcedona"
-122.434578,37.685939,"Euphydryas   chalcedona"
-121.826062,37.174355,"Euphydryas   chalcedona"
-121.438566,37.110357,"Euphydryas   chalcedona"
-121.882031,37.20792,"Euphydryas   chalcedona"
-121.806023,37.203997,"Euphydryas   chalcedona"
-121.889176,37.203614,"Euphydryas   chalcedona"
-122.43435,37.68489,"Euphydryas   chalcedona"
-122.65982,38.020164,"Euphydryas   chalcedona"
-121.917703,37.880547,"Euphydryas   chalcedona"
-121.800978,37.210661,"Euphydryas   chalcedona"
-121.836694,37.18304,"Euphydryas   chalcedona"
-121.397133,36.077381,"Euphydryas   chalcedona"
-122.434731,37.686311,"Euphydryas   chalcedona"
-121.91545,37.901817,"Euphydryas   chalcedona"
-122.644464,37.958778,"Euphydryas   chalcedona"
-121.739023,37.166249,"Euphydryas   chalcedona"
-122.429518,37.683223,"Euphydryas   chalcedona"
-122.427939,37.681151,"Euphydryas   chalcedona"
-122.429352,37.683109,"Euphydryas   chalcedona"
-121.959912,37.908943,"Euphydryas   chalcedona"
-122.476788,37.791787,"Euphydryas   chalcedona"
-122.561972,37.896847,"Euphydryas   chalcedona"
-121.806389,37.205,"Euphydryas   chalcedona"
-122.421585,37.678288,"Euphydryas   chalcedona"
-116.982697,34.025921,"Euphydryas   chalcedona"
-121.882092,37.210839,"Euphydryas   chalcedona"
-122.058824,37.089354,"Euphydryas   chalcedona"
-121.91555,37.901844,"Euphydryas   chalcedona"
-121.460009,37.084112,"Euphydryas   chalcedona"
-121.937689,37.214332,"Euphydryas   chalcedona"
-121.920547,37.907039,"Euphydryas   chalcedona"
-122.434475,37.685215,"Euphydryas   chalcedona"
-116.44171,33.044119,"Euphydryas   chalcedona"
-122.183393,37.30825,"Euphydryas   chalcedona"
-122.473267,37.790281,"Euphydryas   chalcedona"
-122.433695,37.695854,"Euphydryas   chalcedona"
-122.181297,37.92482,"Euphydryas   chalcedona"
-121.959763,37.909391,"Euphydryas   chalcedona"
-121.982857,37.204233,"Euphydryas   chalcedona"
-121.917756,37.903983,"Euphydryas   chalcedona"
-122.578339,37.917084,"Euphydryas   chalcedona"
-120.653787,35.156611,"Euphydryas   chalcedona"
-122.26245,37.973183,"Euphydryas   chalcedona"
-122.49823,37.994512,"Euphydryas   chalcedona"
-122.281237,38.755283,"Euphydryas   chalcedona"
-121.719654,37.091335,"Euphydryas   chalcedona"
-122.065228,37.08874,"Euphydryas   chalcedona"
-122.420986,38.400671,"Euphydryas   chalcedona"
-122.793602,38.612423,"Euphydryas   chalcedona"
-122.433765,37.685383,"Euphydryas   chalcedona"
-122.638563,37.97277,"Euphydryas   chalcedona"
-121.426392,37.152656,"Euphydryas   chalcedona"
-121.684997,36.169412,"Euphydryas   chalcedona"
-119.884894,37.651017,"Euphydryas   chalcedona"
-118.654053,34.093063,"Euphydryas   chalcedona"
-121.894549,37.908069,"Euphydryas   chalcedona"
-121.882024,37.615132,"Euphydryas   chalcedona"
-122.455255,37.792685,"Euphydryas   chalcedona"
-122.434747,37.68551,"Euphydryas   chalcedona"
-121.722332,37.091582,"Euphydryas   chalcedona"
-121.898567,37.160502,"Euphydryas   chalcedona"
-122.171949,37.355298,"Euphydryas   chalcedona"
-121.977452,37.855071,"Euphydryas   chalcedona"
-122.183578,37.308529,"Euphydryas   chalcedona"
