"lon","lat","species.name"
-116.822914,32.679502,"Euphydryas   editha"
-117.111145,32.640157,"Euphydryas   editha"
-121.193436,36.490578,"Euphydryas   editha"
-122.519814,39.081783,"Euphydryas   editha"
-111.252483,45.229162,"Euphydryas   editha"
-120.838623,39.089568,"Euphydryas   editha"
-121.183933,36.47843,"Euphydryas   editha"
-119.892722,39.50197,"Euphydryas   editha"
-119.540505,38.519012,"Euphydryas   editha"
-116.97919,34.219282,"Euphydryas   editha"
-123.763356,39.556066,"Euphydryas   editha"
-123.779044,39.505085,"Euphydryas   editha"
-123.779372,39.499741,"Euphydryas   editha"
-120.662613,39.604303,"Euphydryas   editha"
-114.836214,39.293975,"Euphydryas   editha"
-122.030815,46.69198,"Euphydryas   editha"
-120.763993,49.10015,"Euphydryas   editha"
-119.937905,48.663995,"Euphydryas   editha"
-121.560957,40.442402,"Euphydryas   editha"
-121.647467,46.918537,"Euphydryas   editha"
-121.560915,40.442247,"Euphydryas   editha"
-121.692357,46.89513,"Euphydryas   editha"
-121.656213,46.919221,"Euphydryas   editha"
-121.563768,40.444535,"Euphydryas   editha"
-121.913534,48.810186,"Euphydryas   editha"
-120.89444,48.180066,"Euphydryas   editha"
-121.560787,40.442327,"Euphydryas   editha"
-120.759376,49.105471,"Euphydryas   editha"
-121.65953,46.913126,"Euphydryas   editha"
-121.558013,40.439308,"Euphydryas   editha"
-120.680108,48.742081,"Euphydryas   editha"
-118.180504,37.388016,"Euphydryas   editha"
-121.565707,40.446427,"Euphydryas   editha"
-121.949841,37.905284,"Euphydryas   editha"
-119.870078,37.664731,"Euphydryas   editha"
-121.912268,37.996993,"Euphydryas   editha"
-122.386451,38.844583,"Euphydryas   editha"
-121.192254,36.461442,"Euphydryas   editha"
-121.15315,36.449939,"Euphydryas   editha"
-121.913277,37.881941,"Euphydryas   editha"
-121.032515,38.775895,"Euphydryas   editha"
-123.132927,38.61852,"Euphydryas   editha"
-121.187728,36.477315,"Euphydryas   editha"
-121.868927,37.953284,"Euphydryas   editha"
-122.365079,39.004426,"Euphydryas   editha"
-121.912383,37.881637,"Euphydryas   editha"
-121.195559,36.447755,"Euphydryas   editha"
-121.914866,37.882759,"Euphydryas   editha"
-118.660966,48.717709,"Euphydryas   editha"
-116.969467,34.218667,"Euphydryas   editha"
-116.970823,34.220725,"Euphydryas   editha"
-121.191194,36.526768,"Euphydryas   editha"
-116.96996,34.21873,"Euphydryas   editha"
-121.68888,41.19933,"Euphydryas   editha"
-123.520803,47.979807,"Euphydryas   editha"
-121.196521,36.53325,"Euphydryas   editha"
-116.969175,34.219065,"Euphydryas   editha"
-116.971113,34.21812,"Euphydryas   editha"
-116.966907,34.221561,"Euphydryas   editha"
-121.191366,36.527906,"Euphydryas   editha"
-121.409197,46.863755,"Euphydryas   editha"
-121.729648,46.802461,"Euphydryas   editha"
-119.234328,37.916468,"Euphydryas   editha"
-119.266105,37.966495,"Euphydryas   editha"
-121.698655,46.913895,"Euphydryas   editha"
-113.075066,44.145154,"Euphydryas   editha"
-121.675472,46.933802,"Euphydryas   editha"
-121.436758,47.441956,"Euphydryas   editha"
-121.920928,37.813709,"Euphydryas   editha"
-121.002655,37.562386,"Euphydryas   editha"
-122.451103,39.027692,"Euphydryas   editha"
-121.175596,36.490669,"Euphydryas   editha"
-121.182286,36.481564,"Euphydryas   editha"
-121.180855,36.481187,"Euphydryas   editha"
-121.173631,36.490649,"Euphydryas   editha"
-121.186819,36.470144,"Euphydryas   editha"
-121.191001,36.526246,"Euphydryas   editha"
-121.174814,36.490429,"Euphydryas   editha"
-121.158814,36.476011,"Euphydryas   editha"
-117.711543,34.219043,"Euphydryas   editha"
-120.182297,39.446268,"Euphydryas   editha"
-116.967121,34.222284,"Euphydryas   editha"
-120.383302,47.59586,"Euphydryas   editha"
-121.81577,48.49329,"Euphydryas   editha"
-121.722957,46.797774,"Euphydryas   editha"
-120.666683,39.686763,"Euphydryas   editha"
-121.504535,46.928167,"Euphydryas   editha"
-119.236861,37.921417,"Euphydryas   editha"
-119.262955,37.90947,"Euphydryas   editha"
-120.671082,39.712073,"Euphydryas   editha"
-122.15323,47.051437,"Euphydryas   editha"
-121.355872,40.4838,"Euphydryas   editha"
-121.355903,40.483597,"Euphydryas   editha"
-121.65144,46.92049,"Euphydryas   editha"
-121.644187,46.915389,"Euphydryas   editha"
-121.643876,46.917236,"Euphydryas   editha"
-121.729539,46.80372,"Euphydryas   editha"
-121.912436,37.886906,"Euphydryas   editha"
-120.772705,36.193309,"Euphydryas   editha"
-121.909171,37.879959,"Euphydryas   editha"
-121.909164,37.879959,"Euphydryas   editha"
-121.168413,36.482934,"Euphydryas   editha"
-121.912333,37.881608,"Euphydryas   editha"
-121.912295,37.881618,"Euphydryas   editha"
-119.65502,36.761005,"Euphydryas   editha"
-121.18413,36.478543,"Euphydryas   editha"
-121.912319,37.8816,"Euphydryas   editha"
-121.91244,37.881738,"Euphydryas   editha"
-121.184125,36.478583,"Euphydryas   editha"
-110.762428,43.479929,"Euphydryas   editha"
-121.408541,37.408753,"Euphydryas   editha"
-121.182495,36.479995,"Euphydryas   editha"
-123.133489,38.620303,"Euphydryas   editha"
-121.186126,36.475219,"Euphydryas   editha"
-116.076629,46.019526,"Euphydryas   editha"
-120.663338,39.60677,"Euphydryas   editha"
-106.1116,39.826595,"Euphydryas   editha"
-106.107341,39.825121,"Euphydryas   editha"
-119.69103,48.550972,"Euphydryas   editha"
-121.927986,37.884067,"Euphydryas   editha"
-121.681094,49.175318,"Euphydryas   editha"
-114.05432,48.314697,"Euphydryas   editha"
-119.904296,38.619575,"Euphydryas   editha"
-122.37744,46.58007,"Euphydryas   editha"
-121.726733,46.796599,"Euphydryas   editha"
-121.50579,40.47419,"Euphydryas   editha"
-121.726909,46.879966,"Euphydryas   editha"
-120.148663,38.933102,"Euphydryas   editha"
-119.248695,37.908484,"Euphydryas   editha"
-121.483469,36.032998,"Euphydryas   editha"
-121.17872,36.511337,"Euphydryas   editha"
-122.427911,38.762591,"Euphydryas   editha"
-122.49312,38.691996,"Euphydryas   editha"
-122.411224,38.713266,"Euphydryas   editha"
-123.786306,39.503196,"Euphydryas   editha"
-120.44754,35.385227,"Euphydryas   editha"
-123.783882,39.649501,"Euphydryas   editha"
-120.098054,39.505269,"Euphydryas   editha"
-123.72,40.87,"Euphydryas   editha"
-115.3998,40.65039,"Euphydryas   editha"
-119.797767,37.754188,"Euphydryas   editha"
-106.962985,44.3344,"Euphydryas   editha"
-120.769155,48.504568,"Euphydryas   editha"
-121.91329,37.648136,"Euphydryas   editha"
-109.467028,40.966626,"Euphydryas   editha"
-108.954592,39.586813,"Euphydryas   editha"
-118.73388,45.591198,"Euphydryas   editha"
-122.19513,45.160492,"Euphydryas   editha"
-123.781784,39.651416,"Euphydryas   editha"
-121.69062,37.220776,"Euphydryas   editha"
-119.285774,37.982025,"Euphydryas   editha"
-118.381605,36.677235,"Euphydryas   editha"
-119.794854,38.207196,"Euphydryas   editha"
-119.80061,38.190878,"Euphydryas   editha"
-118.380433,36.619446,"Euphydryas   editha"
-118.313069,36.571734,"Euphydryas   editha"
-121.83643,48.84265,"Euphydryas   editha"
-121.732403,46.793292,"Euphydryas   editha"
-116.002235,33.729828,"Euphydryas   editha"
-121.0853,36.610703,"Euphydryas   editha"
-123.44288,39.43239,"Euphydryas   editha"
-118.78106,36.228832,"Euphydryas   editha"
