"lon","lat","species.name"
-103.270463,29.252508,"Eurema   mexicana"
-110.908947,32.4251,"Eurema   mexicana"
-108.734056,27.042631,"Eurema   mexicana"
-111.132095,32.394874,"Eurema   mexicana"
-110.774058,32.445408,"Eurema   mexicana"
-100.13586,25.295255,"Eurema   mexicana"
-100.270419,25.549862,"Eurema   mexicana"
-112.074037,33.448377,"Eurema   mexicana"
-97.680656,32.756124,"Eurema   mexicana"
-110.873101,31.723609,"Eurema   mexicana"
-100.329688,25.602163,"Eurema   mexicana"
-100.360275,25.618334,"Eurema   mexicana"
-104.153675,30.665393,"Eurema   mexicana"
-110.760717,31.539082,"Eurema   mexicana"
-110.300608,31.362693,"Eurema   mexicana"
-110.797102,31.799069,"Eurema   mexicana"
-110.30065,31.362643,"Eurema   mexicana"
-106.485022,31.761878,"Eurema   mexicana"
-110.23939,31.390193,"Eurema   mexicana"
-111.049127,31.570432,"Eurema   mexicana"
-110.795693,31.539687,"Eurema   mexicana"
-110.275592,31.416293,"Eurema   mexicana"
-100.954328,25.338368,"Eurema   mexicana"
-98.52013,33.915701,"Eurema   mexicana"
-104.770453,31.984228,"Eurema   mexicana"
-104.680556,31.960278,"Eurema   mexicana"
-100.826083,25.405303,"Eurema   mexicana"
-100.29421,25.742465,"Eurema   mexicana"
-110.84523,31.525734,"Eurema   mexicana"
-94.683394,35.848315,"Eurema   mexicana"
-110.336633,32.434324,"Eurema   mexicana"
-111.403942,33.928303,"Eurema   mexicana"
-111.458402,33.859903,"Eurema   mexicana"
-110.392697,29.422706,"Eurema   mexicana"
-110.315952,31.442996,"Eurema   mexicana"
-110.307968,31.447525,"Eurema   mexicana"
-110.274003,31.416706,"Eurema   mexicana"
-110.878456,31.719174,"Eurema   mexicana"
-109.77516,31.840128,"Eurema   mexicana"
-96.97738,32.213831,"Eurema   mexicana"
-110.387836,31.51826,"Eurema   mexicana"
-97.281053,32.884156,"Eurema   mexicana"
-110.528861,32.204674,"Eurema   mexicana"
-104.52747,38.827385,"Eurema   mexicana"
-99.581431,32.427607,"Eurema   mexicana"
-110.827144,33.282521,"Eurema   mexicana"
-110.81187,33.78962,"Eurema   mexicana"
-97.29129,32.77204,"Eurema   mexicana"
-110.29958,31.362844,"Eurema   mexicana"
-97.364388,32.737197,"Eurema   mexicana"
-110.797339,31.79915,"Eurema   mexicana"
-110.300523,31.362495,"Eurema   mexicana"
-110.28387,31.346965,"Eurema   mexicana"
-110.285443,31.351345,"Eurema   mexicana"
-110.300534,31.362584,"Eurema   mexicana"
-110.300653,31.362575,"Eurema   mexicana"
-110.300578,31.362608,"Eurema   mexicana"
-110.300682,31.362617,"Eurema   mexicana"
-110.300465,31.362437,"Eurema   mexicana"
-110.790703,31.797276,"Eurema   mexicana"
-110.875969,32.416226,"Eurema   mexicana"
-97.07065,32.776035,"Eurema   mexicana"
-97.218431,35.216105,"Eurema   mexicana"
-104.774543,31.986497,"Eurema   mexicana"
-103.325426,29.278308,"Eurema   mexicana"
-110.636787,31.788075,"Eurema   mexicana"
-110.348911,31.836623,"Eurema   mexicana"
-97.374595,32.774597,"Eurema   mexicana"
-110.880335,31.725068,"Eurema   mexicana"
-111.021395,32.27923,"Eurema   mexicana"
-111.022143,32.279299,"Eurema   mexicana"
-101.808747,38.002196,"Eurema   mexicana"
-104.839698,31.869011,"Eurema   mexicana"
-110.855956,31.491224,"Eurema   mexicana"
-103.407698,29.162784,"Eurema   mexicana"
-97.639893,30.684061,"Eurema   mexicana"
-94.297112,35.334954,"Eurema   mexicana"
-110.844326,31.759658,"Eurema   mexicana"
-98.500313,29.311265,"Eurema   mexicana"
-98.248112,31.63412,"Eurema   mexicana"
-110.88119,31.727766,"Eurema   mexicana"
-100.363221,25.620076,"Eurema   mexicana"
-110.844455,31.758276,"Eurema   mexicana"
-100.271683,25.543922,"Eurema   mexicana"
-100.264259,25.556591,"Eurema   mexicana"
-102.955382,29.181065,"Eurema   mexicana"
-103.314109,29.251859,"Eurema   mexicana"
-99.884712,32.231469,"Eurema   mexicana"
-105.871466,35.690607,"Eurema   mexicana"
-103.302483,29.2706,"Eurema   mexicana"
-103.291225,29.241507,"Eurema   mexicana"
-111.049712,31.570427,"Eurema   mexicana"
-110.760771,31.539148,"Eurema   mexicana"
-110.317303,31.491764,"Eurema   mexicana"
-110.883876,32.217753,"Eurema   mexicana"
-97.278438,32.885359,"Eurema   mexicana"
