"lon","lat","species.name"
-82.361798,27.815175,"Eurytides   marcellus"
-82.619471,29.026099,"Eurytides   marcellus"
-82.1922,29.5685,"Eurytides   marcellus"
-81.612853,27.737421,"Eurytides   marcellus"
-80.544303,27.837458,"Eurytides   marcellus"
-94.274615,31.061619,"Eurytides   marcellus"
-80.824442,33.82855,"Eurytides   marcellus"
-82.672999,29.009853,"Eurytides   marcellus"
-94.201603,31.099936,"Eurytides   marcellus"
-94.347314,30.472179,"Eurytides   marcellus"
-94.010822,30.823252,"Eurytides   marcellus"
-82.132193,28.854117,"Eurytides   marcellus"
-82.622679,29.223311,"Eurytides   marcellus"
-86.091791,34.985752,"Eurytides   marcellus"
-76.651069,38.072352,"Eurytides   marcellus"
-94.409752,30.54817,"Eurytides   marcellus"
-82.189536,29.707981,"Eurytides   marcellus"
-81.041854,33.942708,"Eurytides   marcellus"
-93.077657,35.766949,"Eurytides   marcellus"
-83.695109,35.947718,"Eurytides   marcellus"
-81.960115,29.838395,"Eurytides   marcellus"
-86.58982,34.807522,"Eurytides   marcellus"
-94.318333,31.0625,"Eurytides   marcellus"
-82.324677,28.615117,"Eurytides   marcellus"
-87.793647,33.334841,"Eurytides   marcellus"
-82.353204,29.781291,"Eurytides   marcellus"
-81.794985,29.31166,"Eurytides   marcellus"
-93.186664,33.345599,"Eurytides   marcellus"
-76.645732,38.052993,"Eurytides   marcellus"
-78.26931,37.863242,"Eurytides   marcellus"
-94.272153,31.076428,"Eurytides   marcellus"
-82.559979,29.830042,"Eurytides   marcellus"
-77.514285,37.54937,"Eurytides   marcellus"
-84.61885,32.553989,"Eurytides   marcellus"
-89.639176,34.56888,"Eurytides   marcellus"
-83.20458,38.754274,"Eurytides   marcellus"
-82.407885,29.611865,"Eurytides   marcellus"
-80.769327,33.791374,"Eurytides   marcellus"
-76.360275,36.685355,"Eurytides   marcellus"
-76.166192,39.648078,"Eurytides   marcellus"
-81.640778,38.267593,"Eurytides   marcellus"
-77.183684,38.553111,"Eurytides   marcellus"
-81.976759,39.418532,"Eurytides   marcellus"
-82.862706,35.925657,"Eurytides   marcellus"
-90.067301,35.306294,"Eurytides   marcellus"
-81.784557,28.855212,"Eurytides   marcellus"
-77.234771,38.64466,"Eurytides   marcellus"
-84.619124,32.553703,"Eurytides   marcellus"
-77.228136,38.637937,"Eurytides   marcellus"
-82.451956,29.509485,"Eurytides   marcellus"
-76.647856,38.072183,"Eurytides   marcellus"
-77.517664,37.549468,"Eurytides   marcellus"
-77.360345,37.375888,"Eurytides   marcellus"
-90.126865,34.762262,"Eurytides   marcellus"
-82.285888,29.723198,"Eurytides   marcellus"
-77.248371,38.996486,"Eurytides   marcellus"
-94.151775,31.067567,"Eurytides   marcellus"
-77.263622,38.468329,"Eurytides   marcellus"
-92.176535,35.972477,"Eurytides   marcellus"
-84.643961,34.98056,"Eurytides   marcellus"
-77.800659,38.780335,"Eurytides   marcellus"
-83.507511,38.716255,"Eurytides   marcellus"
-86.7004,36.197067,"Eurytides   marcellus"
-78.467056,38.900864,"Eurytides   marcellus"
-77.208,38.629034,"Eurytides   marcellus"
-79.100334,35.732105,"Eurytides   marcellus"
-78.39194,37.302097,"Eurytides   marcellus"
-89.4409,37.562822,"Eurytides   marcellus"
-76.716672,39.047953,"Eurytides   marcellus"
-78.279192,37.176269,"Eurytides   marcellus"
-92.531753,35.649605,"Eurytides   marcellus"
-82.488159,29.682501,"Eurytides   marcellus"
-86.168148,39.354923,"Eurytides   marcellus"
-77.929515,37.677113,"Eurytides   marcellus"
-78.556916,37.759634,"Eurytides   marcellus"
-81.210873,28.356152,"Eurytides   marcellus"
-82.562001,29.828541,"Eurytides   marcellus"
-81.111103,28.4826,"Eurytides   marcellus"
-82.633614,36.479168,"Eurytides   marcellus"
-87.678405,33.300718,"Eurytides   marcellus"
-82.133961,28.863918,"Eurytides   marcellus"
-84.882288,31.758916,"Eurytides   marcellus"
-83.969614,30.511475,"Eurytides   marcellus"
-81.745995,39.127792,"Eurytides   marcellus"
-82.518654,29.666075,"Eurytides   marcellus"
-78.989398,35.83525,"Eurytides   marcellus"
-91.71309,37.094512,"Eurytides   marcellus"
-83.562425,37.769468,"Eurytides   marcellus"
-85.250194,34.898158,"Eurytides   marcellus"
-86.01519,32.680664,"Eurytides   marcellus"
-87.094704,33.295736,"Eurytides   marcellus"
-77.447399,37.528716,"Eurytides   marcellus"
-79.265619,38.87627,"Eurytides   marcellus"
-78.941217,36.002295,"Eurytides   marcellus"
-88.190403,34.616573,"Eurytides   marcellus"
-82.07811,39.418837,"Eurytides   marcellus"
-87.379233,37.275549,"Eurytides   marcellus"
-79.931958,39.778052,"Eurytides   marcellus"
-77.299148,37.412105,"Eurytides   marcellus"
-88.942636,37.327561,"Eurytides   marcellus"
-77.209758,38.634067,"Eurytides   marcellus"
-84.449448,31.286112,"Eurytides   marcellus"
-84.480835,31.191668,"Eurytides   marcellus"
-85.627,34.395717,"Eurytides   marcellus"
-94.25675,30.377907,"Eurytides   marcellus"
-91.051758,37.174417,"Eurytides   marcellus"
-85.625772,34.39546,"Eurytides   marcellus"
-82.373639,28.073646,"Eurytides   marcellus"
-85.973136,32.684927,"Eurytides   marcellus"
-94.882866,39.393418,"Eurytides   marcellus"
-84.508617,39.144573,"Eurytides   marcellus"
-86.988945,35.294235,"Eurytides   marcellus"
-75.984879,39.484965,"Eurytides   marcellus"
-76.648614,38.056785,"Eurytides   marcellus"
-78.275763,37.042704,"Eurytides   marcellus"
-95.954856,38.315751,"Eurytides   marcellus"
-90.910895,33.703897,"Eurytides   marcellus"
-82.065361,29.593278,"Eurytides   marcellus"
-77.238955,38.639816,"Eurytides   marcellus"
-83.889,39.387852,"Eurytides   marcellus"
-91.687087,37.450562,"Eurytides   marcellus"
-88.511803,32.117858,"Eurytides   marcellus"
-76.534559,38.703769,"Eurytides   marcellus"
-84.397352,39.635365,"Eurytides   marcellus"
-76.543037,38.886637,"Eurytides   marcellus"
-86.017075,36.427863,"Eurytides   marcellus"
-82.051666,39.396111,"Eurytides   marcellus"
-82.605553,29.682212,"Eurytides   marcellus"
-82.131128,29.790019,"Eurytides   marcellus"
-76.758545,39.027293,"Eurytides   marcellus"
-91.3676,37.158444,"Eurytides   marcellus"
-84.089557,39.00019,"Eurytides   marcellus"
-77.677467,38.65202,"Eurytides   marcellus"
-86.232488,36.521989,"Eurytides   marcellus"
-95.536688,40.250592,"Eurytides   marcellus"
-94.173536,36.069736,"Eurytides   marcellus"
-94.494198,35.785534,"Eurytides   marcellus"
-84.2175,39.317222,"Eurytides   marcellus"
-76.865355,38.170234,"Eurytides   marcellus"
-81.472721,28.934352,"Eurytides   marcellus"
-76.818038,38.651925,"Eurytides   marcellus"
-78.130321,38.693198,"Eurytides   marcellus"
-84.26878,30.369012,"Eurytides   marcellus"
-83.685589,33.115283,"Eurytides   marcellus"
-83.889119,39.805058,"Eurytides   marcellus"
-76.64417,37.295485,"Eurytides   marcellus"
-82.074928,39.485375,"Eurytides   marcellus"
-90.54985,38.551441,"Eurytides   marcellus"
-86.361153,32.87175,"Eurytides   marcellus"
-80.517253,35.720783,"Eurytides   marcellus"
-95.231941,38.918707,"Eurytides   marcellus"
-76.588831,37.528743,"Eurytides   marcellus"
-76.797125,39.079114,"Eurytides   marcellus"
-89.288799,35.019608,"Eurytides   marcellus"
-76.772756,39.087188,"Eurytides   marcellus"
-77.800623,39.486231,"Eurytides   marcellus"
-77.510349,37.547648,"Eurytides   marcellus"
-80.808528,35.350947,"Eurytides   marcellus"
-76.853416,38.486097,"Eurytides   marcellus"
-79.028283,35.852706,"Eurytides   marcellus"
-78.361487,39.668283,"Eurytides   marcellus"
-77.207905,38.662867,"Eurytides   marcellus"
-91.342348,30.898468,"Eurytides   marcellus"
-84.248618,39.126462,"Eurytides   marcellus"
-76.869991,38.158836,"Eurytides   marcellus"
-81.638196,27.864832,"Eurytides   marcellus"
-82.42052,29.054131,"Eurytides   marcellus"
-76.772944,39.076023,"Eurytides   marcellus"
-76.797455,38.886938,"Eurytides   marcellus"
-76.691318,38.802833,"Eurytides   marcellus"
-81.199211,28.334771,"Eurytides   marcellus"
-79.034136,35.899072,"Eurytides   marcellus"
-83.025286,40.152199,"Eurytides   marcellus"
-81.951583,29.825083,"Eurytides   marcellus"
-82.905269,36.762325,"Eurytides   marcellus"
-77.728333,39.322777,"Eurytides   marcellus"
-80.823533,33.822122,"Eurytides   marcellus"
-82.850237,39.765325,"Eurytides   marcellus"
-76.865331,38.17023,"Eurytides   marcellus"
-84.467693,39.527557,"Eurytides   marcellus"
