"lon","lat","species.name"
-108.678552,27.057953,"Hamadryas   februa"
-111.055054,28.018047,"Hamadryas   februa"
-98.366493,26.179835,"Hamadryas   februa"
-107.384967,24.82376,"Hamadryas   februa"
-108.072166,25.840994,"Hamadryas   februa"
-108.729964,27.044864,"Hamadryas   februa"
-111.053282,28.015365,"Hamadryas   februa"
-98.365305,26.178042,"Hamadryas   februa"
-111.047688,28.011411,"Hamadryas   februa"
-100.13514,25.398588,"Hamadryas   februa"
-98.365749,26.176474,"Hamadryas   februa"
-108.704395,27.105182,"Hamadryas   februa"
-108.698502,27.081806,"Hamadryas   februa"
-97.958071,26.128318,"Hamadryas   februa"
-98.230088,26.177524,"Hamadryas   februa"
-98.365281,26.178409,"Hamadryas   februa"
-98.365354,26.178477,"Hamadryas   februa"
-98.229822,26.176745,"Hamadryas   februa"
-98.366518,26.179819,"Hamadryas   februa"
-98.365504,26.176871,"Hamadryas   februa"
-98.365134,26.177237,"Hamadryas   februa"
-98.365359,26.179036,"Hamadryas   februa"
-98.365402,26.176755,"Hamadryas   februa"
-98.365429,26.17747,"Hamadryas   februa"
-108.950111,27.015803,"Hamadryas   februa"
-108.968994,26.988559,"Hamadryas   februa"
-98.365242,26.1787,"Hamadryas   februa"
-98.18099,26.396383,"Hamadryas   februa"
-108.978731,26.97455,"Hamadryas   februa"
-111,29,"Hamadryas   februa"
-109.359722,28.826667,"Hamadryas   februa"
-109.359444,28.826667,"Hamadryas   februa"
-109.599167,28.586389,"Hamadryas   februa"
-109.846667,28.623333,"Hamadryas   februa"
-109.349722,28.583056,"Hamadryas   februa"
-108.918889,26.920278,"Hamadryas   februa"
-108.895,27.0225,"Hamadryas   februa"
-100.69928,26.66664,"Hamadryas   februa"
-95.43,29.85,"Hamadryas   februa"
