"lon","lat","species.name"
-100.207237,25.639174,"Hemiargus   hanno"
-100.206978,25.639391,"Hemiargus   hanno"
-100.261713,25.660637,"Hemiargus   hanno"
-100.215265,26.486137,"Hemiargus   hanno"
-100.053078,25.872719,"Hemiargus   hanno"
-101.88289,26.96133,"Hemiargus   hanno"
-112.4,29,"Hemiargus   hanno"
-111.5725,30.677222,"Hemiargus   hanno"
-97.874683,28.062329,"Hemiargus   hanno"
-98.145,26.06972,"Hemiargus   hanno"
-105.616667,28.37,"Hemiargus   hanno"
-110.607778,24.943889,"Hemiargus   hanno"
-111.183056,25.910556,"Hemiargus   hanno"
-108.2224,25.82315,"Hemiargus   hanno"
