"lon","lat","species.name"
-116.321722,33.103527,"Hesperopsis   libya"
-116.30969,33.83693,"Hesperopsis   libya"
-118.346786,42.677823,"Hesperopsis   libya"
-116.039,34.129,"Hesperopsis   libya"
-109.87831,32.931828,"Hesperopsis   libya"
-115.01382,36.214237,"Hesperopsis   libya"
-116.475162,33.096565,"Hesperopsis   libya"
-114.713619,36.71147,"Hesperopsis   libya"
-109.49017,35.385082,"Hesperopsis   libya"
-109.755694,34.939537,"Hesperopsis   libya"
-116.1812,34.85722,"Hesperopsis   libya"
-115.868833,35.1995,"Hesperopsis   libya"
-116.002562,32.758297,"Hesperopsis   libya"
-116.382551,35.038753,"Hesperopsis   libya"
-115.357811,36.439622,"Hesperopsis   libya"
-116.459045,37.966377,"Hesperopsis   libya"
-116.041031,34.128467,"Hesperopsis   libya"
-116.468709,33.88895,"Hesperopsis   libya"
-114.968475,36.093105,"Hesperopsis   libya"
-118.72951,35.34663,"Hesperopsis   libya"
-116.776115,33.023605,"Hesperopsis   libya"
-116.8078,36.8883,"Hesperopsis   libya"
-118.2433,37.2064,"Hesperopsis   libya"
-105.57417,39.78876,"Hesperopsis   libya"
-115.381638,36.421005,"Hesperopsis   libya"
-116.475292,33.096432,"Hesperopsis   libya"
-107.67463,38.75511,"Hesperopsis   libya"
-107.66149,38.74487,"Hesperopsis   libya"
-108.517305,37.15,"Hesperopsis   libya"
-115.9942,32.7386,"Hesperopsis   libya"
-116.058884,33.560851,"Hesperopsis   libya"
-114.59635,33.6103,"Hesperopsis   libya"
-116.391197,33.806999,"Hesperopsis   libya"
-114.59662,33.66863,"Hesperopsis   libya"
-116.173897,33.680302,"Hesperopsis   libya"
-117.9175,35.5833,"Hesperopsis   libya"
-110.864681,32.183396,"Hesperopsis   libya"
-116.3083,33.7186,"Hesperopsis   libya"
-116.352425,33.678069,"Hesperopsis   libya"
-113.933333,36.883333,"Hesperopsis   libya"
-109.679305,40.062186,"Hesperopsis   libya"
-108.78094,40.092477,"Hesperopsis   libya"
-111.598633,34.374407,"Hesperopsis   libya"
-109.885403,38.189153,"Hesperopsis   libya"
-118.25899,37.09743,"Hesperopsis   libya"
-114.59293,33.610655,"Hesperopsis   libya"
-104.98417,39.73917,"Hesperopsis   libya"
