"lon","lat","species.name"
-100.328093,25.643693,"Leptophobia   aripa"
-100.278448,25.676208,"Leptophobia   aripa"
-100.259331,25.665772,"Leptophobia   aripa"
-100.253136,25.665792,"Leptophobia   aripa"
-100.208167,25.631017,"Leptophobia   aripa"
-100.208586,25.630706,"Leptophobia   aripa"
-100.252289,25.595847,"Leptophobia   aripa"
-100.234687,25.676535,"Leptophobia   aripa"
-100.261509,25.662402,"Leptophobia   aripa"
-100.26252,25.658722,"Leptophobia   aripa"
-100.26158,25.661553,"Leptophobia   aripa"
-100.262353,25.607,"Leptophobia   aripa"
-100.233678,25.677095,"Leptophobia   aripa"
-100.202812,25.64061,"Leptophobia   aripa"
-100.266203,25.659097,"Leptophobia   aripa"
-100.263666,25.658829,"Leptophobia   aripa"
-100.360191,25.618353,"Leptophobia   aripa"
-100.327281,25.64397,"Leptophobia   aripa"
-100.266092,25.658495,"Leptophobia   aripa"
-100.265908,25.658913,"Leptophobia   aripa"
-100.265913,25.658897,"Leptophobia   aripa"
-100.265367,25.658742,"Leptophobia   aripa"
-100.168337,25.479397,"Leptophobia   aripa"
-100.284149,25.677021,"Leptophobia   aripa"
-100.284576,25.677439,"Leptophobia   aripa"
-100.28471,25.677535,"Leptophobia   aripa"
-100.134918,25.398664,"Leptophobia   aripa"
-100.164679,25.637189,"Leptophobia   aripa"
-100.131142,25.407993,"Leptophobia   aripa"
-100.284706,25.677369,"Leptophobia   aripa"
-100.284142,25.677118,"Leptophobia   aripa"
-100.192373,25.588322,"Leptophobia   aripa"
-100.352233,25.604867,"Leptophobia   aripa"
-100.360241,25.618744,"Leptophobia   aripa"
-100.981956,25.41518,"Leptophobia   aripa"
-100.246725,25.668422,"Leptophobia   aripa"
-100.258781,25.56329,"Leptophobia   aripa"
-100.973265,25.337955,"Leptophobia   aripa"
-100.13488,25.398654,"Leptophobia   aripa"
-100.207673,25.645752,"Leptophobia   aripa"
-100.15975,25.382092,"Leptophobia   aripa"
-100.266109,25.555371,"Leptophobia   aripa"
-100.206422,25.632863,"Leptophobia   aripa"
-109.160833,26.205833,"Leptophobia   aripa"
-105.837,26.918,"Leptophobia   aripa"
-104.163056,26.9175,"Leptophobia   aripa"
-100.159722,25.3475,"Leptophobia   aripa"
-100.158,25.368,"Leptophobia   aripa"
-109.04,25.51,"Leptophobia   aripa"
-100.223056,24.886667,"Leptophobia   aripa"
-100.312,25.572,"Leptophobia   aripa"
-100.299722,25.548889,"Leptophobia   aripa"
