"lon","lat","species.name"
-121.68888,41.19933,"Lycaena   cupreus"
-119.93352,38.5038,"Lycaena   cupreus"
-118.87517,37.915836,"Lycaena   cupreus"
-111.579142,41.829455,"Lycaena   cupreus"
-119.17,37.92,"Lycaena   cupreus"
-121.45,37.85,"Lycaena   cupreus"
-119.47,38.35,"Lycaena   cupreus"
-106.316956,38.738243,"Lycaena   cupreus"
-111.576803,41.827713,"Lycaena   cupreus"
-111.576932,41.827649,"Lycaena   cupreus"
-106.177829,39.207689,"Lycaena   cupreus"
-120.37158,44.163055,"Lycaena   cupreus"
-120.62993,40.72109,"Lycaena   cupreus"
-112.9905,48.70567,"Lycaena   cupreus"
-106.13756,39.62102,"Lycaena   cupreus"
-114.75,43.867,"Lycaena   cupreus"
-114.75,43.883,"Lycaena   cupreus"
-118.70537,37.55778,"Lycaena   cupreus"
-110.018785,40.798864,"Lycaena   cupreus"
-119.06694,37.65904,"Lycaena   cupreus"
-120.660920020887,48.7197336138797,"Lycaena   cupreus"
-119.27536,37.97359,"Lycaena   cupreus"
-119.64586,38.29978,"Lycaena   cupreus"
-116.759,46.133,"Lycaena   cupreus"
-117.057,43.107,"Lycaena   cupreus"
-116.911,42.969,"Lycaena   cupreus"
-116.821,46.155,"Lycaena   cupreus"
-116.312,45.202,"Lycaena   cupreus"
-116.15,44.933,"Lycaena   cupreus"
-115.691,44.622,"Lycaena   cupreus"
-115.651,44.551,"Lycaena   cupreus"
-116.089575,44.301281,"Lycaena   cupreus"
-111.691877,40.534508,"Lycaena   cupreus"
-116.167,45.456,"Lycaena   cupreus"
-116.83,46.173,"Lycaena   cupreus"
-115.385,44.416,"Lycaena   cupreus"
-115.465,44.326,"Lycaena   cupreus"
-115.671,43.501,"Lycaena   cupreus"
-107.42041,38.11272,"Lycaena   cupreus"
-111.216,43.572,"Lycaena   cupreus"
-111.535,42.37,"Lycaena   cupreus"
-111.508,42.365,"Lycaena   cupreus"
-111.222,43.574,"Lycaena   cupreus"
-111.176,42.345,"Lycaena   cupreus"
-113.314,44.434,"Lycaena   cupreus"
-113.279,44.458,"Lycaena   cupreus"
-111.368,44.537,"Lycaena   cupreus"
-115.832,44.05,"Lycaena   cupreus"
-115.871,43.744,"Lycaena   cupreus"
-111.54381,40.694394,"Lycaena   cupreus"
-115.447,43.317,"Lycaena   cupreus"
-119.25793,37.91104,"Lycaena   cupreus"
-115.15,43.609,"Lycaena   cupreus"
-120.60448,39.41444,"Lycaena   cupreus"
-114.515991,50.217337,"Lycaena   cupreus"
-109.23017,47.1488,"Lycaena   cupreus"
-110.17086,47.41682,"Lycaena   cupreus"
-109.185,47.20845,"Lycaena   cupreus"
-116.85938,38.78125,"Lycaena   cupreus"
-119.26737,37.92264,"Lycaena   cupreus"
-119.26304,37.91127,"Lycaena   cupreus"
-119.25596,37.90481,"Lycaena   cupreus"
-120.5816,39.29907,"Lycaena   cupreus"
-106.94199,39.01166,"Lycaena   cupreus"
-110.03083,45.8225,"Lycaena   cupreus"
