"lon","lat","species.name"
-121.824948,38.273876,"Lycaena   helloides"
-123.368112,48.573649,"Lycaena   helloides"
-117.532073,49.02543,"Lycaena   helloides"
-123.547843,48.479987,"Lycaena   helloides"
-112.046108,41.661767,"Lycaena   helloides"
-112.477974,41.526051,"Lycaena   helloides"
-116.403971,43.276295,"Lycaena   helloides"
-116.693886,33.299168,"Lycaena   helloides"
-123.496321,45.989773,"Lycaena   helloides"
-94.759293,48.624739,"Lycaena   helloides"
-121.44024,38.269903,"Lycaena   helloides"
-123.20332,49.218536,"Lycaena   helloides"
-122.154108,38.095917,"Lycaena   helloides"
-117.01721,46.71496,"Lycaena   helloides"
-107.162737,37.356455,"Lycaena   helloides"
-122.940015,38.12239,"Lycaena   helloides"
-121.952885,42.39954,"Lycaena   helloides"
-122.21611,46.275833,"Lycaena   helloides"
-123.572656,45.953619,"Lycaena   helloides"
-85.037473,43.715516,"Lycaena   helloides"
-119.085183,38.119828,"Lycaena   helloides"
-111.602232,40.082883,"Lycaena   helloides"
-93.129317,45.288503,"Lycaena   helloides"
-111.631342,41.891146,"Lycaena   helloides"
-85.52464,44.25862,"Lycaena   helloides"
-112.220926,41.470034,"Lycaena   helloides"
-122.943778,38.118843,"Lycaena   helloides"
-119.636254,49.333901,"Lycaena   helloides"
-123.494554,47.972325,"Lycaena   helloides"
-125.174501,50.020862,"Lycaena   helloides"
-120.802288,43.014128,"Lycaena   helloides"
-123.723225,38.939998,"Lycaena   helloides"
-105.721803,41.177158,"Lycaena   helloides"
-116.581679,32.984987,"Lycaena   helloides"
-110.576786,43.874141,"Lycaena   helloides"
-121.442163,47.457014,"Lycaena   helloides"
-125.17407,50.021187,"Lycaena   helloides"
-116.69321,33.669191,"Lycaena   helloides"
-105.182975,40.045758,"Lycaena   helloides"
-110.783621,43.625343,"Lycaena   helloides"
-105.187907,40.044603,"Lycaena   helloides"
-93.280793,45.219932,"Lycaena   helloides"
-104.988692,40.171004,"Lycaena   helloides"
-112.668848,43.045749,"Lycaena   helloides"
-93.280913,45.219887,"Lycaena   helloides"
-122.548113,38.133054,"Lycaena   helloides"
-122.534345,38.09911,"Lycaena   helloides"
-122.533606,38.098852,"Lycaena   helloides"
-121.628064,38.559753,"Lycaena   helloides"
-122.844397,38.442395,"Lycaena   helloides"
-122.544658,38.12161,"Lycaena   helloides"
-121.20758,38.65236,"Lycaena   helloides"
-121.207543,38.652392,"Lycaena   helloides"
-119.843903,37.836847,"Lycaena   helloides"
-122.494082,42.268027,"Lycaena   helloides"
-103.421343,43.604581,"Lycaena   helloides"
-123.57281,45.953747,"Lycaena   helloides"
-93.24272,45.27411,"Lycaena   helloides"
-118.739634,39.336289,"Lycaena   helloides"
-117.162495,39.264424,"Lycaena   helloides"
-117.450457,45.944615,"Lycaena   helloides"
-105.625942,38.142154,"Lycaena   helloides"
-110.804694,43.561611,"Lycaena   helloides"
-119.719428,39.41513,"Lycaena   helloides"
-112.384467,43.194871,"Lycaena   helloides"
-105.24971,36.387977,"Lycaena   helloides"
-121.602486,48.518411,"Lycaena   helloides"
-95.907076,49.460508,"Lycaena   helloides"
-119.778943,39.233124,"Lycaena   helloides"
-122.833929,38.449925,"Lycaena   helloides"
-116.976944,46.740276,"Lycaena   helloides"
-124.012848,46.227778,"Lycaena   helloides"
-112.658293,43.03663,"Lycaena   helloides"
-122.9431,38.120156,"Lycaena   helloides"
-122.952538,38.119533,"Lycaena   helloides"
-124.202714,41.888596,"Lycaena   helloides"
-122.834144,38.449993,"Lycaena   helloides"
-119.7789,39.233199,"Lycaena   helloides"
-122.943162,38.120114,"Lycaena   helloides"
-119.519768,49.053585,"Lycaena   helloides"
-109.27365,38.504917,"Lycaena   helloides"
-121.728548,38.009696,"Lycaena   helloides"
-103.703156,41.199272,"Lycaena   helloides"
-119.824217,38.995824,"Lycaena   helloides"
-105.654027,40.008514,"Lycaena   helloides"
-111.646208,40.399777,"Lycaena   helloides"
-123.92135,46.006328,"Lycaena   helloides"
-104.966184,40.554219,"Lycaena   helloides"
-116.912224,46.920834,"Lycaena   helloides"
-121.443717,38.157578,"Lycaena   helloides"
-122.815878,38.405674,"Lycaena   helloides"
-122.829584,38.449068,"Lycaena   helloides"
-122.825797,38.448211,"Lycaena   helloides"
-122.817214,38.44559,"Lycaena   helloides"
-122.812935,38.406263,"Lycaena   helloides"
-122.817246,38.445522,"Lycaena   helloides"
-121.632538,38.561873,"Lycaena   helloides"
-121.208055,38.65229,"Lycaena   helloides"
-122.943159,38.119957,"Lycaena   helloides"
-123.924426,46.005942,"Lycaena   helloides"
-123.140144,48.583065,"Lycaena   helloides"
-91.256996,41.218212,"Lycaena   helloides"
-122.953052,38.11942,"Lycaena   helloides"
