"lon","lat","species.name"
-123.114853,38.423667,"Lycaena   heteronea"
-123.094651,38.399179,"Lycaena   heteronea"
-123.096485,38.437791,"Lycaena   heteronea"
-118.305313,45.302307,"Lycaena   heteronea"
-123.094687,38.399137,"Lycaena   heteronea"
-123.114601,38.423137,"Lycaena   heteronea"
-120.218462,48.509845,"Lycaena   heteronea"
-110.807798,43.491398,"Lycaena   heteronea"
-118.870407,37.804222,"Lycaena   heteronea"
-118.694945,37.80026,"Lycaena   heteronea"
-118.341035,36.773826,"Lycaena   heteronea"
-111.646072,41.882301,"Lycaena   heteronea"
-111.639084,40.591738,"Lycaena   heteronea"
-119.265214,37.96935,"Lycaena   heteronea"
-120.276111,39.128056,"Lycaena   heteronea"
-110.663605,43.626168,"Lycaena   heteronea"
-118.198183,37.499562,"Lycaena   heteronea"
-118.19782,37.499578,"Lycaena   heteronea"
-111.784549,41.37715,"Lycaena   heteronea"
-118.19725,37.452737,"Lycaena   heteronea"
-119.014381,38.208723,"Lycaena   heteronea"
-118.19721,37.45267,"Lycaena   heteronea"
-118.69498,37.80032,"Lycaena   heteronea"
-118.201214,37.49854,"Lycaena   heteronea"
-118.197816,37.49958,"Lycaena   heteronea"
-110.588454,44.427968,"Lycaena   heteronea"
-111.762522,41.369156,"Lycaena   heteronea"
-119.265642,37.970493,"Lycaena   heteronea"
-105.369347,41.159619,"Lycaena   heteronea"
-118.812935,37.680042,"Lycaena   heteronea"
-110.673713,44.002719,"Lycaena   heteronea"
-111.633399,41.891048,"Lycaena   heteronea"
-118.449379,37.133694,"Lycaena   heteronea"
-118.196788,37.500547,"Lycaena   heteronea"
-118.186635,37.437625,"Lycaena   heteronea"
-118.197275,37.452657,"Lycaena   heteronea"
-123.155493,38.465759,"Lycaena   heteronea"
-119.154213,38.164003,"Lycaena   heteronea"
-118.69469,37.800213,"Lycaena   heteronea"
-110.714932,43.791909,"Lycaena   heteronea"
-118.186643,37.437642,"Lycaena   heteronea"
-119.154167,38.164027,"Lycaena   heteronea"
-120.275833,39.127778,"Lycaena   heteronea"
-119.154142,38.16399,"Lycaena   heteronea"
-118.197258,37.452763,"Lycaena   heteronea"
-110.348464,39.634434,"Lycaena   heteronea"
-119.277111,37.976381,"Lycaena   heteronea"
-117.2708,45.246219,"Lycaena   heteronea"
-118.95652,37.629003,"Lycaena   heteronea"
-120.033661,38.728905,"Lycaena   heteronea"
-111.97808,41.391716,"Lycaena   heteronea"
-111.969048,41.406774,"Lycaena   heteronea"
-122.218167,46.176023,"Lycaena   heteronea"
