"lon","lat","species.name"
-118.533372,34.422192,"Lycaena   xanthoides"
-121.239618,37.050044,"Lycaena   xanthoides"
-121.182347,36.481813,"Lycaena   xanthoides"
-122.537942,38.098193,"Lycaena   xanthoides"
-121.542857,36.347869,"Lycaena   xanthoides"
-121.479286,37.327842,"Lycaena   xanthoides"
-119.0394,34.733893,"Lycaena   xanthoides"
-121.174865,36.497038,"Lycaena   xanthoides"
-121.181202,36.501631,"Lycaena   xanthoides"
-121.178882,36.500452,"Lycaena   xanthoides"
-119.040002,34.73353,"Lycaena   xanthoides"
-121.806052,37.204059,"Lycaena   xanthoides"
-122.094041,37.91,"Lycaena   xanthoides"
-121.191222,36.50598,"Lycaena   xanthoides"
-121.936876,37.905475,"Lycaena   xanthoides"
-122.011312,37.849556,"Lycaena   xanthoides"
-116.583193,32.962912,"Lycaena   xanthoides"
-121.190331,36.505753,"Lycaena   xanthoides"
-117.530256,41.687892,"Lycaena   xanthoides"
-116.58516,32.965288,"Lycaena   xanthoides"
-121.221939,36.814766,"Lycaena   xanthoides"
-116.581324,32.958372,"Lycaena   xanthoides"
-121.185067,36.501976,"Lycaena   xanthoides"
-121.181602,36.480454,"Lycaena   xanthoides"
-116.629551,33.163441,"Lycaena   xanthoides"
-121.408539,37.410528,"Lycaena   xanthoides"
-121.40918,37.408405,"Lycaena   xanthoides"
-120.75614,36.364179,"Lycaena   xanthoides"
-121.154866,36.467227,"Lycaena   xanthoides"
-121.876552,37.901983,"Lycaena   xanthoides"
-116.604236,33.120304,"Lycaena   xanthoides"
-121.170659,36.490317,"Lycaena   xanthoides"
-121.192626,36.505545,"Lycaena   xanthoides"
-121.180802,36.481355,"Lycaena   xanthoides"
-116.759457,33.255543,"Lycaena   xanthoides"
-116.602256,33.070614,"Lycaena   xanthoides"
-116.877518,33.343287,"Lycaena   xanthoides"
-121.190687,36.471956,"Lycaena   xanthoides"
-116.911218,33.347425,"Lycaena   xanthoides"
-116.900783,33.340333,"Lycaena   xanthoides"
-121.155081,36.485901,"Lycaena   xanthoides"
-121.409179,37.408418,"Lycaena   xanthoides"
-121.155016,36.462117,"Lycaena   xanthoides"
-121.160579,36.420873,"Lycaena   xanthoides"
-121.171928,36.491855,"Lycaena   xanthoides"
-121.182237,36.481872,"Lycaena   xanthoides"
-121.409322,37.40815,"Lycaena   xanthoides"
-121.172019,36.492386,"Lycaena   xanthoides"
-121.190978,36.518997,"Lycaena   xanthoides"
-121.197352,36.504048,"Lycaena   xanthoides"
-121.154868,36.470345,"Lycaena   xanthoides"
-121.184186,36.566319,"Lycaena   xanthoides"
-121.209413,36.491757,"Lycaena   xanthoides"
-121.45036,37.390124,"Lycaena   xanthoides"
-116.601846,33.070379,"Lycaena   xanthoides"
-121.612466,37.255692,"Lycaena   xanthoides"
-120.669783,36.419912,"Lycaena   xanthoides"
-121.531909,37.482337,"Lycaena   xanthoides"
-121.156446,36.476353,"Lycaena   xanthoides"
-117.128844,34.272711,"Lycaena   xanthoides"
-121.165466,36.484199,"Lycaena   xanthoides"
-121.801567,37.392932,"Lycaena   xanthoides"
-121.147353,36.493205,"Lycaena   xanthoides"
-121.423645,37.414891,"Lycaena   xanthoides"
-122.01631,37.801538,"Lycaena   xanthoides"
-121.19772,36.503712,"Lycaena   xanthoides"
-121.005753,36.472672,"Lycaena   xanthoides"
-121.14532,36.492397,"Lycaena   xanthoides"
-121.154128,36.457875,"Lycaena   xanthoides"
-121.204938,36.495234,"Lycaena   xanthoides"
-121.842247,37.371227,"Lycaena   xanthoides"
-121.715534,37.261654,"Lycaena   xanthoides"
-121.802276,37.396869,"Lycaena   xanthoides"
-121.173357,36.534607,"Lycaena   xanthoides"
-122.513845,38.026995,"Lycaena   xanthoides"
-121.829415,37.507253,"Lycaena   xanthoides"
-122.134011,37.945818,"Lycaena   xanthoides"
-121.549422,36.386955,"Lycaena   xanthoides"
-121.561885,37.18357,"Lycaena   xanthoides"
-121.69062,37.220776,"Lycaena   xanthoides"
-121.069097,36.778323,"Lycaena   xanthoides"
-121.828423,37.510134,"Lycaena   xanthoides"
-121.82564,37.504938,"Lycaena   xanthoides"
-121.166876,36.464572,"Lycaena   xanthoides"
-121.676666,37.383576,"Lycaena   xanthoides"
-116.598108,33.068971,"Lycaena   xanthoides"
-121.793572,37.404333,"Lycaena   xanthoides"
-116.875347,33.362051,"Lycaena   xanthoides"
-120.44754,35.385227,"Lycaena   xanthoides"
-120.547469,35.426246,"Lycaena   xanthoides"
-121.028937,36.442342,"Lycaena   xanthoides"
-121.184289,36.416224,"Lycaena   xanthoides"
-121.874428,37.896666,"Lycaena   xanthoides"
-121.169006,36.486282,"Lycaena   xanthoides"
-121.751596,36.637524,"Lycaena   xanthoides"
-122.46563,38.147248,"Lycaena   xanthoides"
-116.524601,32.687903,"Lycaena   xanthoides"
-116.61202,32.624297,"Lycaena   xanthoides"
-122.154736,37.309874,"Lycaena   xanthoides"
-122.13531,37.946245,"Lycaena   xanthoides"
-122.57648,38.152158,"Lycaena   xanthoides"
-121.154104,36.465965,"Lycaena   xanthoides"
-122.71867,38.863353,"Lycaena   xanthoides"
-122.718793,38.86337,"Lycaena   xanthoides"
-121.0853,36.610703,"Lycaena   xanthoides"
