"lon","lat","species.name"
-123.314639,38.57189,"Neophasia   menapia"
-123.120902,48.53893,"Neophasia   menapia"
-123.9353,49.183988,"Neophasia   menapia"
-121.34187,43.963451,"Neophasia   menapia"
-123.339071,48.897445,"Neophasia   menapia"
-112.240289,37.47243,"Neophasia   menapia"
-123.721881,39.402171,"Neophasia   menapia"
-117.383165,49.505069,"Neophasia   menapia"
-118.696862,37.799887,"Neophasia   menapia"
-105.664448,36.719035,"Neophasia   menapia"
-121.653662,44.377339,"Neophasia   menapia"
-118.656761,37.877929,"Neophasia   menapia"
-123.021208,40.925819,"Neophasia   menapia"
-123.93501,49.183849,"Neophasia   menapia"
-123.86429,40.277728,"Neophasia   menapia"
-123.791125,39.405215,"Neophasia   menapia"
-118.696447,37.79972,"Neophasia   menapia"
-122.081333,43.906056,"Neophasia   menapia"
-121.522239,45.141195,"Neophasia   menapia"
-122.780789,42.177501,"Neophasia   menapia"
-118.696237,37.79986,"Neophasia   menapia"
-123.935032,49.184508,"Neophasia   menapia"
-123.66954,39.370469,"Neophasia   menapia"
-118.69684,37.79983,"Neophasia   menapia"
-123.935117,49.183849,"Neophasia   menapia"
-124.021042,48.020844,"Neophasia   menapia"
-120.893339,49.067673,"Neophasia   menapia"
-123.780898,49.482901,"Neophasia   menapia"
-113.938345,46.824074,"Neophasia   menapia"
-114.175712,46.489996,"Neophasia   menapia"
-122.004518,42.849948,"Neophasia   menapia"
-110.78344,43.629919,"Neophasia   menapia"
-113.585587,47.3135,"Neophasia   menapia"
-114.436608,46.745111,"Neophasia   menapia"
-123.564544,48.462646,"Neophasia   menapia"
-122.310647,44.268013,"Neophasia   menapia"
-125.77002,52.340192,"Neophasia   menapia"
-122.270706,43.7133,"Neophasia   menapia"
-123.923119,45.707532,"Neophasia   menapia"
-114.037987,46.81963,"Neophasia   menapia"
-122.553766,47.574036,"Neophasia   menapia"
-123.548003,48.481533,"Neophasia   menapia"
-122.328041,43.54986,"Neophasia   menapia"
-123.565105,48.463849,"Neophasia   menapia"
-113.825233,47.543658,"Neophasia   menapia"
-120.60858,39.603323,"Neophasia   menapia"
-122.946835,48.633082,"Neophasia   menapia"
-125.190077,50.067294,"Neophasia   menapia"
-123.923119,45.707892,"Neophasia   menapia"
-122.236444,46.14766,"Neophasia   menapia"
-123.012647,38.608674,"Neophasia   menapia"
-123.012049,38.608571,"Neophasia   menapia"
-123.523914,42.91495,"Neophasia   menapia"
-123.490942,42.953174,"Neophasia   menapia"
-123.47408,42.978847,"Neophasia   menapia"
-120.692872,39.285495,"Neophasia   menapia"
-123.316685,48.459503,"Neophasia   menapia"
-119.343697,38.34945,"Neophasia   menapia"
-115.939268,47.470033,"Neophasia   menapia"
-111.623404,35.139943,"Neophasia   menapia"
-114.14463,46.750028,"Neophasia   menapia"
-112.237261,37.473087,"Neophasia   menapia"
-113.668928,47.520062,"Neophasia   menapia"
-112.355075,38.553015,"Neophasia   menapia"
-123.243331,38.526153,"Neophasia   menapia"
-105.232887,36.22295,"Neophasia   menapia"
-120.284107,41.276828,"Neophasia   menapia"
-118.911233,44.571311,"Neophasia   menapia"
-123.150239,48.585908,"Neophasia   menapia"
-123.63194,48.78306,"Neophasia   menapia"
-121.859902,43.243194,"Neophasia   menapia"
-114.139718,46.575208,"Neophasia   menapia"
-121.882623,43.574608,"Neophasia   menapia"
-122.275971,46.915115,"Neophasia   menapia"
-123.922862,45.706753,"Neophasia   menapia"
-123.92297,45.707588,"Neophasia   menapia"
-110.53951,43.910326,"Neophasia   menapia"
-117.274394,49.501555,"Neophasia   menapia"
-105.235825,36.230583,"Neophasia   menapia"
-123.727158,39.270127,"Neophasia   menapia"
-111.174995,34.475855,"Neophasia   menapia"
-110.917926,39.767364,"Neophasia   menapia"
-120.609695,38.771825,"Neophasia   menapia"
-105.25125,39.576572,"Neophasia   menapia"
-120.667348,39.309123,"Neophasia   menapia"
-121.81577,48.49329,"Neophasia   menapia"
-119.853005,39.029494,"Neophasia   menapia"
-123.726686,49.501224,"Neophasia   menapia"
-123.724586,45.220299,"Neophasia   menapia"
-124.104221,44.171265,"Neophasia   menapia"
-123.613014,45.550241,"Neophasia   menapia"
-123.617649,39.647204,"Neophasia   menapia"
-123.606629,39.350267,"Neophasia   menapia"
-122.895813,48.701838,"Neophasia   menapia"
-120.78012,45.86951,"Neophasia   menapia"
-119.942511,44.466948,"Neophasia   menapia"
-114.31862,39.006133,"Neophasia   menapia"
-112.961361,47.086926,"Neophasia   menapia"
-123.664392,46.063214,"Neophasia   menapia"
-105.435448,39.955057,"Neophasia   menapia"
-105.48213,40.66309,"Neophasia   menapia"
-105.742485,32.957313,"Neophasia   menapia"
-105.18255,38.871994,"Neophasia   menapia"
-123.120341,38.469924,"Neophasia   menapia"
-123.877111,39.847508,"Neophasia   menapia"
-123.893458,39.873688,"Neophasia   menapia"
-120.82951,39.99517,"Neophasia   menapia"
-120.132378,38.807797,"Neophasia   menapia"
-123.425882,48.034536,"Neophasia   menapia"
-123.426083,48.035954,"Neophasia   menapia"
-111.66867,40.120407,"Neophasia   menapia"
-123.925489,47.859863,"Neophasia   menapia"
-123.88986,48.110905,"Neophasia   menapia"
-123.730559,48.159416,"Neophasia   menapia"
-123.931883,47.85618,"Neophasia   menapia"
-105.39838,40.094837,"Neophasia   menapia"
-121.232243,43.722621,"Neophasia   menapia"
-121.653146,46.918922,"Neophasia   menapia"
-123.299074,38.574604,"Neophasia   menapia"
-122.93761,38.525024,"Neophasia   menapia"
-123.322951,38.571484,"Neophasia   menapia"
-124.091842,49.243226,"Neophasia   menapia"
-120.236252,39.431452,"Neophasia   menapia"
-123.411817,48.034782,"Neophasia   menapia"
-120.036122,38.422558,"Neophasia   menapia"
-105.837638,35.762356,"Neophasia   menapia"
-123.52181,47.802643,"Neophasia   menapia"
-123.830295,48.97076,"Neophasia   menapia"
-112.312622,38.248265,"Neophasia   menapia"
-121.889577,45.618342,"Neophasia   menapia"
-116.874,45.159,"Neophasia   menapia"
-122.849333,48.646667,"Neophasia   menapia"
-104.52695,31.445908,"Neophasia   menapia"
-124.103698,44.281348,"Neophasia   menapia"
-120.521996,39.576923,"Neophasia   menapia"
-123.296139,38.572217,"Neophasia   menapia"
-117.518,49.052,"Neophasia   menapia"
-122.15323,47.051437,"Neophasia   menapia"
-121.83643,48.84265,"Neophasia   menapia"
-105.96644,35.51373,"Neophasia   menapia"
-120.74014,46.45656,"Neophasia   menapia"
-117.69193,44.703426,"Neophasia   menapia"
-118.24,48.546,"Neophasia   menapia"
-122.903824,42.350669,"Neophasia   menapia"
-120.114866,39.179878,"Neophasia   menapia"
-115.732598,47.35278,"Neophasia   menapia"
-117.418541,47.647516,"Neophasia   menapia"
-117.158965,46.726393,"Neophasia   menapia"
-122.168478,42.868441,"Neophasia   menapia"
-120.057757,38.93451,"Neophasia   menapia"
-119.91286,37.570034,"Neophasia   menapia"
-116.999,46.733,"Neophasia   menapia"
-115.18022,47.75647,"Neophasia   menapia"
-116.39878,44.061474,"Neophasia   menapia"
-120.635212,39.565266,"Neophasia   menapia"
-119.604685,37.509837,"Neophasia   menapia"
-118.517075,48.437244,"Neophasia   menapia"
-120.62993,40.72109,"Neophasia   menapia"
-115.88509,47.347694,"Neophasia   menapia"
-120.116667,44.376389,"Neophasia   menapia"
-122.151489,44.401209,"Neophasia   menapia"
-111.155891,34.41646,"Neophasia   menapia"
-117.18558,45.593754,"Neophasia   menapia"
-123.111581,49.745171,"Neophasia   menapia"
-121.832375,47.493553,"Neophasia   menapia"
-109.49017,35.385082,"Neophasia   menapia"
-105.78108,32.588776,"Neophasia   menapia"
-112.237562,37.473548,"Neophasia   menapia"
-118,49.4,"Neophasia   menapia"
-122.114725,46.755638,"Neophasia   menapia"
-111.143939,34.426771,"Neophasia   menapia"
-117.417,49.533,"Neophasia   menapia"
-104.48989,38.17066,"Neophasia   menapia"
-104.955254,37.920166,"Neophasia   menapia"
-116.914,45.996,"Neophasia   menapia"
-111.920604,38.541003,"Neophasia   menapia"
-111.953134,38.533688,"Neophasia   menapia"
-113.866,45.383,"Neophasia   menapia"
-113.683,45.066,"Neophasia   menapia"
-116.2667,49.15,"Neophasia   menapia"
-117.65,49.3167,"Neophasia   menapia"
-124.9333,49.6833,"Neophasia   menapia"
-123.3667,48.4333,"Neophasia   menapia"
-123.4667,48.55,"Neophasia   menapia"
-123.93666,49.16438,"Neophasia   menapia"
-127.42,50.68,"Neophasia   menapia"
-126.3667,50.2833,"Neophasia   menapia"
-127.4167,50.6833,"Neophasia   menapia"
-126.2667,50.3,"Neophasia   menapia"
-126.4,50.1833,"Neophasia   menapia"
-112.307816,38.251096,"Neophasia   menapia"
-111.426082,38.668959,"Neophasia   menapia"
-120.001295,38.250193,"Neophasia   menapia"
-124.116,49.283,"Neophasia   menapia"
-124.602,49.525,"Neophasia   menapia"
-123.365,48.866,"Neophasia   menapia"
-123.503,48.799,"Neophasia   menapia"
-124.6,49.233,"Neophasia   menapia"
-120.406553,38.87266,"Neophasia   menapia"
-122.233,44.217,"Neophasia   menapia"
-122.706,38.447,"Neophasia   menapia"
-117.651,34.996,"Neophasia   menapia"
-119.4833,49.8833,"Neophasia   menapia"
-123.1167,49.1667,"Neophasia   menapia"
-123.766667,48.833333,"Neophasia   menapia"
-124.7333,48.6,"Neophasia   menapia"
-119.75,49.76667,"Neophasia   menapia"
-119.5533,49.0535,"Neophasia   menapia"
-123.55,48.4667,"Neophasia   menapia"
-117.834385,44.774875,"Neophasia   menapia"
-123.1167,49.25,"Neophasia   menapia"
-123.7667,50.2,"Neophasia   menapia"
-119.5242,49.2552,"Neophasia   menapia"
-119.583333,49.483333,"Neophasia   menapia"
-119.5833,49.5,"Neophasia   menapia"
-120.85041,41.30036,"Neophasia   menapia"
-120.81429,46.7235,"Neophasia   menapia"
-118.4333,49.0333,"Neophasia   menapia"
-120.92258,46.73512,"Neophasia   menapia"
-119.25,49.1667,"Neophasia   menapia"
-106.57705,35.187547,"Neophasia   menapia"
-118.465076,35.976308,"Neophasia   menapia"
-116.467,49.05,"Neophasia   menapia"
-106.865951,35.688608,"Neophasia   menapia"
-117.3845,49.4832,"Neophasia   menapia"
-122.423889,47.097778,"Neophasia   menapia"
-116.45,49.1,"Neophasia   menapia"
-123.066667,49.35,"Neophasia   menapia"
-116.583,49.117,"Neophasia   menapia"
-106.360517,35.8154,"Neophasia   menapia"
-119.857393,37.563546,"Neophasia   menapia"
-106.318864,35.801233,"Neophasia   menapia"
-109.14313,33.89889,"Neophasia   menapia"
-106.19889,38.27528,"Neophasia   menapia"
-122.216667,50.733333,"Neophasia   menapia"
-112.58761,37.744966,"Neophasia   menapia"
-116.962,47.075,"Neophasia   menapia"
-123.4,48.65,"Neophasia   menapia"
-112.668781,37.633056,"Neophasia   menapia"
-106.34502,34.64673,"Neophasia   menapia"
-123.1333,49.3,"Neophasia   menapia"
-121.64,44.461,"Neophasia   menapia"
-105.27083,40.22472,"Neophasia   menapia"
-116.297,46.968,"Neophasia   menapia"
-116.336,46.957,"Neophasia   menapia"
-123.3449,48.4927,"Neophasia   menapia"
-119.3667,50.1167,"Neophasia   menapia"
-117.2333,49.5833,"Neophasia   menapia"
-103.446211,43.749885,"Neophasia   menapia"
-118.5187,50.4055,"Neophasia   menapia"
-119.2667,50.2667,"Neophasia   menapia"
-121.88333,46.88333,"Neophasia   menapia"
-124.3167,49.3167,"Neophasia   menapia"
-105.82,32.78833,"Neophasia   menapia"
-119.74742,39.15115,"Neophasia   menapia"
-105.08628,39.37645,"Neophasia   menapia"
-117.383,49.483,"Neophasia   menapia"
-119.02081,51.20249,"Neophasia   menapia"
-115.975291,43.751848,"Neophasia   menapia"
-121.604,44.616,"Neophasia   menapia"
-122.067,44.406,"Neophasia   menapia"
-120.1388,39.17213,"Neophasia   menapia"
-116.780629,47.678889,"Neophasia   menapia"
-120.81748,39.41514,"Neophasia   menapia"
-112.22266,36.73929,"Neophasia   menapia"
-116.994,47.554,"Neophasia   menapia"
-121.491,46.203,"Neophasia   menapia"
-119.12182,37.95743,"Neophasia   menapia"
-123.3667,48.55,"Neophasia   menapia"
-123.9167,49.1583,"Neophasia   menapia"
-119.6833,50.8167,"Neophasia   menapia"
-124.666667,49.283333,"Neophasia   menapia"
-123.814,48.059,"Neophasia   menapia"
-121.204,47.684,"Neophasia   menapia"
-103.43797,43.70026,"Neophasia   menapia"
-120.33215,39.31629,"Neophasia   menapia"
-112.95583,37.24861,"Neophasia   menapia"
-117.283,49.5,"Neophasia   menapia"
-117.466,49.467,"Neophasia   menapia"
-123.0667,49.3167,"Neophasia   menapia"
-123.316,44.615,"Neophasia   menapia"
-117.249,47.664,"Neophasia   menapia"
-119.576302,37.982922,"Neophasia   menapia"
-119.968984,38.94548,"Neophasia   menapia"
-103.57472,43.9325,"Neophasia   menapia"
-122.91753,40.8732,"Neophasia   menapia"
-114.75,46.517,"Neophasia   menapia"
-115,46.483,"Neophasia   menapia"
-114.71,46.51,"Neophasia   menapia"
-113.8959,45.17576,"Neophasia   menapia"
-119.8003,49.5098,"Neophasia   menapia"
-116.868,46.804,"Neophasia   menapia"
-119.7167,49.45,"Neophasia   menapia"
-123.066667,49.3,"Neophasia   menapia"
-116.851,46.909,"Neophasia   menapia"
-124.104,44.281,"Neophasia   menapia"
-120.8,49.1,"Neophasia   menapia"
-107.674,38.027,"Neophasia   menapia"
-103.71871,43.89469,"Neophasia   menapia"
-114.26713,44.35872,"Neophasia   menapia"
-123.33423,44.61557,"Neophasia   menapia"
-117.29321,44.46849,"Neophasia   menapia"
-117.1,47.917,"Neophasia   menapia"
-121.268,46.628,"Neophasia   menapia"
-116.183,46.783,"Neophasia   menapia"
-121.484,46.089,"Neophasia   menapia"
-123.54663,44.56421,"Neophasia   menapia"
-119.6405,49.506,"Neophasia   menapia"
-123.670885839818,43.0297405256121,"Neophasia   menapia"
-103.4588,43.88027,"Neophasia   menapia"
-123.4667,48.4667,"Neophasia   menapia"
-116.883,48.483,"Neophasia   menapia"
-115.433,45.867,"Neophasia   menapia"
-117.25,48.01,"Neophasia   menapia"
-103.57519,43.88903,"Neophasia   menapia"
