"lon","lat","species.name"
-83.38421,42.66045,"Oarisma   poweshiek"
-87.993787,43.176713,"Oarisma   poweshiek"
-96.65489,49.13414,"Oarisma   poweshiek"
-89.020356,43.890454,"Oarisma   poweshiek"
-96.291217,44.237454,"Oarisma   poweshiek"
-96.8167,49.0833,"Oarisma   poweshiek"
-96.7667,49.1333,"Oarisma   poweshiek"
-92.381,43.44,"Oarisma   poweshiek"
-83.7011,42.6639,"Oarisma   poweshiek"
-96.8111,49.0744,"Oarisma   poweshiek"
-95.1478,43.4,"Oarisma   poweshiek"
-96.2875,44.2611,"Oarisma   poweshiek"
-97.2275,45.7411,"Oarisma   poweshiek"
-96.7167,49.1,"Oarisma   poweshiek"
-83.7014,42.6642,"Oarisma   poweshiek"
-96.30232,44.23069,"Oarisma   poweshiek"
-101.4478,48.2189,"Oarisma   poweshiek"
-94.867348,43.42183,"Oarisma   poweshiek"
-95.244721,43.396354,"Oarisma   poweshiek"
-95.15083,43.377985,"Oarisma   poweshiek"
-95.186386,43.379131,"Oarisma   poweshiek"
-96.175395,48.137191,"Oarisma   poweshiek"
-95.939211,47.238419,"Oarisma   poweshiek"
-109.5008,43,"Oarisma   poweshiek"
-83.7,42.646,"Oarisma   poweshiek"
-103.7083,44.4167,"Oarisma   poweshiek"
-105.3833,40.0833,"Oarisma   poweshiek"
-97.032855,47.925257,"Oarisma   poweshiek"
-85.668129,42.963326,"Oarisma   poweshiek"
-95.148329,43.386352,"Oarisma   poweshiek"
-99.337891,41.6506,"Oarisma   poweshiek"
-94.2506,46.2503,"Oarisma   poweshiek"
-96.1958,45.0097,"Oarisma   poweshiek"
-95.1769,43.3128,"Oarisma   poweshiek"
-97.198095,40.393614,"Oarisma   poweshiek"
-94.767578,42.141263,"Oarisma   poweshiek"
-101.0331,50.1433,"Oarisma   poweshiek"
-85.6269,43.0203,"Oarisma   poweshiek"
-92.720192,41.739994,"Oarisma   poweshiek"
-87.526146,41.189757,"Oarisma   poweshiek"
-96.923,44.324,"Oarisma   poweshiek"
-88.5013,42.898667,"Oarisma   poweshiek"
-89.528527,41.389218,"Oarisma   poweshiek"
-83.91,42.6,"Oarisma   poweshiek"
