"lon","lat","species.name"
-122.126383,38.053362,"Ochlodes   yuma"
-122.126373,38.053365,"Ochlodes   yuma"
-115.359632,36.439236,"Ochlodes   yuma"
-115.021427,36.101111,"Ochlodes   yuma"
-115.012132,36.095882,"Ochlodes   yuma"
-114.421695,36.513303,"Ochlodes   yuma"
-115.007766,36.094632,"Ochlodes   yuma"
-121.699128,38.006147,"Ochlodes   yuma"
-115.019281,36.100742,"Ochlodes   yuma"
-122.12574,38.05457,"Ochlodes   yuma"
-121.698518,38.006578,"Ochlodes   yuma"
-122.124989,38.056425,"Ochlodes   yuma"
-121.699172,38.006142,"Ochlodes   yuma"
-121.822128,38.021106,"Ochlodes   yuma"
-117.998314,37.411891,"Ochlodes   yuma"
-121.697885,38.006124,"Ochlodes   yuma"
-109.557649,38.565667,"Ochlodes   yuma"
-121.725372,38.010949,"Ochlodes   yuma"
-121.704268,38.006318,"Ochlodes   yuma"
-114.976291,36.090792,"Ochlodes   yuma"
-115.01382,36.214237,"Ochlodes   yuma"
-115.000372,36.077166,"Ochlodes   yuma"
-115.000629,36.078675,"Ochlodes   yuma"
-121.822175,38.021045,"Ochlodes   yuma"
-112.091103,36.118533,"Ochlodes   yuma"
-115.359072,36.439076,"Ochlodes   yuma"
-121.826438,38.019596,"Ochlodes   yuma"
-115.360434,36.439413,"Ochlodes   yuma"
-122.125962,38.05342,"Ochlodes   yuma"
-122.118565,38.062811,"Ochlodes   yuma"
-112.036117,36.194777,"Ochlodes   yuma"
-115.0214,36.106069,"Ochlodes   yuma"
-121.837814,38.020413,"Ochlodes   yuma"
-114.998022,36.077223,"Ochlodes   yuma"
-115.025428,36.102633,"Ochlodes   yuma"
-112.163665,40.727262,"Ochlodes   yuma"
-113.4878,37.26253,"Ochlodes   yuma"
-120.5594,38.18462,"Ochlodes   yuma"
-108.46184,39.019493,"Ochlodes   yuma"
-113.895,45.256,"Ochlodes   yuma"
-114.15,45.38,"Ochlodes   yuma"
-114.416,45.316,"Ochlodes   yuma"
-121.79134,38.01457,"Ochlodes   yuma"
-116.2731,35.9883,"Ochlodes   yuma"
-121.7955,38.01589,"Ochlodes   yuma"
-121.78373,38.01368,"Ochlodes   yuma"
-108.2811,39.1839,"Ochlodes   yuma"
-121.69028,38.12683,"Ochlodes   yuma"
-121.48,38.0653,"Ochlodes   yuma"
-114.44562,37.4982,"Ochlodes   yuma"
-121.6394,38.015,"Ochlodes   yuma"
-121.64305,38.047115,"Ochlodes   yuma"
-115.381638,36.421005,"Ochlodes   yuma"
-114.982925,36.03569,"Ochlodes   yuma"
-121.723022,38.065122,"Ochlodes   yuma"
-121.79463,37.98206,"Ochlodes   yuma"
-121.68266,38.02936,"Ochlodes   yuma"
-117.52488,36.32093,"Ochlodes   yuma"
-118.09045,37.33073,"Ochlodes   yuma"
-118.97767,47.9566,"Ochlodes   yuma"
-118.08412,36.64618,"Ochlodes   yuma"
-118.12973,36.70777,"Ochlodes   yuma"
-121.641,38.029,"Ochlodes   yuma"
-121.64084,38.03065,"Ochlodes   yuma"
-121.652,38.1037,"Ochlodes   yuma"
-121.80579,37.99861,"Ochlodes   yuma"
-118.0446,37.27669,"Ochlodes   yuma"
-117.52451,36.32077,"Ochlodes   yuma"
-118.027,36.305,"Ochlodes   yuma"
-118.006473,36.281881,"Ochlodes   yuma"
-114.286,45.04,"Ochlodes   yuma"
-118.780632,36.26667,"Ochlodes   yuma"
