"lon","lat","species.name"
-78.769875,35.526572,"Papilio   glaucus"
-80.622777,28.067924,"Papilio   glaucus"
-82.497711,35.523285,"Papilio   glaucus"
-90.506441,30.726161,"Papilio   glaucus"
-82.569579,29.041946,"Papilio   glaucus"
-80.197615,32.787471,"Papilio   glaucus"
-81.312434,29.901244,"Papilio   glaucus"
-89.528961,31.378262,"Papilio   glaucus"
-82.732496,29.369137,"Papilio   glaucus"
-81.715852,29.543339,"Papilio   glaucus"
-88.763061,31.523616,"Papilio   glaucus"
-94.809411,34.217235,"Papilio   glaucus"
-81.667392,28.014088,"Papilio   glaucus"
-98.114216,30.198663,"Papilio   glaucus"
-92.462708,34.844611,"Papilio   glaucus"
-86.088965,32.249994,"Papilio   glaucus"
-88.526731,33.841253,"Papilio   glaucus"
-86.08893,32.249834,"Papilio   glaucus"
-89.220658,31.317862,"Papilio   glaucus"
-93.077657,35.766949,"Papilio   glaucus"
-96.927368,32.860587,"Papilio   glaucus"
-80.353582,33.220367,"Papilio   glaucus"
-98.041214,30.190905,"Papilio   glaucus"
-81.213601,28.411431,"Papilio   glaucus"
-96.622857,33.166285,"Papilio   glaucus"
-96.973534,33.066047,"Papilio   glaucus"
-96.958209,33.062255,"Papilio   glaucus"
-89.278593,31.311995,"Papilio   glaucus"
-82.305816,27.244881,"Papilio   glaucus"
-82.3058,27.244889,"Papilio   glaucus"
-96.010763,32.242011,"Papilio   glaucus"
-97.644363,30.235323,"Papilio   glaucus"
-97.458933,30.14092,"Papilio   glaucus"
-79.717438,36.16037,"Papilio   glaucus"
-82.277931,29.657128,"Papilio   glaucus"
-84.593277,30.013598,"Papilio   glaucus"
-85.011665,29.725555,"Papilio   glaucus"
-86.672431,34.71628,"Papilio   glaucus"
-89.512673,32.089642,"Papilio   glaucus"
-90.118789,30.470603,"Papilio   glaucus"
-96.97958,33.06209,"Papilio   glaucus"
-97.944928,30.160875,"Papilio   glaucus"
-96.958702,33.061827,"Papilio   glaucus"
-86.091791,34.985751,"Papilio   glaucus"
-89.131691,31.584237,"Papilio   glaucus"
-84.447547,30.514008,"Papilio   glaucus"
-91.250545,31.623529,"Papilio   glaucus"
-98.113747,30.198924,"Papilio   glaucus"
-84.866928,34.63377,"Papilio   glaucus"
-97.686857,29.883553,"Papilio   glaucus"
-85.07573,29.734397,"Papilio   glaucus"
-98.423163,29.525608,"Papilio   glaucus"
-90.960072,30.664118,"Papilio   glaucus"
-89.056605,30.967026,"Papilio   glaucus"
-97.611939,30.193294,"Papilio   glaucus"
-84.520315,30.481812,"Papilio   glaucus"
-85.073555,31.99168,"Papilio   glaucus"
-81.837508,30.485863,"Papilio   glaucus"
-83.208013,38.750258,"Papilio   glaucus"
-80.175162,34.204389,"Papilio   glaucus"
-78.278646,37.17566,"Papilio   glaucus"
-98.425897,30.103946,"Papilio   glaucus"
-85.821851,33.472004,"Papilio   glaucus"
-86.204886,34.394926,"Papilio   glaucus"
-94.297112,35.334954,"Papilio   glaucus"
-91.637215,31.480898,"Papilio   glaucus"
-96.562343,33.341774,"Papilio   glaucus"
-78.579037,35.894852,"Papilio   glaucus"
-77.250243,39.150028,"Papilio   glaucus"
-81.331174,33.752233,"Papilio   glaucus"
-82.021791,34.146858,"Papilio   glaucus"
-79.144738,36.045373,"Papilio   glaucus"
-85.973086,32.685077,"Papilio   glaucus"
-96.425215,34.097955,"Papilio   glaucus"
-82.371972,29.636753,"Papilio   glaucus"
-82.241186,29.642704,"Papilio   glaucus"
-97.128052,33.229168,"Papilio   glaucus"
-97.551905,32.254734,"Papilio   glaucus"
-94.727764,31.374085,"Papilio   glaucus"
-95.994718,36.07315,"Papilio   glaucus"
-96.963444,33.066634,"Papilio   glaucus"
-81.28237,31.628537,"Papilio   glaucus"
-95.567231,35.474728,"Papilio   glaucus"
-97.27332,32.853748,"Papilio   glaucus"
-94.813406,35.688391,"Papilio   glaucus"
-96.955118,33.066023,"Papilio   glaucus"
-82.588048,28.608373,"Papilio   glaucus"
-94.128366,35.283733,"Papilio   glaucus"
-86.908913,36.061795,"Papilio   glaucus"
-92.176516,35.972473,"Papilio   glaucus"
-84.486261,32.859107,"Papilio   glaucus"
-82.24935,35.43959,"Papilio   glaucus"
-76.700554,39.30722,"Papilio   glaucus"
-95.524742,29.503247,"Papilio   glaucus"
-97.468117,32.842637,"Papilio   glaucus"
-91.038989,30.426337,"Papilio   glaucus"
-99.570607,29.807623,"Papilio   glaucus"
-95.645554,36.319443,"Papilio   glaucus"
-97.060097,36.11805,"Papilio   glaucus"
-79.475098,36.884014,"Papilio   glaucus"
-76.699166,39.306476,"Papilio   glaucus"
-90.060986,35.331032,"Papilio   glaucus"
-82.462638,36.772295,"Papilio   glaucus"
-95.637871,36.319408,"Papilio   glaucus"
-93.765891,31.163955,"Papilio   glaucus"
-97.441864,35.170651,"Papilio   glaucus"
-95.923116,36.223317,"Papilio   glaucus"
-97.709234,30.428371,"Papilio   glaucus"
-75.104491,40.023422,"Papilio   glaucus"
-96.965362,33.063115,"Papilio   glaucus"
-86.642077,31.856485,"Papilio   glaucus"
-97.357373,35.099656,"Papilio   glaucus"
-76.360817,36.683388,"Papilio   glaucus"
-96.99033,33.061946,"Papilio   glaucus"
-83.728042,35.65411,"Papilio   glaucus"
-80.536709,35.368226,"Papilio   glaucus"
-82.186662,35.229187,"Papilio   glaucus"
-81.078378,37.754197,"Papilio   glaucus"
-92.430108,34.99115,"Papilio   glaucus"
-93.047268,34.433496,"Papilio   glaucus"
-86.917771,31.096021,"Papilio   glaucus"
-82.186317,35.828859,"Papilio   glaucus"
-95.594832,29.833469,"Papilio   glaucus"
-77.619604,39.345839,"Papilio   glaucus"
-78.487888,37.995772,"Papilio   glaucus"
-78.122223,35.778332,"Papilio   glaucus"
-84.565827,33.717185,"Papilio   glaucus"
-95.503722,35.414828,"Papilio   glaucus"
-82.60801,35.49933,"Papilio   glaucus"
-83.018895,40.009049,"Papilio   glaucus"
-83.109373,35.783008,"Papilio   glaucus"
