"lon","lat","species.name"
-122.76859,38.002385,"Pieris   marginalis"
-121.796064,37.400173,"Pieris   marginalis"
-122.622239,37.891347,"Pieris   marginalis"
-121.777789,37.407474,"Pieris   marginalis"
-121.797127,37.398869,"Pieris   marginalis"
-121.833223,37.516138,"Pieris   marginalis"
-122.351017,37.182065,"Pieris   marginalis"
-123.791524,39.405862,"Pieris   marginalis"
-121.949418,37.90346,"Pieris   marginalis"
-121.803432,37.396833,"Pieris   marginalis"
-123.75859,39.301684,"Pieris   marginalis"
-121.79918,37.828428,"Pieris   marginalis"
-123.788624,39.303354,"Pieris   marginalis"
-121.774641,37.147778,"Pieris   marginalis"
-123.786706,39.302781,"Pieris   marginalis"
-122.516883,38.36287,"Pieris   marginalis"
-122.231167,37.351257,"Pieris   marginalis"
-121.951962,37.908089,"Pieris   marginalis"
-121.444931,37.192322,"Pieris   marginalis"
-122.520947,38.363061,"Pieris   marginalis"
-121.794783,37.402055,"Pieris   marginalis"
-122.592101,38.356869,"Pieris   marginalis"
-121.794822,37.402783,"Pieris   marginalis"
-121.444931,37.192049,"Pieris   marginalis"
-121.944577,37.857633,"Pieris   marginalis"
-121.802276,37.396869,"Pieris   marginalis"
-121.56055,36.371967,"Pieris   marginalis"
-121.796966,37.399415,"Pieris   marginalis"
-122.395996,37.449764,"Pieris   marginalis"
-122.573251,38.480587,"Pieris   marginalis"
-123.778077,39.305065,"Pieris   marginalis"
-122.389437,37.452627,"Pieris   marginalis"
-122.55352,38.351686,"Pieris   marginalis"
-123.132767,39.130535,"Pieris   marginalis"
-122.267498,37.126605,"Pieris   marginalis"
-122.399524,37.447654,"Pieris   marginalis"
-121.466489,37.075963,"Pieris   marginalis"
-122.553367,38.351482,"Pieris   marginalis"
-121.525178,37.082625,"Pieris   marginalis"
-123.002206,38.357134,"Pieris   marginalis"
-122.589947,38.063586,"Pieris   marginalis"
-122.630468,37.924482,"Pieris   marginalis"
-123.752513,39.300414,"Pieris   marginalis"
-121.526291,36.017266,"Pieris   marginalis"
-122.553477,38.351787,"Pieris   marginalis"
-120.992858,39.328931,"Pieris   marginalis"
-122.403175,37.444622,"Pieris   marginalis"
-121.948704,37.873029,"Pieris   marginalis"
-122.732003,38.017681,"Pieris   marginalis"
-123.001433,38.3577,"Pieris   marginalis"
-123.724873,39.452052,"Pieris   marginalis"
-122.323365,37.192869,"Pieris   marginalis"
-120.992517,39.331067,"Pieris   marginalis"
-123.881442,46.164195,"Pieris   marginalis"
-122.389352,37.453127,"Pieris   marginalis"
-116.294441,45.182499,"Pieris   marginalis"
-122.629495,37.924392,"Pieris   marginalis"
-122.369378,37.43732,"Pieris   marginalis"
-122.770701,37.951309,"Pieris   marginalis"
-122.368112,37.436897,"Pieris   marginalis"
-121.977095,37.884144,"Pieris   marginalis"
-120.992417,39.329981,"Pieris   marginalis"
-123.971615,45.355885,"Pieris   marginalis"
-121.952499,49.095833,"Pieris   marginalis"
-122.366055,37.436805,"Pieris   marginalis"
-122.639673,37.940847,"Pieris   marginalis"
-122.134332,37.809495,"Pieris   marginalis"
-123.899633,46.128422,"Pieris   marginalis"
-123.776912,39.331276,"Pieris   marginalis"
-122.394705,37.449335,"Pieris   marginalis"
-122.529092,38.334403,"Pieris   marginalis"
-121.929359,47.653363,"Pieris   marginalis"
-120.992308,39.329847,"Pieris   marginalis"
-121.651611,36.160053,"Pieris   marginalis"
-120.989783,39.330353,"Pieris   marginalis"
-123.181206,45.852867,"Pieris   marginalis"
-122.640424,37.941118,"Pieris   marginalis"
-122.323453,37.523997,"Pieris   marginalis"
-122.617472,37.921867,"Pieris   marginalis"
-122.395582,37.450003,"Pieris   marginalis"
-122.633331,37.934242,"Pieris   marginalis"
-123.93121,47.861328,"Pieris   marginalis"
-121.792653,37.403932,"Pieris   marginalis"
-122.695858,49.292712,"Pieris   marginalis"
-105.734364,35.826917,"Pieris   marginalis"
-123.616987,46.559244,"Pieris   marginalis"
-121.977557,37.884307,"Pieris   marginalis"
-122.959563,49.243393,"Pieris   marginalis"
-124.100278,44.281111,"Pieris   marginalis"
-122.39459,37.44987,"Pieris   marginalis"
-121.796665,48.530248,"Pieris   marginalis"
-123.496702,45.989752,"Pieris   marginalis"
-121.461747,37.074902,"Pieris   marginalis"
-122.625293,37.919087,"Pieris   marginalis"
-122.159558,47.408672,"Pieris   marginalis"
-122.623987,37.917323,"Pieris   marginalis"
-121.977575,37.883368,"Pieris   marginalis"
-123.974586,45.919365,"Pieris   marginalis"
-122.928238,49.238943,"Pieris   marginalis"
-131.577501,55.308877,"Pieris   marginalis"
-123.821238,45.661111,"Pieris   marginalis"
-134.411333,58.305281,"Pieris   marginalis"
-120.177348,41.987997,"Pieris   marginalis"
-134.536189,58.421996,"Pieris   marginalis"
-122.444749,37.537866,"Pieris   marginalis"
-121.905243,46.995339,"Pieris   marginalis"
-121.80048,48.536108,"Pieris   marginalis"
-122.748607,37.966608,"Pieris   marginalis"
-121.599555,36.073995,"Pieris   marginalis"
-122.330458,37.265153,"Pieris   marginalis"
-117.206538,49.401156,"Pieris   marginalis"
-122.35138,37.434925,"Pieris   marginalis"
-120.177638,41.984612,"Pieris   marginalis"
-121.644619,48.915195,"Pieris   marginalis"
-122.44394,37.538063,"Pieris   marginalis"
-122.940949,38.053736,"Pieris   marginalis"
-134.420485,58.300427,"Pieris   marginalis"
-123.682313,45.964346,"Pieris   marginalis"
-123.497117,45.989707,"Pieris   marginalis"
-122.841376,38.014636,"Pieris   marginalis"
-122.444286,37.537949,"Pieris   marginalis"
-117.532073,49.02543,"Pieris   marginalis"
-117.329475,49.570991,"Pieris   marginalis"
-122.400265,37.446664,"Pieris   marginalis"
-122.381638,37.461367,"Pieris   marginalis"
-111.633963,41.887088,"Pieris   marginalis"
-123.617057,46.559241,"Pieris   marginalis"
-122.388787,37.455375,"Pieris   marginalis"
-123.86969,47.864674,"Pieris   marginalis"
-122.388633,37.455055,"Pieris   marginalis"
-123.992901,45.339547,"Pieris   marginalis"
-107.366572,39.94287,"Pieris   marginalis"
-122.385812,37.458012,"Pieris   marginalis"
-124.805549,49.233888,"Pieris   marginalis"
-110.903386,40.663066,"Pieris   marginalis"
-113.100465,42.134907,"Pieris   marginalis"
-122.917467,49.277962,"Pieris   marginalis"
-122.498069,38.368389,"Pieris   marginalis"
-121.803939,37.396414,"Pieris   marginalis"
-122.534058,38.125054,"Pieris   marginalis"
-122.800519,38.03567,"Pieris   marginalis"
-122.545828,38.41372,"Pieris   marginalis"
-122.595116,38.356549,"Pieris   marginalis"
-122.592874,38.353352,"Pieris   marginalis"
-122.584784,38.062301,"Pieris   marginalis"
-121.905917,37.846469,"Pieris   marginalis"
-122.584805,38.062267,"Pieris   marginalis"
-121.606659,37.02017,"Pieris   marginalis"
-121.856272,37.917274,"Pieris   marginalis"
-121.922981,37.334002,"Pieris   marginalis"
-121.876172,37.847952,"Pieris   marginalis"
-121.938474,37.919612,"Pieris   marginalis"
-122.585514,38.062335,"Pieris   marginalis"
-122.621667,37.914422,"Pieris   marginalis"
-122.571459,38.486382,"Pieris   marginalis"
-122.621369,38.431942,"Pieris   marginalis"
-121.180003,36.481819,"Pieris   marginalis"
-122.399384,37.851853,"Pieris   marginalis"
-121.38,37.025784,"Pieris   marginalis"
-122.171312,37.807583,"Pieris   marginalis"
-122.396303,37.449225,"Pieris   marginalis"
-121.923,37.85,"Pieris   marginalis"
-122.715378,38.0396,"Pieris   marginalis"
-122.454793,37.773819,"Pieris   marginalis"
-122.37499,37.378428,"Pieris   marginalis"
-121.867739,37.93107,"Pieris   marginalis"
-122.122744,36.96634,"Pieris   marginalis"
-122.518759,38.357071,"Pieris   marginalis"
-122.626738,37.903163,"Pieris   marginalis"
-122.540322,37.84557,"Pieris   marginalis"
-121.503054,36.760229,"Pieris   marginalis"
-122.757427,37.945814,"Pieris   marginalis"
-122.197795,37.926495,"Pieris   marginalis"
-122.140504,37.867942,"Pieris   marginalis"
-122.494325,37.834805,"Pieris   marginalis"
-135.338714,57.061292,"Pieris   marginalis"
-122.403145,37.447879,"Pieris   marginalis"
-122.761072,38.049969,"Pieris   marginalis"
-122.389029,37.453527,"Pieris   marginalis"
-122.136455,37.78961,"Pieris   marginalis"
-122.043994,37.820872,"Pieris   marginalis"
-122.421823,37.557923,"Pieris   marginalis"
-122.520478,37.833743,"Pieris   marginalis"
-123.98316,45.096479,"Pieris   marginalis"
-123.876889,46.122412,"Pieris   marginalis"
-122.758537,37.99293,"Pieris   marginalis"
-122.401572,37.445738,"Pieris   marginalis"
-122.876603,38.0424,"Pieris   marginalis"
-122.286589,37.199606,"Pieris   marginalis"
-122.201515,37.815695,"Pieris   marginalis"
-123.689591,39.176788,"Pieris   marginalis"
-122.394028,37.451092,"Pieris   marginalis"
-106.66907,35.054,"Pieris   marginalis"
-123.954438,45.89448,"Pieris   marginalis"
-122.394004,37.45113,"Pieris   marginalis"
-122.276961,37.197744,"Pieris   marginalis"
-122.169932,37.81142,"Pieris   marginalis"
-122.761616,37.997999,"Pieris   marginalis"
-122.723644,38.017659,"Pieris   marginalis"
-122.096558,47.53886,"Pieris   marginalis"
-123.572661,45.953815,"Pieris   marginalis"
-112.257579,40.369088,"Pieris   marginalis"
-135.234404,57.050195,"Pieris   marginalis"
-107.837074,40.002478,"Pieris   marginalis"
-135.313889,59.458333,"Pieris   marginalis"
-121.984526,37.99173,"Pieris   marginalis"
-122.595955,37.970067,"Pieris   marginalis"
-121.1798,47.72033,"Pieris   marginalis"
-122.801061,38.026264,"Pieris   marginalis"
-120.53026,38.73293,"Pieris   marginalis"
-122.271677,37.111503,"Pieris   marginalis"
-135.233966,57.049435,"Pieris   marginalis"
-123.868833,45.749798,"Pieris   marginalis"
-123.772072,45.364353,"Pieris   marginalis"
-135.345039,57.127028,"Pieris   marginalis"
-122.34724,37.185172,"Pieris   marginalis"
-109.514616,33.958863,"Pieris   marginalis"
-122.680351,37.930957,"Pieris   marginalis"
-122.177697,37.830955,"Pieris   marginalis"
-123.9335,45.956568,"Pieris   marginalis"
-123.870489,46.012779,"Pieris   marginalis"
-121.95601,46.985862,"Pieris   marginalis"
-135.3265,57.090701,"Pieris   marginalis"
-135.345621,57.127267,"Pieris   marginalis"
-121.201752,40.059333,"Pieris   marginalis"
-120.233473,41.967595,"Pieris   marginalis"
-123.620197,46.558517,"Pieris   marginalis"
-123.90748,46.12738,"Pieris   marginalis"
-123.903873,46.12827,"Pieris   marginalis"
-123.897588,46.134695,"Pieris   marginalis"
-149.60834,63.59455,"Pieris   marginalis"
-105.785044,39.660476,"Pieris   marginalis"
-121.925626,48.096913,"Pieris   marginalis"
-105.65271,39.898296,"Pieris   marginalis"
-124.104046,44.171696,"Pieris   marginalis"
-105.663553,39.891283,"Pieris   marginalis"
-123.140534,49.307152,"Pieris   marginalis"
-105.303393,36.349787,"Pieris   marginalis"
-123.891702,46.113972,"Pieris   marginalis"
-135.338473,57.061159,"Pieris   marginalis"
-105.809777,40.309803,"Pieris   marginalis"
-122.2953,37.195288,"Pieris   marginalis"
-122.295555,37.195145,"Pieris   marginalis"
-121.471228,35.921048,"Pieris   marginalis"
-121.886194,37.536982,"Pieris   marginalis"
-121.656344,37.479921,"Pieris   marginalis"
-121.924607,37.869503,"Pieris   marginalis"
-121.808803,37.397182,"Pieris   marginalis"
-122.003814,37.61675,"Pieris   marginalis"
-121.748846,37.465756,"Pieris   marginalis"
-120.624543,35.287923,"Pieris   marginalis"
-121.79982,37.397255,"Pieris   marginalis"
-121.798414,37.397301,"Pieris   marginalis"
-121.79169,37.404308,"Pieris   marginalis"
-122.006936,37.61603,"Pieris   marginalis"
-122.90062,38.143495,"Pieris   marginalis"
-121.930652,37.854114,"Pieris   marginalis"
-121.912258,37.846943,"Pieris   marginalis"
-122.30658,37.116337,"Pieris   marginalis"
-121.64948,37.066769,"Pieris   marginalis"
-121.633468,37.177378,"Pieris   marginalis"
-121.450768,37.100098,"Pieris   marginalis"
-121.794503,37.402928,"Pieris   marginalis"
-122.598013,38.360116,"Pieris   marginalis"
-120.619204,35.285593,"Pieris   marginalis"
-122.492841,37.827824,"Pieris   marginalis"
-120.455571,35.217839,"Pieris   marginalis"
-121.90522,36.459708,"Pieris   marginalis"
-122.596436,38.125847,"Pieris   marginalis"
-122.502883,38.367723,"Pieris   marginalis"
-122.799475,38.022131,"Pieris   marginalis"
-121.85512,37.822527,"Pieris   marginalis"
-122.153875,37.810008,"Pieris   marginalis"
-121.809377,37.116064,"Pieris   marginalis"
-122.154836,37.925569,"Pieris   marginalis"
-122.482506,37.8311,"Pieris   marginalis"
-122.48873,37.837958,"Pieris   marginalis"
-122.381592,37.456561,"Pieris   marginalis"
-122.68202,37.931223,"Pieris   marginalis"
-121.795764,37.400659,"Pieris   marginalis"
-123.876958,46.122704,"Pieris   marginalis"
-122.285903,37.469197,"Pieris   marginalis"
-122.801991,38.033764,"Pieris   marginalis"
-121.794771,37.402892,"Pieris   marginalis"
-121.909189,36.459881,"Pieris   marginalis"
-122.25546,37.896161,"Pieris   marginalis"
-122.288555,37.481182,"Pieris   marginalis"
-121.908438,36.460295,"Pieris   marginalis"
-123.334,44.607,"Pieris   marginalis"
-124.054888,46.282189,"Pieris   marginalis"
-121.839196,37.512422,"Pieris   marginalis"
-121.81577,48.49329,"Pieris   marginalis"
-122.557524,37.924484,"Pieris   marginalis"
-121.196702,36.50438,"Pieris   marginalis"
-123.016575,38.468456,"Pieris   marginalis"
-135.31778,59.451894,"Pieris   marginalis"
-122.404733,37.447095,"Pieris   marginalis"
-135.317153,59.451895,"Pieris   marginalis"
-121.151723,36.487882,"Pieris   marginalis"
-117.846,46.094,"Pieris   marginalis"
-135.31849,59.45184,"Pieris   marginalis"
-123.880434,46.13503,"Pieris   marginalis"
-121.495121,35.999993,"Pieris   marginalis"
-123.775337,39.276,"Pieris   marginalis"
-135.234668,57.051429,"Pieris   marginalis"
-109.338085,38.435132,"Pieris   marginalis"
-122.562225,38.120556,"Pieris   marginalis"
-123.14067,49.30372,"Pieris   marginalis"
-109.466756,37.895175,"Pieris   marginalis"
-123.965585,45.755487,"Pieris   marginalis"
-109.551287,33.908035,"Pieris   marginalis"
-148.9401,63.7318,"Pieris   marginalis"
-123.447258,46.096442,"Pieris   marginalis"
-109.273752,38.518383,"Pieris   marginalis"
-122.185895,37.821535,"Pieris   marginalis"
-122.17716,37.364267,"Pieris   marginalis"
-123.686528,45.960589,"Pieris   marginalis"
-109.306069,38.50005,"Pieris   marginalis"
-147.16629,63.99302,"Pieris   marginalis"
-147.16665,63.99281,"Pieris   marginalis"
-121.14895,36.489606,"Pieris   marginalis"
-147.15777,63.99419,"Pieris   marginalis"
-153.63081,57.553493,"Pieris   marginalis"
-148.92911,63.73478,"Pieris   marginalis"
-150.9959,63.5422,"Pieris   marginalis"
-124.046277,46.612105,"Pieris   marginalis"
-123.933025,45.955068,"Pieris   marginalis"
-150.048,63.5236,"Pieris   marginalis"
-150.982,63.5399,"Pieris   marginalis"
-123.904907,46.051616,"Pieris   marginalis"
-105.821984,40.480211,"Pieris   marginalis"
-105.822664,40.480619,"Pieris   marginalis"
-148.9606,63.7252,"Pieris   marginalis"
-123.52181,47.802643,"Pieris   marginalis"
-148.9607,63.751,"Pieris   marginalis"
-106.638322,35.865057,"Pieris   marginalis"
-121.83643,48.84265,"Pieris   marginalis"
-124.038032,46.321449,"Pieris   marginalis"
-109.27953,38.54363,"Pieris   marginalis"
-105.262548,36.391903,"Pieris   marginalis"
-105.853212,40.580847,"Pieris   marginalis"
-105.873292,40.542294,"Pieris   marginalis"
-106.295471,41.358128,"Pieris   marginalis"
-123.437932,47.987252,"Pieris   marginalis"
-121.936741,47.27457,"Pieris   marginalis"
-124.104198,44.171468,"Pieris   marginalis"
-122.158086,37.285339,"Pieris   marginalis"
-122.054,47.542561,"Pieris   marginalis"
-106.54502,35.82139,"Pieris   marginalis"
-108.461833,37.230873,"Pieris   marginalis"
-122.401063,37.446278,"Pieris   marginalis"
-122.142519,37.93387,"Pieris   marginalis"
-122.396662,37.449477,"Pieris   marginalis"
-123.71976,39.85877,"Pieris   marginalis"
-121.793713,37.148469,"Pieris   marginalis"
-121.949186,37.911904,"Pieris   marginalis"
-121.455454,37.072053,"Pieris   marginalis"
-123.817703,46.179783,"Pieris   marginalis"
-120.567696,38.713276,"Pieris   marginalis"
-122.576961,37.954472,"Pieris   marginalis"
-121.907301,36.547294,"Pieris   marginalis"
-122.161538,37.815188,"Pieris   marginalis"
-121.94825,37.914577,"Pieris   marginalis"
-121.948427,37.899468,"Pieris   marginalis"
-122.357507,37.1694,"Pieris   marginalis"
-121.801452,37.396782,"Pieris   marginalis"
-122.401998,37.445235,"Pieris   marginalis"
-122.339008,37.185076,"Pieris   marginalis"
-122.5722,37.94456,"Pieris   marginalis"
-122.139408,37.955716,"Pieris   marginalis"
-122.355251,37.171226,"Pieris   marginalis"
-122.18099,37.365648,"Pieris   marginalis"
-122.179577,37.356086,"Pieris   marginalis"
-117.323,48.858,"Pieris   marginalis"
-122.801342,38.013062,"Pieris   marginalis"
-122.267204,37.196762,"Pieris   marginalis"
-123.980455,39.971003,"Pieris   marginalis"
