"lon","lat","species.name"
-118.26186,34.1964,"Plebejus   neurona"
-119.13314,34.35874,"Plebejus   neurona"
-118.72951,35.34663,"Plebejus   neurona"
-118.49203,35.612667,"Plebejus   neurona"
-118.497866,35.582983,"Plebejus   neurona"
-118.058404,35.805402,"Plebejus   neurona"
-117.629402,34.358365,"Plebejus   neurona"
-118.944822,34.822756,"Plebejus   neurona"
-119.780617,48.095978,"Plebejus   neurona"
-119.148145,34.811901,"Plebejus   neurona"
-118.441108,35.131336,"Plebejus   neurona"
-116.67,34.22,"Plebejus   neurona"
-118.865233,34.84242,"Plebejus   neurona"
-117.318672,34.52071,"Plebejus   neurona"
-119.14733,34.81165,"Plebejus   neurona"
-118.28955,37.16493,"Plebejus   neurona"
