"lon","lat","species.name"
-114.468247,52.939288,"Plebejus   optilete"
-134.866066,61.172355,"Plebejus   optilete"
-147.842967,64.866733,"Plebejus   optilete"
-148.9401,63.7318,"Plebejus   optilete"
-147.668664,64.855009,"Plebejus   optilete"
-150.98515,63.539007,"Plebejus   optilete"
-147.75597,64.93589,"Plebejus   optilete"
-148.1218,64.46188,"Plebejus   optilete"
-148.9606,63.7252,"Plebejus   optilete"
-150.8496,63.4573,"Plebejus   optilete"
-150.982,63.5399,"Plebejus   optilete"
-150.864,63.4534,"Plebejus   optilete"
-149.7845,63.5593,"Plebejus   optilete"
-148.0518,64.8066,"Plebejus   optilete"
-150.9959,63.5422,"Plebejus   optilete"
-148.9177,63.7339,"Plebejus   optilete"
-147.93425,64.86867,"Plebejus   optilete"
-148.11851,64.461,"Plebejus   optilete"
-147.82245,64.891556,"Plebejus   optilete"
-147.42961,65.09331,"Plebejus   optilete"
-148.11797,64.46081,"Plebejus   optilete"
-149.2913,63.7427,"Plebejus   optilete"
-145.665647,63.193488,"Plebejus   optilete"
-147.736836,64.869652,"Plebejus   optilete"
-145.569007,65.424543,"Plebejus   optilete"
-145.944117,65.4017,"Plebejus   optilete"
-148.363217,64.953783,"Plebejus   optilete"
-147.939573,64.911058,"Plebejus   optilete"
-146.93216,65.34084,"Plebejus   optilete"
-148.301193,64.703966,"Plebejus   optilete"
-150.155374,67.316743,"Plebejus   optilete"
-150.45996,60.530118,"Plebejus   optilete"
-149.759878,67.993136,"Plebejus   optilete"
-145.681037,63.305864,"Plebejus   optilete"
-147.55917,64.77985,"Plebejus   optilete"
-148.02905,64.81309,"Plebejus   optilete"
-141.204361,62.785282,"Plebejus   optilete"
-144.682388,63.710426,"Plebejus   optilete"
-141.924133,64.062233,"Plebejus   optilete"
-147.00301,64.79177,"Plebejus   optilete"
-147.10143,64.71119,"Plebejus   optilete"
-148.89751,65.41032,"Plebejus   optilete"
-148.294855,64.70275,"Plebejus   optilete"
-151.57788,65.37572,"Plebejus   optilete"
-150.02696,63.682335,"Plebejus   optilete"
-140.32,69.28,"Plebejus   optilete"
-140.33,69.28,"Plebejus   optilete"
-143,62.4,"Plebejus   optilete"
