"lon","lat","species.name"
-119.811846,38.544353,"Plebejus   podarce"
-122.51064,41.21121,"Plebejus   podarce"
-122.53329,41.587986,"Plebejus   podarce"
-118.78106,36.228832,"Plebejus   podarce"
-119.96471,38.02145,"Plebejus   podarce"
-120.521996,39.576923,"Plebejus   podarce"
-120.03343,39.096,"Plebejus   podarce"
-120.33576,39.30435,"Plebejus   podarce"
-119.25793,37.91104,"Plebejus   podarce"
-119.37766,37.87715,"Plebejus   podarce"
-119.55698,37.84833,"Plebejus   podarce"
-120.29686,38.77463,"Plebejus   podarce"
-118.29342,36.57855,"Plebejus   podarce"
-118.5168,36.04502,"Plebejus   podarce"
-119.00124,37.59994,"Plebejus   podarce"
