"lon","lat","species.name"
-84.95101,30.577115,"Poanes   zabulon"
-82.460697,29.713979,"Poanes   zabulon"
-80.805035,33.801648,"Poanes   zabulon"
-81.139934,34.129206,"Poanes   zabulon"
-84.943671,30.571998,"Poanes   zabulon"
-89.820569,35.138515,"Poanes   zabulon"
-95.89695,36.228117,"Poanes   zabulon"
-96.931014,35.926923,"Poanes   zabulon"
-94.686067,35.846958,"Poanes   zabulon"
-76.942909,38.912402,"Poanes   zabulon"
-73.805022,40.870797,"Poanes   zabulon"
-77.920852,38.017593,"Poanes   zabulon"
-80.639252,35.442746,"Poanes   zabulon"
-80.659038,35.315671,"Poanes   zabulon"
-74.488993,40.638251,"Poanes   zabulon"
-74.4195,40.493108,"Poanes   zabulon"
-84.175669,39.642661,"Poanes   zabulon"
-86.00549,39.676663,"Poanes   zabulon"
-94.690313,38.800602,"Poanes   zabulon"
-75.04676,40.013995,"Poanes   zabulon"
-93.399963,35.944602,"Poanes   zabulon"
-82.128519,39.371608,"Poanes   zabulon"
-81.68506,41.011417,"Poanes   zabulon"
-86.548937,36.098767,"Poanes   zabulon"
-81.180358,35.817422,"Poanes   zabulon"
-80.660214,35.316994,"Poanes   zabulon"
-82.535928,39.402608,"Poanes   zabulon"
-82.477793,35.362897,"Poanes   zabulon"
-86.004761,34.88285,"Poanes   zabulon"
-77.249862,38.993151,"Poanes   zabulon"
-74.515706,40.714138,"Poanes   zabulon"
-77.362127,39.067841,"Poanes   zabulon"
-76.478421,39.160584,"Poanes   zabulon"
-89.815976,39.921253,"Poanes   zabulon"
-76.0196,37.257838,"Poanes   zabulon"
-77.12114,38.919266,"Poanes   zabulon"
-93.222041,36.07157,"Poanes   zabulon"
-76.935395,39.015706,"Poanes   zabulon"
-78.38612,35.840133,"Poanes   zabulon"
-94.691482,38.79587,"Poanes   zabulon"
-77.064357,39.003048,"Poanes   zabulon"
-76.623238,39.255078,"Poanes   zabulon"
-77.064648,39.002012,"Poanes   zabulon"
-70.584054,41.445752,"Poanes   zabulon"
-82.477852,35.362891,"Poanes   zabulon"
-78.82495,35.782225,"Poanes   zabulon"
-82.191628,36.003805,"Poanes   zabulon"
-89.244913,37.716664,"Poanes   zabulon"
-77.922005,38.014753,"Poanes   zabulon"
-92.233685,38.588889,"Poanes   zabulon"
-84.750562,39.278362,"Poanes   zabulon"
-76.392776,37.092777,"Poanes   zabulon"
-80.614789,35.343989,"Poanes   zabulon"
-79.059373,36.031727,"Poanes   zabulon"
-82.431839,35.608175,"Poanes   zabulon"
-78.686577,35.719413,"Poanes   zabulon"
-78.39376,35.83194,"Poanes   zabulon"
-89.574933,40.757344,"Poanes   zabulon"
-86.008278,34.8822,"Poanes   zabulon"
-77.388961,37.403557,"Poanes   zabulon"
-75.761667,39.694625,"Poanes   zabulon"
-84.296403,34.040636,"Poanes   zabulon"
-80.362709,40.503593,"Poanes   zabulon"
-74.226312,40.538116,"Poanes   zabulon"
-76.802308,39.216508,"Poanes   zabulon"
-81.883888,41.409168,"Poanes   zabulon"
-75.752564,39.698567,"Poanes   zabulon"
-94.138818,35.29398,"Poanes   zabulon"
-79.015518,35.888516,"Poanes   zabulon"
-80.756632,35.14738,"Poanes   zabulon"
-78.784577,35.841372,"Poanes   zabulon"
-77.583432,38.806431,"Poanes   zabulon"
-77.929515,37.677113,"Poanes   zabulon"
-86.211342,34.38463,"Poanes   zabulon"
-93.400247,35.944124,"Poanes   zabulon"
-81.226662,41.457456,"Poanes   zabulon"
-82.433081,35.607814,"Poanes   zabulon"
-82.225926,36.563682,"Poanes   zabulon"
-77.473976,37.593382,"Poanes   zabulon"
-77.508953,37.545593,"Poanes   zabulon"
-73.863198,40.891833,"Poanes   zabulon"
-75.102219,40.024757,"Poanes   zabulon"
-79.241495,35.57094,"Poanes   zabulon"
-77.065283,38.865023,"Poanes   zabulon"
-70.543578,41.92168,"Poanes   zabulon"
-77.219674,38.680518,"Poanes   zabulon"
-85.910764,35.136114,"Poanes   zabulon"
-75.752664,39.693006,"Poanes   zabulon"
-73.56266,40.646658,"Poanes   zabulon"
-77.035058,39.058831,"Poanes   zabulon"
-77.121071,38.919294,"Poanes   zabulon"
-77.121388,38.91907,"Poanes   zabulon"
-84.024979,39.518635,"Poanes   zabulon"
-81.88713,41.41307,"Poanes   zabulon"
-77.064282,39.002823,"Poanes   zabulon"
-76.621658,39.255213,"Poanes   zabulon"
-76.82228,39.001431,"Poanes   zabulon"
-77.064129,39.002929,"Poanes   zabulon"
-94.831326,35.840141,"Poanes   zabulon"
-81.414139,41.333065,"Poanes   zabulon"
-76.451641,39.035032,"Poanes   zabulon"
-74.463514,40.711711,"Poanes   zabulon"
-74.519813,40.698418,"Poanes   zabulon"
-74.463943,40.710605,"Poanes   zabulon"
-77.106871,39.112254,"Poanes   zabulon"
-73.738096,40.738455,"Poanes   zabulon"
-74.300936,40.728635,"Poanes   zabulon"
-77.077365,38.908327,"Poanes   zabulon"
-77.06423,39.002921,"Poanes   zabulon"
-81.887086,41.413028,"Poanes   zabulon"
-75.416992,39.085768,"Poanes   zabulon"
-73.51625,40.682205,"Poanes   zabulon"
-74.427739,40.489954,"Poanes   zabulon"
-81.917203,40.782984,"Poanes   zabulon"
-74.431957,40.489981,"Poanes   zabulon"
-79.909602,40.432195,"Poanes   zabulon"
-81.730087,41.448947,"Poanes   zabulon"
-70.918666,41.684121,"Poanes   zabulon"
-80.585854,41.888278,"Poanes   zabulon"
-82.60224,41.419103,"Poanes   zabulon"
-73.623817,40.623271,"Poanes   zabulon"
-77.388152,38.948976,"Poanes   zabulon"
-97.362594,32.735932,"Poanes   zabulon"
-82.845371,39.758945,"Poanes   zabulon"
-73.623825,40.623257,"Poanes   zabulon"
-73.970579,40.777424,"Poanes   zabulon"
-75.577944,39.187925,"Poanes   zabulon"
-72.920479,41.317387,"Poanes   zabulon"
-77.066631,39.003814,"Poanes   zabulon"
-87.565826,41.604775,"Poanes   zabulon"
