"lon","lat","species.name"
-106.231047,41.573683,"Polites   draco"
-136.875038,62.593552,"Polites   draco"
-106.76488,42.97364,"Polites   draco"
-109.513596,33.958872,"Polites   draco"
-105.721886,41.665516,"Polites   draco"
-109.256287,38.537545,"Polites   draco"
-105.96644,35.51373,"Polites   draco"
-110.47881,44.67357,"Polites   draco"
-110.42262,44.85134,"Polites   draco"
-107.872378,37.291474,"Polites   draco"
-110.433715,44.841249,"Polites   draco"
-110.019656,40.791176,"Polites   draco"
-105.637985,36.57653,"Polites   draco"
-104.52747,38.827385,"Polites   draco"
-111.367377,40.448076,"Polites   draco"
-105.67079,39.689404,"Polites   draco"
-113.87,49.08,"Polites   draco"
-113.879,49.081,"Polites   draco"
-105.095625,38.045829,"Polites   draco"
-105.431328,36.564461,"Polites   draco"
-106.693985,36.50967,"Polites   draco"
-105.71765,39.118916,"Polites   draco"
-109.49017,35.385082,"Polites   draco"
-112.9905,48.70567,"Polites   draco"
-105.25125,39.576572,"Polites   draco"
-113.685,49.026,"Polites   draco"
-107.07811,38.669678,"Polites   draco"
-105.9694,39.4111,"Polites   draco"
-106.0625,39.3617,"Polites   draco"
-115.25,51.66,"Polites   draco"
-105.8425,39.4231,"Polites   draco"
-133.683333,59.633333,"Polites   draco"
-133.8,60.066667,"Polites   draco"
-133.683333,59.65,"Polites   draco"
-114.859,43.915,"Polites   draco"
-114.767,43.883,"Polites   draco"
-134.9222,60.4075,"Polites   draco"
-133.7,59.5667,"Polites   draco"
-110,49.6333,"Polites   draco"
-117.3667,52.9833,"Polites   draco"
-114.9833,51.3667,"Polites   draco"
-117.3333,52.9833,"Polites   draco"
-115.4167,51.3667,"Polites   draco"
-114.3,49.3667,"Polites   draco"
-114.08,50.52,"Polites   draco"
-114.8333,50.5167,"Polites   draco"
-114.97,51.461,"Polites   draco"
-114.355,49.264,"Polites   draco"
-114.599,50.732,"Polites   draco"
-114.71,50.949,"Polites   draco"
-109.8833,49.5667,"Polites   draco"
-109.5,49.65,"Polites   draco"
-115.4167,51.4167,"Polites   draco"
-139.15,61.3833,"Polites   draco"
-117.3167,52.9667,"Polites   draco"
-115.8333,52.0833,"Polites   draco"
-115.2,50.9667,"Polites   draco"
-117.0333,52.8667,"Polites   draco"
-117.4,52.9167,"Polites   draco"
-135.2,61.1833,"Polites   draco"
-116.8833,52.8833,"Polites   draco"
-114.416667,49.816667,"Polites   draco"
-136.3667,60.35,"Polites   draco"
-106.597254,39.00027,"Polites   draco"
-134.2681,60.3139,"Polites   draco"
-134.6833,60.0833,"Polites   draco"
-115.69,44.629,"Polites   draco"
-138.3833,61.0333,"Polites   draco"
-113.249,44.803,"Polites   draco"
-137.8833,60.8333,"Polites   draco"
-110.0333,49.6,"Polites   draco"
-139.5375,61.3178,"Polites   draco"
-135.2842,61.0958,"Polites   draco"
-135.9272,61.6978,"Polites   draco"
-139.4667,61.4667,"Polites   draco"
-114.4417,50.0435,"Polites   draco"
-113.4667,49,"Polites   draco"
-117.8667,55.1667,"Polites   draco"
-133.75,60.0667,"Polites   draco"
-134.7,60.2,"Polites   draco"
-137.5,60.7833,"Polites   draco"
-137.5,60.75,"Polites   draco"
-117.3267,53.0292,"Polites   draco"
-106.17518,41.32497,"Polites   draco"
-137.9833,60.9333,"Polites   draco"
-105.470352,40.145585,"Polites   draco"
-113.7167,49.0667,"Polites   draco"
-106.1183,40.1025,"Polites   draco"
-105.8431,39.9936,"Polites   draco"
-132.2333,62.05,"Polites   draco"
-105.7856,39.9181,"Polites   draco"
-132.7667,62.8833,"Polites   draco"
-137.5667,60.7667,"Polites   draco"
-115.385,44.416,"Polites   draco"
-112.037244,35.876915,"Polites   draco"
-115.465,44.326,"Polites   draco"
-115.564,44.542,"Polites   draco"
-105.711111,39.595,"Polites   draco"
-114.424,49.834,"Polites   draco"
-114.6167,50.0833,"Polites   draco"
-134.05,62.1833,"Polites   draco"
