"lon","lat","species.name"
-122.81955,38.047072,"Polygonia   satyrus"
-122.102115,38.491938,"Polygonia   satyrus"
-122.225124,37.351939,"Polygonia   satyrus"
-122.818285,38.046673,"Polygonia   satyrus"
-122.153411,37.804053,"Polygonia   satyrus"
-122.544358,38.124801,"Polygonia   satyrus"
-122.339115,37.184645,"Polygonia   satyrus"
-122.04006,37.206597,"Polygonia   satyrus"
-122.796066,38.039963,"Polygonia   satyrus"
-122.567897,38.468879,"Polygonia   satyrus"
-123.762188,39.301722,"Polygonia   satyrus"
-122.555001,37.931268,"Polygonia   satyrus"
-123.267794,44.586269,"Polygonia   satyrus"
-109.871667,32.701389,"Polygonia   satyrus"
-122.33967,37.186182,"Polygonia   satyrus"
-122.26788,37.117802,"Polygonia   satyrus"
-122.357654,37.169253,"Polygonia   satyrus"
-107.815752,37.9352,"Polygonia   satyrus"
-121.1522,36.495361,"Polygonia   satyrus"
-116.985922,46.742733,"Polygonia   satyrus"
-116.765165,49.47784,"Polygonia   satyrus"
-116.144561,43.572551,"Polygonia   satyrus"
-113.310225,41.955474,"Polygonia   satyrus"
-123.752513,39.300414,"Polygonia   satyrus"
-123.776912,39.331276,"Polygonia   satyrus"
-121.106487,48.491919,"Polygonia   satyrus"
-122.084167,36.959167,"Polygonia   satyrus"
-123.425846,48.099392,"Polygonia   satyrus"
-122.401878,37.445388,"Polygonia   satyrus"
-120.628825,46.892996,"Polygonia   satyrus"
-122.080826,47.695329,"Polygonia   satyrus"
-121.548546,48.765572,"Polygonia   satyrus"
-125.195218,50.014339,"Polygonia   satyrus"
-123.369209,46.025001,"Polygonia   satyrus"
-123.700207,48.159466,"Polygonia   satyrus"
-93.790036,51.071415,"Polygonia   satyrus"
-118.883716,42.842287,"Polygonia   satyrus"
-122.445286,37.538837,"Polygonia   satyrus"
-121.585808,36.071592,"Polygonia   satyrus"
-122.388298,37.454783,"Polygonia   satyrus"
-122.824392,38.024312,"Polygonia   satyrus"
-122.445117,37.538582,"Polygonia   satyrus"
-116.693234,33.300091,"Polygonia   satyrus"
-122.299911,37.386182,"Polygonia   satyrus"
-117.193706,33.430431,"Polygonia   satyrus"
-121.585758,36.071578,"Polygonia   satyrus"
-122.25335,37.900018,"Polygonia   satyrus"
-122.482353,37.787548,"Polygonia   satyrus"
-118.170865,51.0121,"Polygonia   satyrus"
-122.898217,38.109375,"Polygonia   satyrus"
-121.881465,46.995252,"Polygonia   satyrus"
-122.486214,37.769421,"Polygonia   satyrus"
-121.907486,36.467983,"Polygonia   satyrus"
-123.010299,38.306707,"Polygonia   satyrus"
-122.680412,37.931222,"Polygonia   satyrus"
-122.898146,38.109427,"Polygonia   satyrus"
-122.682999,37.930042,"Polygonia   satyrus"
-121.649448,48.915481,"Polygonia   satyrus"
-122.470672,37.772392,"Polygonia   satyrus"
-122.393408,37.45001,"Polygonia   satyrus"
-122.482172,37.787437,"Polygonia   satyrus"
-116.904674,33.339421,"Polygonia   satyrus"
-111.601356,40.659507,"Polygonia   satyrus"
-122.293043,37.277728,"Polygonia   satyrus"
-117.410006,47.638652,"Polygonia   satyrus"
-122.274611,37.099016,"Polygonia   satyrus"
-123.738677,39.452306,"Polygonia   satyrus"
-119.148908,38.01503,"Polygonia   satyrus"
-119.14894,38.015053,"Polygonia   satyrus"
-122.149398,37.781125,"Polygonia   satyrus"
-112.290339,42.654272,"Polygonia   satyrus"
-122.399921,37.446732,"Polygonia   satyrus"
-121.910683,36.459061,"Polygonia   satyrus"
-123.51223,48.949408,"Polygonia   satyrus"
-119.148997,38.015007,"Polygonia   satyrus"
-122.383838,37.460052,"Polygonia   satyrus"
-122.387787,37.455878,"Polygonia   satyrus"
-122.400265,37.446664,"Polygonia   satyrus"
-122.274561,37.099621,"Polygonia   satyrus"
-122.148337,37.779365,"Polygonia   satyrus"
-111.960033,41.607434,"Polygonia   satyrus"
-122.345113,37.435416,"Polygonia   satyrus"
-112.133687,41.787475,"Polygonia   satyrus"
-122.535623,45.473858,"Polygonia   satyrus"
-114.296853,49.375775,"Polygonia   satyrus"
-122.538814,37.850711,"Polygonia   satyrus"
-117.165417,33.409448,"Polygonia   satyrus"
-116.567947,34.048989,"Polygonia   satyrus"
-120.819463,40.553294,"Polygonia   satyrus"
-122.76181,37.998412,"Polygonia   satyrus"
-122.761745,37.998158,"Polygonia   satyrus"
-122.623043,38.119973,"Polygonia   satyrus"
-122.824359,38.039811,"Polygonia   satyrus"
-122.643958,37.969945,"Polygonia   satyrus"
-122.64425,37.970075,"Polygonia   satyrus"
-122.800713,38.035248,"Polygonia   satyrus"
-122.752132,37.989669,"Polygonia   satyrus"
-122.121108,37.807205,"Polygonia   satyrus"
-122.054651,37.06733,"Polygonia   satyrus"
-122.121156,37.807208,"Polygonia   satyrus"
-109.249086,38.692721,"Polygonia   satyrus"
-117.548929,47.902367,"Polygonia   satyrus"
-100.73993,38.049854,"Polygonia   satyrus"
-112.573746,34.630043,"Polygonia   satyrus"
-122.680188,37.931204,"Polygonia   satyrus"
-123.475513,48.940825,"Polygonia   satyrus"
-111.143875,34.42206,"Polygonia   satyrus"
-122.606864,49.140141,"Polygonia   satyrus"
-119.283645,34.303683,"Polygonia   satyrus"
-122.621529,47.611202,"Polygonia   satyrus"
-116.73097,46.81892,"Polygonia   satyrus"
-123.369209,46.025477,"Polygonia   satyrus"
-116.567,34.047,"Polygonia   satyrus"
-109.77516,31.840128,"Polygonia   satyrus"
-116.56787,34.04838,"Polygonia   satyrus"
-122.335195,37.221587,"Polygonia   satyrus"
-122.269046,37.114383,"Polygonia   satyrus"
-109.279075,31.917454,"Polygonia   satyrus"
-122.335319,37.185096,"Polygonia   satyrus"
-122.680276,37.930878,"Polygonia   satyrus"
-121.68888,41.19933,"Polygonia   satyrus"
-116.733922,33.7228,"Polygonia   satyrus"
-116.566996,34.047388,"Polygonia   satyrus"
-122.211385,47.856088,"Polygonia   satyrus"
-122.347065,37.185621,"Polygonia   satyrus"
-122.896507,38.12675,"Polygonia   satyrus"
-122.351585,37.181188,"Polygonia   satyrus"
-122.898195,38.109197,"Polygonia   satyrus"
-111.630997,40.654963,"Polygonia   satyrus"
-111.629387,40.658813,"Polygonia   satyrus"
-122.8982,38.109372,"Polygonia   satyrus"
-122.33933,37.188102,"Polygonia   satyrus"
-122.27564,37.097578,"Polygonia   satyrus"
-116.794707,33.254387,"Polygonia   satyrus"
-116.956003,34.09659,"Polygonia   satyrus"
-119.822567,38.776725,"Polygonia   satyrus"
-122.244189,37.893388,"Polygonia   satyrus"
-122.275457,37.096712,"Polygonia   satyrus"
-109.467146,33.88045,"Polygonia   satyrus"
-122.866025,38.07957,"Polygonia   satyrus"
-122.339186,37.185217,"Polygonia   satyrus"
-122.357582,37.168878,"Polygonia   satyrus"
-93.441001,50.763669,"Polygonia   satyrus"
-113.5849,48.720124,"Polygonia   satyrus"
-122.391215,37.451902,"Polygonia   satyrus"
-122.339309,37.185279,"Polygonia   satyrus"
-122.796636,38.0034,"Polygonia   satyrus"
-122.788483,37.9898,"Polygonia   satyrus"
-122.796807,38.004211,"Polygonia   satyrus"
-122.22393,37.869562,"Polygonia   satyrus"
-122.273956,37.097553,"Polygonia   satyrus"
-123.01249,38.468214,"Polygonia   satyrus"
-122.308479,37.119582,"Polygonia   satyrus"
-115.392065,41.778097,"Polygonia   satyrus"
-122.147936,37.777822,"Polygonia   satyrus"
-105.215206,40.171866,"Polygonia   satyrus"
-111.036372,43.538683,"Polygonia   satyrus"
-111.695681,40.570284,"Polygonia   satyrus"
-115.616083,36.267551,"Polygonia   satyrus"
-110.501753,43.901583,"Polygonia   satyrus"
-122.761134,37.998794,"Polygonia   satyrus"
-122.394992,37.257578,"Polygonia   satyrus"
-122.338665,37.183023,"Polygonia   satyrus"
-122.395198,37.257218,"Polygonia   satyrus"
-122.994998,38.476804,"Polygonia   satyrus"
-121.910241,36.459294,"Polygonia   satyrus"
-122.4859,45.771675,"Polygonia   satyrus"
-122.635152,45.730536,"Polygonia   satyrus"
-121.180375,36.481609,"Polygonia   satyrus"
-122.095386,37.187939,"Polygonia   satyrus"
-122.629287,45.735179,"Polygonia   satyrus"
-121.913567,36.458224,"Polygonia   satyrus"
-116.010132,45.989329,"Polygonia   satyrus"
-123.09762,45.553543,"Polygonia   satyrus"
-122.331916,37.211683,"Polygonia   satyrus"
-121.145272,36.491645,"Polygonia   satyrus"
-121.145372,36.492002,"Polygonia   satyrus"
-121.912236,36.458776,"Polygonia   satyrus"
-119.93352,38.5038,"Polygonia   satyrus"
-123.772335,39.276295,"Polygonia   satyrus"
-121.744667,36.4808,"Polygonia   satyrus"
-120.74014,46.45656,"Polygonia   satyrus"
-109.306075,38.500047,"Polygonia   satyrus"
-121.73255,46.791774,"Polygonia   satyrus"
-116.39878,44.061474,"Polygonia   satyrus"
-121.910178,36.987786,"Polygonia   satyrus"
-122.27968,37.132862,"Polygonia   satyrus"
-121.743247,36.4794,"Polygonia   satyrus"
-122.171745,47.424545,"Polygonia   satyrus"
-122.679233,37.932375,"Polygonia   satyrus"
-122.351475,37.180493,"Polygonia   satyrus"
-122.580396,37.868298,"Polygonia   satyrus"
-122.793658,45.84323,"Polygonia   satyrus"
-123.7746,39.274845,"Polygonia   satyrus"
-122.325019,37.188687,"Polygonia   satyrus"
-122.377603,37.45047,"Polygonia   satyrus"
-122.396228,37.445425,"Polygonia   satyrus"
-122.899322,38.128595,"Polygonia   satyrus"
-122.902127,38.126516,"Polygonia   satyrus"
-122.793503,49.237664,"Polygonia   satyrus"
-104.716904,38.713378,"Polygonia   satyrus"
-104.375875,36.987586,"Polygonia   satyrus"
-105.601113,40.198874,"Polygonia   satyrus"
-123.207121,48.747743,"Polygonia   satyrus"
-117.185595,49.429483,"Polygonia   satyrus"
-105.810929,35.793554,"Polygonia   satyrus"
-116.81812,46.45078,"Polygonia   satyrus"
-122.044954,47.849476,"Polygonia   satyrus"
-122.796646,38.040478,"Polygonia   satyrus"
-112.864877,49.674162,"Polygonia   satyrus"
-122.452557,37.466652,"Polygonia   satyrus"
-116.568224,34.049276,"Polygonia   satyrus"
-122.25911,37.404705,"Polygonia   satyrus"
-122.271156,37.401631,"Polygonia   satyrus"
-122.29419,37.198573,"Polygonia   satyrus"
-122.294323,37.198782,"Polygonia   satyrus"
-122.148617,37.177395,"Polygonia   satyrus"
-122.355251,37.171226,"Polygonia   satyrus"
-122.267204,37.196762,"Polygonia   satyrus"
-122.339664,37.186134,"Polygonia   satyrus"
-114.5,53.01,"Polygonia   satyrus"
-122.839487,45.498211,"Polygonia   satyrus"
-122.316128,37.197788,"Polygonia   satyrus"
-122.339175,37.18518,"Polygonia   satyrus"
-122.211798,37.083214,"Polygonia   satyrus"
-116.901226,33.340204,"Polygonia   satyrus"
-122.20305,37.854382,"Polygonia   satyrus"
-122.310509,37.214323,"Polygonia   satyrus"
-122.34766,37.185445,"Polygonia   satyrus"
-122.20509,37.854638,"Polygonia   satyrus"
-122.307242,37.412143,"Polygonia   satyrus"
-122.207,37.855762,"Polygonia   satyrus"
-109.186249,31.871143,"Polygonia   satyrus"
-122.350608,37.18192,"Polygonia   satyrus"
-122.35066,37.181955,"Polygonia   satyrus"
-123.780453,39.331039,"Polygonia   satyrus"
-116.691665,33.765734,"Polygonia   satyrus"
-122.15323,47.051437,"Polygonia   satyrus"
-106.346771,56.130366,"Polygonia   satyrus"
-118.031968,34.002656,"Polygonia   satyrus"
-120.618456,35.02962,"Polygonia   satyrus"
-96.068463,50.679192,"Polygonia   satyrus"
-121.913309,36.458155,"Polygonia   satyrus"
-122.355008,37.172048,"Polygonia   satyrus"
-116.69179,33.765735,"Polygonia   satyrus"
-122.36956,37.437798,"Polygonia   satyrus"
-110.756973,43.583008,"Polygonia   satyrus"
-121.81577,48.49329,"Polygonia   satyrus"
-122.357147,37.437012,"Polygonia   satyrus"
-107.9968,32.8979,"Polygonia   satyrus"
-122.37744,46.58007,"Polygonia   satyrus"
-122.372847,37.434999,"Polygonia   satyrus"
-121.813467,36.359271,"Polygonia   satyrus"
-123.683739,39.019539,"Polygonia   satyrus"
-120.44754,35.385227,"Polygonia   satyrus"
-122.062603,37.037663,"Polygonia   satyrus"
-122.814388,38.034698,"Polygonia   satyrus"
-122.272811,37.09947,"Polygonia   satyrus"
-122.2556,37.91653,"Polygonia   satyrus"
-122.800378,38.020553,"Polygonia   satyrus"
-122.801978,38.035028,"Polygonia   satyrus"
-124.091799,49.243408,"Polygonia   satyrus"
-111.912213,45.572927,"Polygonia   satyrus"
-122.782787,38.613078,"Polygonia   satyrus"
-122.360406,37.166531,"Polygonia   satyrus"
-122.225113,37.869942,"Polygonia   satyrus"
-117.52,51.31,"Polygonia   satyrus"
-121.578211,36.067335,"Polygonia   satyrus"
-130.024636,55.91494,"Polygonia   satyrus"
-121.598992,36.069867,"Polygonia   satyrus"
-121.911603,36.458819,"Polygonia   satyrus"
-117.123206,49.603385,"Polygonia   satyrus"
-118.195672,50.998115,"Polygonia   satyrus"
-123.843834,39.835881,"Polygonia   satyrus"
-122.866551,38.091307,"Polygonia   satyrus"
-122.802301,38.068954,"Polygonia   satyrus"
-122.15122,37.277778,"Polygonia   satyrus"
-109.230136,54.399251,"Polygonia   satyrus"
-122.376972,37.178079,"Polygonia   satyrus"
-112.036117,36.194777,"Polygonia   satyrus"
-122.374563,37.380866,"Polygonia   satyrus"
-114.087755,50.974741,"Polygonia   satyrus"
-122.389283,37.453236,"Polygonia   satyrus"
-122.768158,48.225862,"Polygonia   satyrus"
-122.174706,42.949732,"Polygonia   satyrus"
-109.1955,31.851833,"Polygonia   satyrus"
-114.327,52.939,"Polygonia   satyrus"
-122.300494,47.646455,"Polygonia   satyrus"
-122.379662,37.453278,"Polygonia   satyrus"
-117.77721,33.675686,"Polygonia   satyrus"
-119.538,49.092,"Polygonia   satyrus"
-122.781487,38.612821,"Polygonia   satyrus"
-119.256,52.843,"Polygonia   satyrus"
-122.93761,38.525024,"Polygonia   satyrus"
-114.624,52.635,"Polygonia   satyrus"
-121.949886,37.905563,"Polygonia   satyrus"
-122.16615,37.813852,"Polygonia   satyrus"
-112.076051,40.513003,"Polygonia   satyrus"
-122.165,37.818833,"Polygonia   satyrus"
-122.053773,37.027442,"Polygonia   satyrus"
-113.319,53.987,"Polygonia   satyrus"
-119.020321,37.382348,"Polygonia   satyrus"
-121.645,55.675,"Polygonia   satyrus"
-121.019,55.114,"Polygonia   satyrus"
-112.01,54.963,"Polygonia   satyrus"
-113.738,53.396,"Polygonia   satyrus"
-117.551,53.208,"Polygonia   satyrus"
-121.097875,35.562674,"Polygonia   satyrus"
-117.01,53.542,"Polygonia   satyrus"
-104.828681,39.988507,"Polygonia   satyrus"
-114.176,53.494,"Polygonia   satyrus"
-116.691936,33.765805,"Polygonia   satyrus"
-123.411817,48.034782,"Polygonia   satyrus"
-115.522,53.032,"Polygonia   satyrus"
-114.032,47.876,"Polygonia   satyrus"
-114.08,48.47,"Polygonia   satyrus"
-111.77373,35.829693,"Polygonia   satyrus"
-122.396665,37.257693,"Polygonia   satyrus"
-122.260111,37.340595,"Polygonia   satyrus"
-122.253813,37.342838,"Polygonia   satyrus"
-112.53,52.28,"Polygonia   satyrus"
-121.832375,47.493553,"Polygonia   satyrus"
-116.776115,33.023605,"Polygonia   satyrus"
-117.99914,45.304047,"Polygonia   satyrus"
-121.83643,48.84265,"Polygonia   satyrus"
-105.74249,32.95731,"Polygonia   satyrus"
-113.638,52.551,"Polygonia   satyrus"
-122.381687,37.455486,"Polygonia   satyrus"
-114.536,50.921,"Polygonia   satyrus"
-109.897581,32.684554,"Polygonia   satyrus"
-115.721,54.031,"Polygonia   satyrus"
-123.44288,39.43239,"Polygonia   satyrus"
-122.274206,37.097351,"Polygonia   satyrus"
-111.74458,41.734226,"Polygonia   satyrus"
-114.453538,53.568004,"Polygonia   satyrus"
-122.404251,37.262714,"Polygonia   satyrus"
-122.876388,38.043058,"Polygonia   satyrus"
-114.078,53.071,"Polygonia   satyrus"
-121.76641,48.054913,"Polygonia   satyrus"
-122.337893,37.20279,"Polygonia   satyrus"
-116.335149,46.814157,"Polygonia   satyrus"
-118.328004,36.568356,"Polygonia   satyrus"
-112.788,51.766,"Polygonia   satyrus"
-113.558,53.547,"Polygonia   satyrus"
-115.742,52.339,"Polygonia   satyrus"
-113.851,49.14,"Polygonia   satyrus"
-122.518861,37.86495,"Polygonia   satyrus"
-113.613,53.506,"Polygonia   satyrus"
-117.720373,33.551123,"Polygonia   satyrus"
-114.775231,55.47968,"Polygonia   satyrus"
-122.218909,37.188621,"Polygonia   satyrus"
-109.249226,31.907883,"Polygonia   satyrus"
-122.383015,37.255164,"Polygonia   satyrus"
-122.781143,38.610164,"Polygonia   satyrus"
-121.315575,36.24011,"Polygonia   satyrus"
-123.827934,48.840769,"Polygonia   satyrus"
-92.51457,47.578636,"Polygonia   satyrus"
-104.52747,38.827385,"Polygonia   satyrus"
-107.649522,38.526387,"Polygonia   satyrus"
-122.0072,37.01249,"Polygonia   satyrus"
-114.084,53.071,"Polygonia   satyrus"
-116.680228,33.774263,"Polygonia   satyrus"
-121.856839,36.282207,"Polygonia   satyrus"
-119.69103,48.550972,"Polygonia   satyrus"
-106.722,53.73,"Polygonia   satyrus"
-106.72,53.73,"Polygonia   satyrus"
-117.49,51.26,"Polygonia   satyrus"
-117.49,51.27,"Polygonia   satyrus"
-119.698206,34.420832,"Polygonia   satyrus"
-117.494,51.265,"Polygonia   satyrus"
-112.86,53.66,"Polygonia   satyrus"
-116.43187,44.884583,"Polygonia   satyrus"
-112.867,53.6658,"Polygonia   satyrus"
-112.87,53.67,"Polygonia   satyrus"
-105.37351,38.101994,"Polygonia   satyrus"
-89.439555,37.597077,"Polygonia   satyrus"
-123.52181,47.802643,"Polygonia   satyrus"
-109.5936,44.492386,"Polygonia   satyrus"
-113.476163,53.538879,"Polygonia   satyrus"
-118.517075,48.437244,"Polygonia   satyrus"
-110.81187,33.78962,"Polygonia   satyrus"
-100.05,50.87,"Polygonia   satyrus"
-99.63,50.78,"Polygonia   satyrus"
-113.96,49.11,"Polygonia   satyrus"
-112.830668,53.674913,"Polygonia   satyrus"
-99.64,50.78,"Polygonia   satyrus"
-113.96,49.1,"Polygonia   satyrus"
-121.918252,37.871729,"Polygonia   satyrus"
-122.87099,38.05317,"Polygonia   satyrus"
-122.85143,38.07314,"Polygonia   satyrus"
-122.85188,38.07536,"Polygonia   satyrus"
-120.943642,53.227083,"Polygonia   satyrus"
-122.799962,38.038029,"Polygonia   satyrus"
-113.800171,48.68318,"Polygonia   satyrus"
-122.85781,38.05616,"Polygonia   satyrus"
-122.75777,38.00103,"Polygonia   satyrus"
-88.20651,44.996574,"Polygonia   satyrus"
-122.86916,38.053,"Polygonia   satyrus"
-115.18022,47.75647,"Polygonia   satyrus"
-100.04275,50.862833,"Polygonia   satyrus"
-115.40434,48.542233,"Polygonia   satyrus"
-117.52,51.3,"Polygonia   satyrus"
-117.47,51.41,"Polygonia   satyrus"
-117.51,51.3,"Polygonia   satyrus"
-114.73,50.607,"Polygonia   satyrus"
-116.98,46.67,"Polygonia   satyrus"
-114.697,49.597,"Polygonia   satyrus"
-112.467,57.58,"Polygonia   satyrus"
-112.471,57.583,"Polygonia   satyrus"
-112.49,57.533,"Polygonia   satyrus"
-115.46,51.9,"Polygonia   satyrus"
-115.086,49.463,"Polygonia   satyrus"
-115.189,51.821,"Polygonia   satyrus"
-88.5096574831678,46.7550300213286,"Polygonia   satyrus"
-105.39838,40.094837,"Polygonia   satyrus"
-136.045,59.4,"Polygonia   satyrus"
