"lon","lat","species.name"
-81.13722,34.126535,"Pompeius   verna"
-95.78687,30.490359,"Pompeius   verna"
-95.674031,30.551673,"Pompeius   verna"
-79.053923,36.031137,"Pompeius   verna"
-86.05375,34.94342,"Pompeius   verna"
-79.918818,43.300257,"Pompeius   verna"
-77.800817,38.780701,"Pompeius   verna"
-76.771675,39.077581,"Pompeius   verna"
-77.098453,38.75754,"Pompeius   verna"
-81.940675,41.016425,"Pompeius   verna"
-80.453657,43.189445,"Pompeius   verna"
-77.314044,44.471684,"Pompeius   verna"
-80.470825,43.212582,"Pompeius   verna"
-82.015167,40.891712,"Pompeius   verna"
-79.919313,43.298183,"Pompeius   verna"
-71.403658,41.768015,"Pompeius   verna"
-81.389935,42.951367,"Pompeius   verna"
-80.163114,40.556734,"Pompeius   verna"
-77.110472,39.112697,"Pompeius   verna"
-81.89617,40.777629,"Pompeius   verna"
-84.059564,39.723828,"Pompeius   verna"
-81.396992,40.712246,"Pompeius   verna"
-77.106667,39.112542,"Pompeius   verna"
-79.514547,40.711205,"Pompeius   verna"
-93.196169,44.9,"Pompeius   verna"
-79.906053,40.436931,"Pompeius   verna"
-81.204937,36.388178,"Pompeius   verna"
-87.924803,41.65805,"Pompeius   verna"
-77.802733,38.780522,"Pompeius   verna"
-71.409045,42.466975,"Pompeius   verna"
-74.144722,40.572224,"Pompeius   verna"
-74.311821,41.858649,"Pompeius   verna"
-83.378714,42.475616,"Pompeius   verna"
-73.341073,44.694347,"Pompeius   verna"
-95.730052,30.59219,"Pompeius   verna"
-81.930308,42.733366,"Pompeius   verna"
-80.021618,35.073225,"Pompeius   verna"
-77.303385,44.477927,"Pompeius   verna"
-77.314437,44.471221,"Pompeius   verna"
-70.729776,41.753384,"Pompeius   verna"
-71.408797,42.467147,"Pompeius   verna"
-71.412855,42.459295,"Pompeius   verna"
-87.738971,41.980435,"Pompeius   verna"
-76.644769,41.855697,"Pompeius   verna"
-79.612416,43.949657,"Pompeius   verna"
