"lon","lat","species.name"
-118.72951,35.34663,"Pseudocopaeodes   eunus"
-116.273361,36.401473,"Pseudocopaeodes   eunus"
-116.459045,37.966377,"Pseudocopaeodes   eunus"
-116.4753,33.0964,"Pseudocopaeodes   eunus"
-116.4667,33.0967,"Pseudocopaeodes   eunus"
-116.2611,33.2289,"Pseudocopaeodes   eunus"
-118.07636,36.58323,"Pseudocopaeodes   eunus"
-118.08412,36.64618,"Pseudocopaeodes   eunus"
-118.07748,36.58337,"Pseudocopaeodes   eunus"
-118.39511,37.36354,"Pseudocopaeodes   eunus"
-118.16993,34.72738,"Pseudocopaeodes   eunus"
-117.3211,34.57096,"Pseudocopaeodes   eunus"
-119.16602,39.02028,"Pseudocopaeodes   eunus"
-116.52407,33.08065,"Pseudocopaeodes   eunus"
-116.47529,33.09643,"Pseudocopaeodes   eunus"
-118.006473,36.281881,"Pseudocopaeodes   eunus"
-117.33421,34.59888,"Pseudocopaeodes   eunus"
-117.35176,34.59888,"Pseudocopaeodes   eunus"
-118.395721,37.365299,"Pseudocopaeodes   eunus"
-117.318672,34.52071,"Pseudocopaeodes   eunus"
-117.2903,34.5361,"Pseudocopaeodes   eunus"
-117.0228,34.8986,"Pseudocopaeodes   eunus"
-116.1889,32.6175,"Pseudocopaeodes   eunus"
