"lon","lat","species.name"
-95.008044,50.516932,"Pyrgus   centaureae"
-116.125833,52.531111,"Pyrgus   centaureae"
-150.22319,67.48164,"Pyrgus   centaureae"
-84.547993,48.079224,"Pyrgus   centaureae"
-84.547937,48.079237,"Pyrgus   centaureae"
-105.25125,39.576572,"Pyrgus   centaureae"
-116.227635,51.415417,"Pyrgus   centaureae"
-110.896991,40.683463,"Pyrgus   centaureae"
-95.41839,50.688045,"Pyrgus   centaureae"
-63.582344,58.929372,"Pyrgus   centaureae"
-110.901963,40.684678,"Pyrgus   centaureae"
-84.319725,55.243705,"Pyrgus   centaureae"
-105.645733,39.901967,"Pyrgus   centaureae"
-114.53,50.2,"Pyrgus   centaureae"
-138.28,61.213,"Pyrgus   centaureae"
-106.91595,39.217533,"Pyrgus   centaureae"
-140.205,69.1686,"Pyrgus   centaureae"
-140.21,69.17,"Pyrgus   centaureae"
-140.2,69.16,"Pyrgus   centaureae"
-93.83,58.62,"Pyrgus   centaureae"
-93.79,58.63,"Pyrgus   centaureae"
-93.786,58.632,"Pyrgus   centaureae"
-93.78,58.73,"Pyrgus   centaureae"
-93.829,58.619,"Pyrgus   centaureae"
-93.868,58.766,"Pyrgus   centaureae"
-93.78,58.63,"Pyrgus   centaureae"
-94.17,58.66,"Pyrgus   centaureae"
-106.316956,38.738243,"Pyrgus   centaureae"
-93.82,58.61,"Pyrgus   centaureae"
-93.87,58.77,"Pyrgus   centaureae"
-93.86,58.76,"Pyrgus   centaureae"
-116.228828,51.412377,"Pyrgus   centaureae"
-115.78,51.06,"Pyrgus   centaureae"
-93.8,58.72,"Pyrgus   centaureae"
-93.82,58.74,"Pyrgus   centaureae"
-93.82,58.73,"Pyrgus   centaureae"
-94.11,58.73,"Pyrgus   centaureae"
-94.12,58.73,"Pyrgus   centaureae"
-93.81,58.72,"Pyrgus   centaureae"
-93.81,58.73,"Pyrgus   centaureae"
-81.1323,36.489357,"Pyrgus   centaureae"
-123.4237,65.193,"Pyrgus   centaureae"
-128.9175,66.2708,"Pyrgus   centaureae"
-107.07811,38.669678,"Pyrgus   centaureae"
-105.39838,40.094837,"Pyrgus   centaureae"
-106.13756,39.62102,"Pyrgus   centaureae"
-114.433,59.056,"Pyrgus   centaureae"
-115.26,58.949,"Pyrgus   centaureae"
-81.765329,49.608529,"Pyrgus   centaureae"
-105.9694,39.4111,"Pyrgus   centaureae"
-138.25,61.217,"Pyrgus   centaureae"
-114.813,53.634,"Pyrgus   centaureae"
-145.886667,65.411667,"Pyrgus   centaureae"
-145.89,65.41,"Pyrgus   centaureae"
