"lon","lat","species.name"
-108.734336,26.924119,"Pyrisitia   proterpia"
-108.953484,27.008583,"Pyrisitia   proterpia"
-100.238965,25.794728,"Pyrisitia   proterpia"
-110.84608,31.494742,"Pyrisitia   proterpia"
-100.353058,25.604445,"Pyrisitia   proterpia"
-111.534163,31.684828,"Pyrisitia   proterpia"
-97.811279,32.806836,"Pyrisitia   proterpia"
-111.159329,33.278955,"Pyrisitia   proterpia"
-111.158537,33.278955,"Pyrisitia   proterpia"
-110.691845,32.337193,"Pyrisitia   proterpia"
-110.691806,32.382898,"Pyrisitia   proterpia"
-110.760643,31.539313,"Pyrisitia   proterpia"
-110.795693,31.539687,"Pyrisitia   proterpia"
-110.770228,31.527243,"Pyrisitia   proterpia"
-110.363052,31.382648,"Pyrisitia   proterpia"
-109.16436,31.896163,"Pyrisitia   proterpia"
-111.974583,33.350117,"Pyrisitia   proterpia"
-109.206578,31.883712,"Pyrisitia   proterpia"
-110.760745,31.539322,"Pyrisitia   proterpia"
-100.2657,25.658863,"Pyrisitia   proterpia"
-110.760717,31.539082,"Pyrisitia   proterpia"
-111.047077,31.56964,"Pyrisitia   proterpia"
-107.384967,24.82376,"Pyrisitia   proterpia"
-110.772232,31.528258,"Pyrisitia   proterpia"
-111.051015,31.570527,"Pyrisitia   proterpia"
-100.360241,25.618744,"Pyrisitia   proterpia"
-106.588816,32.332793,"Pyrisitia   proterpia"
-100.327385,25.643566,"Pyrisitia   proterpia"
-106.513317,31.921662,"Pyrisitia   proterpia"
-100.258209,25.564211,"Pyrisitia   proterpia"
-100.345585,25.78918,"Pyrisitia   proterpia"
-105.954282,33.034042,"Pyrisitia   proterpia"
-98.285579,26.213282,"Pyrisitia   proterpia"
-98.266197,26.206783,"Pyrisitia   proterpia"
-97.957807,26.125283,"Pyrisitia   proterpia"
-97.732158,26.775456,"Pyrisitia   proterpia"
-98.266136,26.206789,"Pyrisitia   proterpia"
-97.966003,26.062943,"Pyrisitia   proterpia"
-98.229288,26.176787,"Pyrisitia   proterpia"
-98.136249,26.079345,"Pyrisitia   proterpia"
-98.37959,26.185518,"Pyrisitia   proterpia"
-98.386467,26.178873,"Pyrisitia   proterpia"
-97.957558,26.123359,"Pyrisitia   proterpia"
-98.379618,26.185863,"Pyrisitia   proterpia"
-97.035153,33.088344,"Pyrisitia   proterpia"
-98.266578,26.204779,"Pyrisitia   proterpia"
-98.330587,26.182663,"Pyrisitia   proterpia"
-97.891493,26.0714,"Pyrisitia   proterpia"
-100.364118,25.666871,"Pyrisitia   proterpia"
-98.11389,30.198573,"Pyrisitia   proterpia"
-97.823398,27.796538,"Pyrisitia   proterpia"
-97.611895,30.19333,"Pyrisitia   proterpia"
-100.207494,25.645873,"Pyrisitia   proterpia"
-94.651375,35.897614,"Pyrisitia   proterpia"
-97.477112,32.598875,"Pyrisitia   proterpia"
-95.606029,30.697082,"Pyrisitia   proterpia"
-100.286652,25.675772,"Pyrisitia   proterpia"
-97.695579,30.350556,"Pyrisitia   proterpia"
-100.083904,25.352714,"Pyrisitia   proterpia"
-98.229906,26.176583,"Pyrisitia   proterpia"
-109.533933,30.253877,"Pyrisitia   proterpia"
-110.137212,31.545547,"Pyrisitia   proterpia"
-110.84523,31.525734,"Pyrisitia   proterpia"
-110.84424,31.761469,"Pyrisitia   proterpia"
-111.033914,32.282913,"Pyrisitia   proterpia"
-111.030784,32.282305,"Pyrisitia   proterpia"
-111.033905,32.282925,"Pyrisitia   proterpia"
-110.760641,31.538859,"Pyrisitia   proterpia"
-97.898208,30.23993,"Pyrisitia   proterpia"
-110.362988,31.38108,"Pyrisitia   proterpia"
-99.149146,26.58443,"Pyrisitia   proterpia"
-97.281444,32.064337,"Pyrisitia   proterpia"
-100.160369,25.367033,"Pyrisitia   proterpia"
-97.874781,30.185424,"Pyrisitia   proterpia"
-97.734544,30.290226,"Pyrisitia   proterpia"
-98.177851,30.157558,"Pyrisitia   proterpia"
-97.650583,30.216717,"Pyrisitia   proterpia"
-100.227098,25.549655,"Pyrisitia   proterpia"
-97.957825,26.126124,"Pyrisitia   proterpia"
-98.268982,26.204282,"Pyrisitia   proterpia"
-96.864071,29.839053,"Pyrisitia   proterpia"
-98.366481,26.179799,"Pyrisitia   proterpia"
-98.133444,26.290698,"Pyrisitia   proterpia"
-97.724707,30.328259,"Pyrisitia   proterpia"
-99.149497,26.584527,"Pyrisitia   proterpia"
-97.377405,28.654185,"Pyrisitia   proterpia"
-97.607707,30.244362,"Pyrisitia   proterpia"
-97.765746,30.290397,"Pyrisitia   proterpia"
-97.873431,30.186125,"Pyrisitia   proterpia"
-98.36648,26.176819,"Pyrisitia   proterpia"
-103.173269,29.660009,"Pyrisitia   proterpia"
-100.263678,25.658603,"Pyrisitia   proterpia"
-97.412464,31.053279,"Pyrisitia   proterpia"
-95.606028,30.697457,"Pyrisitia   proterpia"
-100.218137,26.482467,"Pyrisitia   proterpia"
-96.85461,32.312193,"Pyrisitia   proterpia"
-97.7624,30.461152,"Pyrisitia   proterpia"
-97.886746,30.208896,"Pyrisitia   proterpia"
-97.586221,29.586179,"Pyrisitia   proterpia"
-97.758536,30.417972,"Pyrisitia   proterpia"
-97.003026,33.184218,"Pyrisitia   proterpia"
-97.650528,30.2167,"Pyrisitia   proterpia"
-97.656474,30.225774,"Pyrisitia   proterpia"
-97.459316,30.140377,"Pyrisitia   proterpia"
-97.698227,30.209702,"Pyrisitia   proterpia"
-110.348396,31.551623,"Pyrisitia   proterpia"
-97.9826,29.570819,"Pyrisitia   proterpia"
-97.015926,32.311843,"Pyrisitia   proterpia"
-97.827082,30.244998,"Pyrisitia   proterpia"
-98.114171,30.198601,"Pyrisitia   proterpia"
-97.890756,30.256369,"Pyrisitia   proterpia"
-102.122108,31.964788,"Pyrisitia   proterpia"
-97.766185,30.203353,"Pyrisitia   proterpia"
-97.826885,30.244692,"Pyrisitia   proterpia"
-97.586102,29.592789,"Pyrisitia   proterpia"
-97.641953,30.685748,"Pyrisitia   proterpia"
-98.425887,30.103858,"Pyrisitia   proterpia"
-96.936868,32.918197,"Pyrisitia   proterpia"
-97.873211,30.185446,"Pyrisitia   proterpia"
-98.4766,34.66263,"Pyrisitia   proterpia"
-96.854954,32.310452,"Pyrisitia   proterpia"
-110.884092,31.738456,"Pyrisitia   proterpia"
-97.278459,32.885354,"Pyrisitia   proterpia"
-97.924122,29.494762,"Pyrisitia   proterpia"
-97.298396,32.88151,"Pyrisitia   proterpia"
-97.718655,30.663313,"Pyrisitia   proterpia"
-97.67311,30.324486,"Pyrisitia   proterpia"
-97.585618,29.592827,"Pyrisitia   proterpia"
-97.035048,28.057538,"Pyrisitia   proterpia"
-97.129873,32.792295,"Pyrisitia   proterpia"
-97.650853,30.217021,"Pyrisitia   proterpia"
-97.957509,26.12332,"Pyrisitia   proterpia"
-96.975331,33.063067,"Pyrisitia   proterpia"
-96.854439,32.311758,"Pyrisitia   proterpia"
-97.492151,30.997478,"Pyrisitia   proterpia"
-97.656322,30.225857,"Pyrisitia   proterpia"
-97.414513,30.12872,"Pyrisitia   proterpia"
-97.650565,30.216459,"Pyrisitia   proterpia"
-97.842142,30.234595,"Pyrisitia   proterpia"
-97.656581,30.225848,"Pyrisitia   proterpia"
-97.769321,30.233679,"Pyrisitia   proterpia"
-97.898257,30.239911,"Pyrisitia   proterpia"
-97.166869,33.185922,"Pyrisitia   proterpia"
-97.458611,30.145278,"Pyrisitia   proterpia"
-97.650511,30.216685,"Pyrisitia   proterpia"
-97.621982,32.928719,"Pyrisitia   proterpia"
-97.67144,30.327775,"Pyrisitia   proterpia"
-97.588368,29.585025,"Pyrisitia   proterpia"
-97.69846,30.312823,"Pyrisitia   proterpia"
-98.113881,30.198536,"Pyrisitia   proterpia"
-98.179019,30.157327,"Pyrisitia   proterpia"
-97.819053,30.214258,"Pyrisitia   proterpia"
-97.943306,29.88204,"Pyrisitia   proterpia"
-97.94342,29.882076,"Pyrisitia   proterpia"
-97.362932,32.741395,"Pyrisitia   proterpia"
-96.823612,33.150674,"Pyrisitia   proterpia"
-97.382653,32.695472,"Pyrisitia   proterpia"
-97.101585,32.587563,"Pyrisitia   proterpia"
-98.365501,26.177075,"Pyrisitia   proterpia"
-97.648943,28.822038,"Pyrisitia   proterpia"
-98.113784,30.198601,"Pyrisitia   proterpia"
-97.015842,32.311765,"Pyrisitia   proterpia"
-97.603131,30.518828,"Pyrisitia   proterpia"
-110.349922,31.555216,"Pyrisitia   proterpia"
-108.974041,27.048931,"Pyrisitia   proterpia"
-97.076414,32.626917,"Pyrisitia   proterpia"
-97.771858,30.268428,"Pyrisitia   proterpia"
-96.78807,28.252644,"Pyrisitia   proterpia"
-98.255595,30.325185,"Pyrisitia   proterpia"
-97.790387,30.382223,"Pyrisitia   proterpia"
-97.646629,30.684146,"Pyrisitia   proterpia"
-110.809339,31.797691,"Pyrisitia   proterpia"
-97.278485,32.885425,"Pyrisitia   proterpia"
-98.113756,30.198514,"Pyrisitia   proterpia"
-97.954903,29.894937,"Pyrisitia   proterpia"
-97.584022,29.586437,"Pyrisitia   proterpia"
-97.69127,30.239513,"Pyrisitia   proterpia"
-97.949692,30.493829,"Pyrisitia   proterpia"
-97.823534,30.310335,"Pyrisitia   proterpia"
-96.964306,33.062643,"Pyrisitia   proterpia"
-97.867025,30.172093,"Pyrisitia   proterpia"
-100.206184,25.633045,"Pyrisitia   proterpia"
-96.930476,32.952902,"Pyrisitia   proterpia"
-97.473908,32.833692,"Pyrisitia   proterpia"
-97.108797,32.669194,"Pyrisitia   proterpia"
-103.452478,25.556119,"Pyrisitia   proterpia"
-96.854487,32.311685,"Pyrisitia   proterpia"
-97.819764,30.435691,"Pyrisitia   proterpia"
-97.459317,30.140387,"Pyrisitia   proterpia"
-97.158167,32.774092,"Pyrisitia   proterpia"
-100.981017,25.372318,"Pyrisitia   proterpia"
-97.015895,32.311739,"Pyrisitia   proterpia"
-98.113884,30.198605,"Pyrisitia   proterpia"
-97.278471,32.885354,"Pyrisitia   proterpia"
-97.774787,30.271942,"Pyrisitia   proterpia"
-97.209166,30.364068,"Pyrisitia   proterpia"
-97.350884,30.341447,"Pyrisitia   proterpia"
-97.957481,26.123367,"Pyrisitia   proterpia"
-97.457141,31.073067,"Pyrisitia   proterpia"
-96.962284,33.060792,"Pyrisitia   proterpia"
-96.970622,33.062347,"Pyrisitia   proterpia"
-97.76387,30.453591,"Pyrisitia   proterpia"
-98.205625,33.814432,"Pyrisitia   proterpia"
-97.659215,30.317923,"Pyrisitia   proterpia"
-97.647087,30.213245,"Pyrisitia   proterpia"
-97.773808,30.271579,"Pyrisitia   proterpia"
-97.769574,28.402947,"Pyrisitia   proterpia"
