"lon","lat","species.name"
-90.937039,30.544326,"Satyrium   favonius"
-81.167859,28.613656,"Satyrium   favonius"
-103.865547,36.901665,"Satyrium   favonius"
-82.320963,42.716485,"Satyrium   favonius"
-82.20632,42.634799,"Satyrium   favonius"
-82.283626,42.628099,"Satyrium   favonius"
-82.315616,42.729155,"Satyrium   favonius"
-98.092411,30.060784,"Satyrium   favonius"
-97.675223,30.401189,"Satyrium   favonius"
-100.505394,30.517864,"Satyrium   favonius"
-82.45331,28.680008,"Satyrium   favonius"
-99.450504,29.932821,"Satyrium   favonius"
-100.017888,29.641338,"Satyrium   favonius"
-100.107682,29.691531,"Satyrium   favonius"
-98.104915,30.14107,"Satyrium   favonius"
-98.117418,30.19353,"Satyrium   favonius"
-83.968549,30.202781,"Satyrium   favonius"
-100.041081,29.717485,"Satyrium   favonius"
-87.37434,41.47224,"Satyrium   favonius"
-96.474213,28.496811,"Satyrium   favonius"
-80.994313,28.583592,"Satyrium   favonius"
-97.620766,30.46623,"Satyrium   favonius"
-81.447583,28.798304,"Satyrium   favonius"
-97.98761,30.35118,"Satyrium   favonius"
-81.206219,28.355511,"Satyrium   favonius"
-98.086932,30.114389,"Satyrium   favonius"
-97.60507,30.649029,"Satyrium   favonius"
-97.69127,30.239513,"Satyrium   favonius"
-95.6532,33.29383,"Satyrium   favonius"
-81.112661,28.485875,"Satyrium   favonius"
-99.188785,30.870506,"Satyrium   favonius"
-97.984184,30.776027,"Satyrium   favonius"
-98.167569,30.345244,"Satyrium   favonius"
-80.938579,28.499233,"Satyrium   favonius"
-97.160392,33.150338,"Satyrium   favonius"
-87.133239,30.363175,"Satyrium   favonius"
-98.127056,30.433411,"Satyrium   favonius"
-98.017833,30.080491,"Satyrium   favonius"
-97.166334,30.029026,"Satyrium   favonius"
-87.645454,41.894295,"Satyrium   favonius"
-82.36584,27.184385,"Satyrium   favonius"
-82.34957,27.90659,"Satyrium   favonius"
-97.940537,30.104752,"Satyrium   favonius"
-97.813761,30.014366,"Satyrium   favonius"
-97.612775,30.522091,"Satyrium   favonius"
-81.323296,28.514435,"Satyrium   favonius"
-98.089807,29.981032,"Satyrium   favonius"
-97.659521,30.49705,"Satyrium   favonius"
-98.52015,29.448671,"Satyrium   favonius"
-72.53361,41.25333,"Satyrium   favonius"
-97.982477,30.457091,"Satyrium   favonius"
-96.155181,30.325816,"Satyrium   favonius"
-97.358213,30.700917,"Satyrium   favonius"
-97.697152,30.799361,"Satyrium   favonius"
-96.972723,32.965775,"Satyrium   favonius"
-98.162854,30.357018,"Satyrium   favonius"
-98.107194,30.361065,"Satyrium   favonius"
-97.624207,30.353481,"Satyrium   favonius"
-87.43612,42.326443,"Satyrium   favonius"
-96.213841,30.566474,"Satyrium   favonius"
-97.21037,33.639168,"Satyrium   favonius"
-97.794377,30.459924,"Satyrium   favonius"
-81.08519,31.980522,"Satyrium   favonius"
-97.80591,32.777096,"Satyrium   favonius"
-95.89157,31.956842,"Satyrium   favonius"
-95.710166,32.392765,"Satyrium   favonius"
-97.654,33.219093,"Satyrium   favonius"
-97.53073,33.25855,"Satyrium   favonius"
-95.89146,31.95693,"Satyrium   favonius"
-96.60286,35.158367,"Satyrium   favonius"
-97.32309,35.206375,"Satyrium   favonius"
-72.6637,42.33946,"Satyrium   favonius"
-97.777936,30.546589,"Satyrium   favonius"
-98.979173,30.02399,"Satyrium   favonius"
-88.61135,35.420254,"Satyrium   favonius"
-97.690377,30.618352,"Satyrium   favonius"
-97.757441,30.669179,"Satyrium   favonius"
-97.276044,30.166807,"Satyrium   favonius"
-84.633902,34.201171,"Satyrium   favonius"
-82.530426,35.60937,"Satyrium   favonius"
-72.924531,41.307231,"Satyrium   favonius"
-84.2778,30.45931,"Satyrium   favonius"
-84.268423,30.480307,"Satyrium   favonius"
-98.003895,30.794317,"Satyrium   favonius"
-98.195124,30.743514,"Satyrium   favonius"
-98.2552,29.803019,"Satyrium   favonius"
-82.73952,27.903122,"Satyrium   favonius"
-81.64811,30.335245,"Satyrium   favonius"
-85.20876,30.789124,"Satyrium   favonius"
-81.34092,27.342627,"Satyrium   favonius"
-83.261955,42.284664,"Satyrium   favonius"
-80.44337,27.380775,"Satyrium   favonius"
-81.63298,33.550014,"Satyrium   favonius"
-74.69186,41.137424,"Satyrium   favonius"
-97.617565,30.288413,"Satyrium   favonius"
-82.35722,29.675741,"Satyrium   favonius"
-77.892869,33.838983,"Satyrium   favonius"
-71.17988,42.1697,"Satyrium   favonius"
-93.21509,35.91006,"Satyrium   favonius"
-81.4071,28.8244,"Satyrium   favonius"
-82.415847,28.697947,"Satyrium   favonius"
-73.38625,41.2125,"Satyrium   favonius"
-72.69875,41.79583,"Satyrium   favonius"
-72.94875,41.4625,"Satyrium   favonius"
-75.10481,39.24553,"Satyrium   favonius"
-81.4503,28.7758,"Satyrium   favonius"
-74.82711,39.28928,"Satyrium   favonius"
-82.27759,28.674512,"Satyrium   favonius"
-75.01268,39.319,"Satyrium   favonius"
-83.03,29.14,"Satyrium   favonius"
-80.209671,25.814076,"Satyrium   favonius"
-82.84,34.74,"Satyrium   favonius"
-97.905136,30.299196,"Satyrium   favonius"
-71.1067,42.4183,"Satyrium   favonius"
-71.108309,42.424159,"Satyrium   favonius"
-74.3117,40.0144,"Satyrium   favonius"
-80.4475,25.08611,"Satyrium   favonius"
-97.431,32.813,"Satyrium   favonius"
-79.32171,38.51123,"Satyrium   favonius"
-73.010033,41.35661,"Satyrium   favonius"
-79.8626,32.7941,"Satyrium   favonius"
-71.641727,41.386768,"Satyrium   favonius"
-81.42981,30.4258,"Satyrium   favonius"
-82.275,28.662,"Satyrium   favonius"
-95.61609,36.312596,"Satyrium   favonius"
-95.922072,36.060827,"Satyrium   favonius"
-81.4537,30.70496,"Satyrium   favonius"
-81.705,30.171,"Satyrium   favonius"
-72.2468,41.8081,"Satyrium   favonius"
-96.79137,30.15077,"Satyrium   favonius"
-97.85809,32.97512,"Satyrium   favonius"
-82.3818,27.8464,"Satyrium   favonius"
-95.363213,29.763229,"Satyrium   favonius"
-81.679714,29.534185,"Satyrium   favonius"
-74.31126,40.01456,"Satyrium   favonius"
-97.781949,30.334694,"Satyrium   favonius"
-82.53151,29.52997,"Satyrium   favonius"
-75.87938,38.47984,"Satyrium   favonius"
-97.7428,30.2669,"Satyrium   favonius"
-74.52182,39.66151,"Satyrium   favonius"
-81.418,31.0668,"Satyrium   favonius"
-74.21678,40.2601,"Satyrium   favonius"
-94.63846,38.989475,"Satyrium   favonius"
-81.3377895025541,27.1894301040659,"Satyrium   favonius"
-94.63357,38.99167,"Satyrium   favonius"
-82.574819,27.498928,"Satyrium   favonius"
-90.53539,38.23069,"Satyrium   favonius"
-82.364974,27.182478,"Satyrium   favonius"
-98.299332,32.767227,"Satyrium   favonius"
-99.634,35.305,"Satyrium   favonius"
-97.451012,35.214966,"Satyrium   favonius"
-98.925,36.152,"Satyrium   favonius"
-81.51037,28.680553,"Satyrium   favonius"
-97.608131,37.033627,"Satyrium   favonius"
-90.46012,38.57172,"Satyrium   favonius"
-90.355,38.954,"Satyrium   favonius"
-96.287183,37.825426,"Satyrium   favonius"
-81.50146,28.75638,"Satyrium   favonius"
-80.606689,25.37505,"Satyrium   favonius"
-80.75561,28.73638,"Satyrium   favonius"
-81.534,28.579,"Satyrium   favonius"
-98.42962,29.86894,"Satyrium   favonius"
-95.99278,36.15398,"Satyrium   favonius"
-82.045708,26.930639,"Satyrium   favonius"
-88.88533,30.395998,"Satyrium   favonius"
-83.385742,28.633532,"Satyrium   favonius"
-81.615094,30.38635,"Satyrium   favonius"
-111.642578,39.436884,"Satyrium   favonius"
