"lon","lat","species.name"
-119.636839,38.327691,"Satyrium   semiluna"
-121.723538,45.336501,"Satyrium   semiluna"
-121.711007,45.331131,"Satyrium   semiluna"
-117.516989,41.686955,"Satyrium   semiluna"
-120.580273,47.18708,"Satyrium   semiluna"
-120.033683,38.736181,"Satyrium   semiluna"
-120.411572,39.665158,"Satyrium   semiluna"
-119.634333,38.3315,"Satyrium   semiluna"
-120.000017,38.704379,"Satyrium   semiluna"
-120.521996,39.576923,"Satyrium   semiluna"
-120.67671,47.124443,"Satyrium   semiluna"
-122.19513,45.160492,"Satyrium   semiluna"
-117.839,46.201,"Satyrium   semiluna"
-108.834,42.739,"Satyrium   semiluna"
-113.53,42.268,"Satyrium   semiluna"
-112.454,42.166,"Satyrium   semiluna"
-114.356,43.697,"Satyrium   semiluna"
-111.176,42.345,"Satyrium   semiluna"
-113.279,44.458,"Satyrium   semiluna"
-113.25,44.8,"Satyrium   semiluna"
-113.986,43.294,"Satyrium   semiluna"
-113.567,42.335,"Satyrium   semiluna"
-114.727,43.874,"Satyrium   semiluna"
-113.858,42.237,"Satyrium   semiluna"
-117.971,46.324,"Satyrium   semiluna"
-113.459,43.987,"Satyrium   semiluna"
