"lon","lat","species.name"
-116.665132,33.991141,"Satyrium   sylvinus"
-116.567193,34.047397,"Satyrium   sylvinus"
-116.564648,34.169143,"Satyrium   sylvinus"
-118.773947,34.163968,"Satyrium   sylvinus"
-116.569244,34.050449,"Satyrium   sylvinus"
-121.278656,38.628612,"Satyrium   sylvinus"
-116.955278,32.714828,"Satyrium   sylvinus"
-117.883002,34.180267,"Satyrium   sylvinus"
-118.166782,34.199246,"Satyrium   sylvinus"
-116.567808,32.928029,"Satyrium   sylvinus"
-117.193706,33.430431,"Satyrium   sylvinus"
-118.651437,34.094277,"Satyrium   sylvinus"
-116.936569,33.223852,"Satyrium   sylvinus"
-116.952714,32.716508,"Satyrium   sylvinus"
-117.235691,34.339701,"Satyrium   sylvinus"
-121.177119,36.499737,"Satyrium   sylvinus"
-120.463408,39.701402,"Satyrium   sylvinus"
-118.651437,34.09427,"Satyrium   sylvinus"
-116.761362,32.714745,"Satyrium   sylvinus"
-119.146299,38.013572,"Satyrium   sylvinus"
-119.023336,38.123754,"Satyrium   sylvinus"
-121.00929,39.876647,"Satyrium   sylvinus"
-119.14779,38.01458,"Satyrium   sylvinus"
-111.097843,34.350577,"Satyrium   sylvinus"
-117.127337,34.27612,"Satyrium   sylvinus"
-119.057887,38.186142,"Satyrium   sylvinus"
-106.639011,35.841206,"Satyrium   sylvinus"
-111.783456,41.37681,"Satyrium   sylvinus"
-121.013632,39.877325,"Satyrium   sylvinus"
-123.221103,39.544411,"Satyrium   sylvinus"
-119.014998,38.149592,"Satyrium   sylvinus"
-119.146341,38.01354,"Satyrium   sylvinus"
-119.146746,38.01425,"Satyrium   sylvinus"
-121.01394,39.877202,"Satyrium   sylvinus"
-119.200476,38.355495,"Satyrium   sylvinus"
-121.01717,39.946323,"Satyrium   sylvinus"
-118.607072,37.72197,"Satyrium   sylvinus"
-119.234058,38.257639,"Satyrium   sylvinus"
-111.601934,40.083074,"Satyrium   sylvinus"
-120.726747,39.7353,"Satyrium   sylvinus"
-119.177429,38.169133,"Satyrium   sylvinus"
-117.23317,32.90755,"Satyrium   sylvinus"
-119.149482,38.015377,"Satyrium   sylvinus"
-111.992758,41.436071,"Satyrium   sylvinus"
-111.62518,40.587771,"Satyrium   sylvinus"
-117.306757,45.311908,"Satyrium   sylvinus"
-116.569199,34.050715,"Satyrium   sylvinus"
-118.604321,34.281535,"Satyrium   sylvinus"
-118.26186,34.1964,"Satyrium   sylvinus"
-117.810202,34.238238,"Satyrium   sylvinus"
-116.570134,34.05033,"Satyrium   sylvinus"
-121.15315,36.449939,"Satyrium   sylvinus"
-121.179543,36.512031,"Satyrium   sylvinus"
-117.880704,34.240899,"Satyrium   sylvinus"
-116.567808,34.042283,"Satyrium   sylvinus"
-116.658855,33.989883,"Satyrium   sylvinus"
-118.734135,34.370605,"Satyrium   sylvinus"
-116.568557,34.050203,"Satyrium   sylvinus"
-117.764563,33.608785,"Satyrium   sylvinus"
-116.567,34.048,"Satyrium   sylvinus"
-121.08079,36.497607,"Satyrium   sylvinus"
-121.191366,36.527906,"Satyrium   sylvinus"
-115.742431,30.977069,"Satyrium   sylvinus"
-117.127888,34.274062,"Satyrium   sylvinus"
-121.170659,36.490317,"Satyrium   sylvinus"
-117.701468,33.757087,"Satyrium   sylvinus"
-116.567,34.047,"Satyrium   sylvinus"
-117.070717,32.58847,"Satyrium   sylvinus"
-123.008888,38.483055,"Satyrium   sylvinus"
-117.274394,49.501555,"Satyrium   sylvinus"
