"lon","lat","species.name"
-115.65555,36.255759,"Speyeria   carolae"
-115.656216,36.255413,"Speyeria   carolae"
-115.656119,36.25556,"Speyeria   carolae"
-115.656141,36.255629,"Speyeria   carolae"
-115.665837,36.270066,"Speyeria   carolae"
-115.636455,36.27017,"Speyeria   carolae"
-115.631376,36.273869,"Speyeria   carolae"
-115.666031,36.270256,"Speyeria   carolae"
-115.666127,36.270377,"Speyeria   carolae"
-115.650959,36.257195,"Speyeria   carolae"
-115.690527,36.299992,"Speyeria   carolae"
-115.01382,36.214237,"Speyeria   carolae"
-115.645748,36.259734,"Speyeria   carolae"
-115.63462,36.25963,"Speyeria   carolae"
-115.44444,36.29472,"Speyeria   carolae"
