"lon","lat","species.name"
-80.639252,35.442746,"Speyeria   cybele"
-78.657458,36.137679,"Speyeria   cybele"
-92.232983,38.589684,"Speyeria   cybele"
-87.005409,35.305405,"Speyeria   cybele"
-93.645793,35.163963,"Speyeria   cybele"
-93.646709,35.163918,"Speyeria   cybele"
-87.351197,36.532658,"Speyeria   cybele"
-83.418976,36.206497,"Speyeria   cybele"
-84.114228,38.628303,"Speyeria   cybele"
-96.546578,39.119847,"Speyeria   cybele"
-90.693535,38.391163,"Speyeria   cybele"
-79.059373,36.031727,"Speyeria   cybele"
-80.422988,37.330742,"Speyeria   cybele"
-85.356025,33.933742,"Speyeria   cybele"
-82.228625,35.436072,"Speyeria   cybele"
-78.197788,37.09373,"Speyeria   cybele"
-79.059386,36.030242,"Speyeria   cybele"
-92.232483,38.58917,"Speyeria   cybele"
-80.802138,35.49153,"Speyeria   cybele"
-83.687955,35.952571,"Speyeria   cybele"
-83.199167,34.937284,"Speyeria   cybele"
-81.180358,35.817422,"Speyeria   cybele"
-91.158897,38.697517,"Speyeria   cybele"
-76.694288,38.800103,"Speyeria   cybele"
-91.715064,37.0895,"Speyeria   cybele"
-81.095692,40.820927,"Speyeria   cybele"
-81.152764,39.86112,"Speyeria   cybele"
-94.496542,35.795575,"Speyeria   cybele"
-76.077281,39.724769,"Speyeria   cybele"
-76.729363,39.12966,"Speyeria   cybele"
-82.477784,35.362947,"Speyeria   cybele"
-79.785082,39.581073,"Speyeria   cybele"
-92.446573,38.946228,"Speyeria   cybele"
-81.964837,36.48417,"Speyeria   cybele"
-82.754119,35.697533,"Speyeria   cybele"
-77.10827,39.112933,"Speyeria   cybele"
-83.154096,39.927762,"Speyeria   cybele"
-82.245366,41.018128,"Speyeria   cybele"
-86.016069,39.381913,"Speyeria   cybele"
-78.050154,39.694082,"Speyeria   cybele"
-82.771662,35.358047,"Speyeria   cybele"
-92.231247,38.588703,"Speyeria   cybele"
-77.799421,38.779008,"Speyeria   cybele"
-79.975137,40.294247,"Speyeria   cybele"
-96.52061,42.678603,"Speyeria   cybele"
-90.750828,40.435763,"Speyeria   cybele"
-105.804742,32.880742,"Speyeria   cybele"
-78.361487,39.668283,"Speyeria   cybele"
-81.545784,41.262379,"Speyeria   cybele"
-71.57082,42.485865,"Speyeria   cybele"
-80.403244,42.670757,"Speyeria   cybele"
-82.976686,39.957828,"Speyeria   cybele"
-83.520002,35.65843,"Speyeria   cybele"
-82.661358,35.72835,"Speyeria   cybele"
-76.694717,42.744792,"Speyeria   cybele"
-90.550156,38.551346,"Speyeria   cybele"
