"lon","lat","species.name"
-105.345266,41.197126,"Speyeria   mormonia"
-111.631017,40.655003,"Speyeria   mormonia"
-105.651217,39.973362,"Speyeria   mormonia"
-111.620085,40.57736,"Speyeria   mormonia"
-106.949973,44.322506,"Speyeria   mormonia"
-118.677537,37.767838,"Speyeria   mormonia"
-111.509895,40.590937,"Speyeria   mormonia"
-111.621922,40.664405,"Speyeria   mormonia"
-119.269599,37.95798,"Speyeria   mormonia"
-106.985322,38.944042,"Speyeria   mormonia"
-111.704701,41.910196,"Speyeria   mormonia"
-118.677432,37.76743,"Speyeria   mormonia"
-121.657753,46.919323,"Speyeria   mormonia"
-111.645533,40.43088,"Speyeria   mormonia"
-105.752899,39.411597,"Speyeria   mormonia"
-109.406473,45.025633,"Speyeria   mormonia"
-118.677483,37.767758,"Speyeria   mormonia"
-121.716917,46.792609,"Speyeria   mormonia"
-105.884094,40.762607,"Speyeria   mormonia"
-110.808063,43.618261,"Speyeria   mormonia"
-110.896005,40.643968,"Speyeria   mormonia"
-121.644975,48.916047,"Speyeria   mormonia"
-121.644988,48.916063,"Speyeria   mormonia"
-121.45421,46.923288,"Speyeria   mormonia"
-121.663099,46.908454,"Speyeria   mormonia"
-121.68653,48.842128,"Speyeria   mormonia"
-105.690388,39.871377,"Speyeria   mormonia"
-106.147444,38.306838,"Speyeria   mormonia"
-106.988992,39.070849,"Speyeria   mormonia"
-106.58854,44.04405,"Speyeria   mormonia"
-105.292485,40.715537,"Speyeria   mormonia"
-110.459996,45.48126,"Speyeria   mormonia"
-109.5936,44.492386,"Speyeria   mormonia"
-110.460305,45.481331,"Speyeria   mormonia"
-109.51395,33.95881,"Speyeria   mormonia"
-119.227667,37.954259,"Speyeria   mormonia"
-111.369039,45.343861,"Speyeria   mormonia"
-105.751527,40.447945,"Speyeria   mormonia"
-105.78417,40.444185,"Speyeria   mormonia"
-105.754077,40.447187,"Speyeria   mormonia"
-108.46184,39.019493,"Speyeria   mormonia"
-106.927743,44.566303,"Speyeria   mormonia"
-105.785886,40.442356,"Speyeria   mormonia"
-109.508114,33.96002,"Speyeria   mormonia"
-111.369051,45.343891,"Speyeria   mormonia"
-111.369077,45.343906,"Speyeria   mormonia"
-111.695681,40.570284,"Speyeria   mormonia"
-105.673266,39.88445,"Speyeria   mormonia"
-107.614853,44.586533,"Speyeria   mormonia"
-121.641754,48.921797,"Speyeria   mormonia"
-106.068546,39.367114,"Speyeria   mormonia"
-117.017072,46.715119,"Speyeria   mormonia"
-111.369229,45.344088,"Speyeria   mormonia"
-111.369044,45.343895,"Speyeria   mormonia"
-111.369055,45.343972,"Speyeria   mormonia"
-111.583504,40.588693,"Speyeria   mormonia"
-111.369029,45.343875,"Speyeria   mormonia"
-105.654113,40.008974,"Speyeria   mormonia"
-119.277111,37.976381,"Speyeria   mormonia"
-119.262992,37.909478,"Speyeria   mormonia"
-121.81577,48.49329,"Speyeria   mormonia"
-109.270507,38.540329,"Speyeria   mormonia"
-106.23466,38.03165,"Speyeria   mormonia"
-119.266695,37.971395,"Speyeria   mormonia"
-111.598843,40.582297,"Speyeria   mormonia"
-106.32925,40.663433,"Speyeria   mormonia"
-119.795609,37.753887,"Speyeria   mormonia"
-111.691078,40.674377,"Speyeria   mormonia"
-122.15323,47.051437,"Speyeria   mormonia"
-105.873292,40.542294,"Speyeria   mormonia"
-122.37744,46.58007,"Speyeria   mormonia"
-110.443904,44.785277,"Speyeria   mormonia"
-106.149387,40.581928,"Speyeria   mormonia"
-117.274394,49.501555,"Speyeria   mormonia"
-121.83643,48.84265,"Speyeria   mormonia"
-106.737261,37.813359,"Speyeria   mormonia"
-109.458546,34.009519,"Speyeria   mormonia"
-114.422805,44.82013,"Speyeria   mormonia"
-105.860972,39.711645,"Speyeria   mormonia"
-119.968083,39.037507,"Speyeria   mormonia"
-109.224056,38.529557,"Speyeria   mormonia"
-121.65233,46.91564,"Speyeria   mormonia"
-121.643286,46.916562,"Speyeria   mormonia"
-107.514722,44.550278,"Speyeria   mormonia"
-119.926887,39.328173,"Speyeria   mormonia"
-121.953224,46.02478,"Speyeria   mormonia"
-111.652182,40.639742,"Speyeria   mormonia"
-120.237089,39.431006,"Speyeria   mormonia"
-119.96471,38.02145,"Speyeria   mormonia"
-118.76667,55.67227,"Speyeria   mormonia"
-137.084656,60.31913,"Speyeria   mormonia"
-137.870522,60.821151,"Speyeria   mormonia"
-119.22769,37.953326,"Speyeria   mormonia"
-115.86113,45.702343,"Speyeria   mormonia"
-120.74014,46.45656,"Speyeria   mormonia"
-120.852005,48.572017,"Speyeria   mormonia"
-117.04,49.28,"Speyeria   mormonia"
-120.743988,48.511547,"Speyeria   mormonia"
-114.44,50.206,"Speyeria   mormonia"
-115.095929,44.266347,"Speyeria   mormonia"
-121.055913,48.468199,"Speyeria   mormonia"
-106.53073,39.156189,"Speyeria   mormonia"
-119.01406,44.496326,"Speyeria   mormonia"
-119.17,37.92,"Speyeria   mormonia"
-107.67026,37.781075,"Speyeria   mormonia"
-121.45,37.85,"Speyeria   mormonia"
-119.69103,48.550972,"Speyeria   mormonia"
-119.898434,39.161812,"Speyeria   mormonia"
-119.246603,37.906461,"Speyeria   mormonia"
-111.691371,40.606661,"Speyeria   mormonia"
-118.626167,42.72,"Speyeria   mormonia"
-118.593,42.700833,"Speyeria   mormonia"
-118.517075,48.437244,"Speyeria   mormonia"
