"lon","lat","species.name"
-97.658447,30.226486,"Staphylus   mazans"
-82.804157,28.965885,"Staphylus   mazans"
-99.768374,32.45281,"Staphylus   mazans"
-97.419367,25.851077,"Staphylus   mazans"
-96.905658,35.95115,"Staphylus   mazans"
-94.231873,36.263411,"Staphylus   mazans"
-100.238722,25.795758,"Staphylus   mazans"
-98.205656,33.81433,"Staphylus   mazans"
-97.213787,35.221527,"Staphylus   mazans"
-100.239494,25.795682,"Staphylus   mazans"
-97.635558,32.964255,"Staphylus   mazans"
-98.384436,33.755624,"Staphylus   mazans"
-78.556916,37.759634,"Staphylus   mazans"
-97.455089,35.580398,"Staphylus   mazans"
-98.135378,26.081127,"Staphylus   mazans"
-94.834839,36.091882,"Staphylus   mazans"
-81.323937,39.541917,"Staphylus   mazans"
-97.469659,35.523583,"Staphylus   mazans"
-97.063877,32.702034,"Staphylus   mazans"
-83.072272,36.28953,"Staphylus   mazans"
-97.585275,35.523888,"Staphylus   mazans"
-97.389737,28.655385,"Staphylus   mazans"
-97.641621,30.234846,"Staphylus   mazans"
-96.110461,29.82321,"Staphylus   mazans"
-97.451043,32.696953,"Staphylus   mazans"
-97.605932,30.214225,"Staphylus   mazans"
-97.566178,25.996009,"Staphylus   mazans"
-97.148452,32.99783,"Staphylus   mazans"
-97.958194,26.126433,"Staphylus   mazans"
-97.145958,33.023758,"Staphylus   mazans"
-97.529713,25.99017,"Staphylus   mazans"
-97.957868,26.126387,"Staphylus   mazans"
-98.379618,26.185863,"Staphylus   mazans"
-97.582037,26.25529,"Staphylus   mazans"
-97.957729,26.126384,"Staphylus   mazans"
-97.957807,26.125283,"Staphylus   mazans"
-98.379444,26.185498,"Staphylus   mazans"
-97.957825,26.126124,"Staphylus   mazans"
-97.13266,32.791743,"Staphylus   mazans"
-94.27499,35.19698,"Staphylus   mazans"
-97.69127,30.239513,"Staphylus   mazans"
-97.957605,26.122723,"Staphylus   mazans"
-97.646291,30.23104,"Staphylus   mazans"
-97.571851,31.790681,"Staphylus   mazans"
-96.884522,32.91333,"Staphylus   mazans"
-94.296482,35.332551,"Staphylus   mazans"
-96.962188,33.059995,"Staphylus   mazans"
-96.62126,32.523895,"Staphylus   mazans"
-97.143678,32.732951,"Staphylus   mazans"
-94.288101,35.332552,"Staphylus   mazans"
-96.974602,33.065603,"Staphylus   mazans"
-94.296727,35.332692,"Staphylus   mazans"
-96.9522,33.066719,"Staphylus   mazans"
-97.096621,32.786282,"Staphylus   mazans"
-94.987099,35.430339,"Staphylus   mazans"
-93.32632,35.513304,"Staphylus   mazans"
-77.451045,37.531422,"Staphylus   mazans"
-97.441579,35.167133,"Staphylus   mazans"
-78.162231,38.681318,"Staphylus   mazans"
-97.665528,30.169335,"Staphylus   mazans"
-78.491317,38.701806,"Staphylus   mazans"
-85.70303,37.96957,"Staphylus   mazans"
-97.680854,32.756162,"Staphylus   mazans"
-95.198561,33.927875,"Staphylus   mazans"
-93.903751,34.065416,"Staphylus   mazans"
-76.230531,39.033099,"Staphylus   mazans"
-81.013732,33.913855,"Staphylus   mazans"
-97.446487,29.486176,"Staphylus   mazans"
-94.297112,35.334954,"Staphylus   mazans"
-84.410478,39.6433,"Staphylus   mazans"
-100.26947,25.548637,"Staphylus   mazans"
-97.002858,29.96571,"Staphylus   mazans"
-97.648182,30.215252,"Staphylus   mazans"
-97.101534,32.774498,"Staphylus   mazans"
-96.865926,32.751636,"Staphylus   mazans"
-97.60507,30.649029,"Staphylus   mazans"
-94.707681,32.418869,"Staphylus   mazans"
-97.640246,30.233967,"Staphylus   mazans"
-97.417842,25.852158,"Staphylus   mazans"
-97.95771,26.123365,"Staphylus   mazans"
