"lon","lat","species.name"
-98.366481,26.179799,"Strymon   bazochii"
-100.345465,25.789378,"Strymon   bazochii"
-100.345386,25.78638,"Strymon   bazochii"
-100.345681,25.787399,"Strymon   bazochii"
-100.360328,25.618267,"Strymon   bazochii"
-100.345716,25.786472,"Strymon   bazochii"
-100.36013,25.618097,"Strymon   bazochii"
-98.366102,26.17979,"Strymon   bazochii"
-100.284317,25.677072,"Strymon   bazochii"
-98.378391,26.18997,"Strymon   bazochii"
-100.347103,25.789217,"Strymon   bazochii"
-98.365904,26.176579,"Strymon   bazochii"
-97.957503,26.126409,"Strymon   bazochii"
-100.284187,25.67721,"Strymon   bazochii"
-98.3661,26.177323,"Strymon   bazochii"
-99.14912,26.584391,"Strymon   bazochii"
-100.131987,25.408978,"Strymon   bazochii"
-100.131952,25.40869,"Strymon   bazochii"
-98.366202,26.179095,"Strymon   bazochii"
-97.662271,26.186563,"Strymon   bazochii"
-100.346678,25.790212,"Strymon   bazochii"
-98.366024,26.176944,"Strymon   bazochii"
-98.330837,26.180375,"Strymon   bazochii"
-98.36596,26.179692,"Strymon   bazochii"
-97.662958,26.185369,"Strymon   bazochii"
-98.366309,26.177488,"Strymon   bazochii"
-98.37947,26.186085,"Strymon   bazochii"
-98.378254,26.190183,"Strymon   bazochii"
-97.948563,26.132698,"Strymon   bazochii"
-98.377966,26.191489,"Strymon   bazochii"
-98.13525,26.291759,"Strymon   bazochii"
-100.270226,25.550026,"Strymon   bazochii"
-98.230509,26.175993,"Strymon   bazochii"
-97.958071,26.128318,"Strymon   bazochii"
-98.532425,26.259933,"Strymon   bazochii"
-98.134127,26.290985,"Strymon   bazochii"
-98.148122,26.072504,"Strymon   bazochii"
-98.366513,26.176568,"Strymon   bazochii"
-100.360263,25.618763,"Strymon   bazochii"
-98.365917,26.176561,"Strymon   bazochii"
-100.348746,25.788406,"Strymon   bazochii"
-100.34675,25.790328,"Strymon   bazochii"
-97.957462,26.123358,"Strymon   bazochii"
-98.366003,26.179316,"Strymon   bazochii"
-98.365941,26.17686,"Strymon   bazochii"
-97.568135,25.996695,"Strymon   bazochii"
-98.366212,26.17637,"Strymon   bazochii"
-97.902774,30.537685,"Strymon   bazochii"
-98.366375,26.17931,"Strymon   bazochii"
-98.378257,26.190223,"Strymon   bazochii"
-98.135186,26.29075,"Strymon   bazochii"
-97.957433,26.123317,"Strymon   bazochii"
-98.530138,26.271527,"Strymon   bazochii"
-98.18099,26.396383,"Strymon   bazochii"
-98.532729,26.260117,"Strymon   bazochii"
-98.381968,26.179935,"Strymon   bazochii"
-97.47896,26.102922,"Strymon   bazochii"
-98.535261,26.267018,"Strymon   bazochii"
-98.379453,26.18558,"Strymon   bazochii"
-97.95807,26.125041,"Strymon   bazochii"
-98.366479,26.179263,"Strymon   bazochii"
-98.267072,26.205407,"Strymon   bazochii"
-98.366153,26.176699,"Strymon   bazochii"
-98.365687,26.17674,"Strymon   bazochii"
-99.149277,26.584453,"Strymon   bazochii"
-97.988238,26.14719,"Strymon   bazochii"
-100.270715,25.547359,"Strymon   bazochii"
-100.963583,25.414671,"Strymon   bazochii"
-98.365767,26.176757,"Strymon   bazochii"
-98.325293,26.215907,"Strymon   bazochii"
-98.31105,26.211434,"Strymon   bazochii"
-100.355419,25.612255,"Strymon   bazochii"
-98.134963,26.291232,"Strymon   bazochii"
-100.033056,25.243056,"Strymon   bazochii"
-98.19,26.168,"Strymon   bazochii"
-100.300155753085,25.6703437999813,"Strymon   bazochii"
-112.103,31.00064,"Strymon   bazochii"
