"lon","lat","species.name"
-79.611194,35.05466,"Thorybes   bathyllus"
-88.653767,30.45167,"Thorybes   bathyllus"
-94.897365,38.879318,"Thorybes   bathyllus"
-77.920852,38.017593,"Thorybes   bathyllus"
-93.646709,35.163918,"Thorybes   bathyllus"
-94.5553,34.298985,"Thorybes   bathyllus"
-84.271985,30.369145,"Thorybes   bathyllus"
-70.561066,41.639572,"Thorybes   bathyllus"
-80.46318,42.756722,"Thorybes   bathyllus"
-80.48666,42.607126,"Thorybes   bathyllus"
-89.046959,31.125518,"Thorybes   bathyllus"
-71.157387,42.461242,"Thorybes   bathyllus"
-81.844524,33.326667,"Thorybes   bathyllus"
-80.543511,42.747182,"Thorybes   bathyllus"
-78.556916,37.759634,"Thorybes   bathyllus"
-92.318773,35.5151,"Thorybes   bathyllus"
-80.427326,42.72681,"Thorybes   bathyllus"
-85.850696,33.452025,"Thorybes   bathyllus"
-80.544676,42.630912,"Thorybes   bathyllus"
-80.541789,42.760355,"Thorybes   bathyllus"
-88.900466,31.126945,"Thorybes   bathyllus"
-94.03838,35.335525,"Thorybes   bathyllus"
-80.467506,42.691152,"Thorybes   bathyllus"
-95.730164,30.5921,"Thorybes   bathyllus"
-76.692896,38.800946,"Thorybes   bathyllus"
-95.730416,30.591919,"Thorybes   bathyllus"
-76.692052,38.801615,"Thorybes   bathyllus"
-81.009955,35.111814,"Thorybes   bathyllus"
-76.691685,38.802908,"Thorybes   bathyllus"
-76.689664,38.800884,"Thorybes   bathyllus"
-89.078809,31.251259,"Thorybes   bathyllus"
-80.094309,36.138862,"Thorybes   bathyllus"
-79.299874,33.80571,"Thorybes   bathyllus"
-81.772897,29.325418,"Thorybes   bathyllus"
-94.287372,35.332027,"Thorybes   bathyllus"
-97.502332,35.21016,"Thorybes   bathyllus"
-79.598434,35.07495,"Thorybes   bathyllus"
-93.647289,35.164407,"Thorybes   bathyllus"
-79.632995,35.087587,"Thorybes   bathyllus"
-95.686369,33.812457,"Thorybes   bathyllus"
-95.681914,33.821644,"Thorybes   bathyllus"
-81.672921,34.435505,"Thorybes   bathyllus"
-79.74608,35.0008,"Thorybes   bathyllus"
-95.69442,33.810572,"Thorybes   bathyllus"
-85.355705,33.933858,"Thorybes   bathyllus"
-76.854605,39.162992,"Thorybes   bathyllus"
-82.2205,28.872995,"Thorybes   bathyllus"
-94.023791,30.812822,"Thorybes   bathyllus"
-97.212524,35.055048,"Thorybes   bathyllus"
-73.592912,41.248322,"Thorybes   bathyllus"
-97.354357,35.344884,"Thorybes   bathyllus"
-79.263842,35.042835,"Thorybes   bathyllus"
-74.523063,40.471158,"Thorybes   bathyllus"
-79.511942,34.999291,"Thorybes   bathyllus"
-80.553647,42.633923,"Thorybes   bathyllus"
-80.499253,42.661191,"Thorybes   bathyllus"
-76.598299,40.439811,"Thorybes   bathyllus"
-80.849419,34.446358,"Thorybes   bathyllus"
-74.526554,40.47461,"Thorybes   bathyllus"
-75.12164,39.32839,"Thorybes   bathyllus"
-87.059436,33.0824,"Thorybes   bathyllus"
-85.356025,33.933722,"Thorybes   bathyllus"
-78.406591,37.785799,"Thorybes   bathyllus"
-83.375189,33.776786,"Thorybes   bathyllus"
-79.778217,33.399831,"Thorybes   bathyllus"
-82.024484,34.129652,"Thorybes   bathyllus"
-94.996796,35.904366,"Thorybes   bathyllus"
