"lon","lat","species.name"
-93.613588,48.758744,"Thymelicus   lineola"
-76.095514,44.903417,"Thymelicus   lineola"
-79.466855,43.647765,"Thymelicus   lineola"
-81.1216,46.42425,"Thymelicus   lineola"
-81.324553,42.971475,"Thymelicus   lineola"
-93.196169,44.9,"Thymelicus   lineola"
-91.2416,47.386075,"Thymelicus   lineola"
-70.548613,41.921863,"Thymelicus   lineola"
-75.883334,44.443869,"Thymelicus   lineola"
-79.881931,43.656306,"Thymelicus   lineola"
-71.570642,42.485705,"Thymelicus   lineola"
-79.403359,46.333849,"Thymelicus   lineola"
-88.412659,42.818831,"Thymelicus   lineola"
-93.129317,45.288503,"Thymelicus   lineola"
-113.375159,53.587577,"Thymelicus   lineola"
-89.764839,44.366596,"Thymelicus   lineola"
-79.070013,44.616843,"Thymelicus   lineola"
-80.482526,43.398616,"Thymelicus   lineola"
-71.766915,41.703149,"Thymelicus   lineola"
-75.834769,45.302877,"Thymelicus   lineola"
-91.8675,47.907223,"Thymelicus   lineola"
-93.832546,51.01277,"Thymelicus   lineola"
-80.111768,43.347537,"Thymelicus   lineola"
-83.556368,46.255953,"Thymelicus   lineola"
-71.199072,42.400383,"Thymelicus   lineola"
-76.877136,43.943665,"Thymelicus   lineola"
-77.240451,43.906321,"Thymelicus   lineola"
-80.205871,43.503833,"Thymelicus   lineola"
-74.1456,44.327286,"Thymelicus   lineola"
-93.25712,44.94308,"Thymelicus   lineola"
-74.786,45.016913,"Thymelicus   lineola"
-78.961872,39.587955,"Thymelicus   lineola"
-80.449193,42.655893,"Thymelicus   lineola"
-79.866503,44.84669,"Thymelicus   lineola"
-82.166433,45.713855,"Thymelicus   lineola"
-72.606463,43.171682,"Thymelicus   lineola"
-84.663887,45.015278,"Thymelicus   lineola"
-89.742531,44.351662,"Thymelicus   lineola"
-69.665577,44.560045,"Thymelicus   lineola"
-76.299665,45.167051,"Thymelicus   lineola"
-81.272149,43.044329,"Thymelicus   lineola"
-79.221607,45.384487,"Thymelicus   lineola"
-79.958191,43.534041,"Thymelicus   lineola"
-91.193463,47.400465,"Thymelicus   lineola"
-79.370838,38.840031,"Thymelicus   lineola"
-79.811997,43.5141,"Thymelicus   lineola"
-79.581377,44.55884,"Thymelicus   lineola"
-79.411567,39.104533,"Thymelicus   lineola"
-77.302731,44.477823,"Thymelicus   lineola"
-87.915974,41.648536,"Thymelicus   lineola"
-81.707821,43.759892,"Thymelicus   lineola"
-79.71355,39.148269,"Thymelicus   lineola"
-71.951928,42.308377,"Thymelicus   lineola"
-75.938667,45.388646,"Thymelicus   lineola"
-69.654656,44.552264,"Thymelicus   lineola"
-79.99743,43.515865,"Thymelicus   lineola"
-79.402142,39.253988,"Thymelicus   lineola"
-81.283048,40.720704,"Thymelicus   lineola"
-91.536275,46.013365,"Thymelicus   lineola"
-75.325682,45.476605,"Thymelicus   lineola"
-79.441887,43.936641,"Thymelicus   lineola"
-79.870588,43.31713,"Thymelicus   lineola"
-79.090116,44.567284,"Thymelicus   lineola"
-80.403778,42.670834,"Thymelicus   lineola"
-79.405275,39.263045,"Thymelicus   lineola"
-92.849137,49.790913,"Thymelicus   lineola"
-80.014336,44.750365,"Thymelicus   lineola"
-78.720487,44.896392,"Thymelicus   lineola"
-81.947331,45.955459,"Thymelicus   lineola"
-78.356763,44.657133,"Thymelicus   lineola"
-93.000969,44.89492,"Thymelicus   lineola"
-76.078908,45.38376,"Thymelicus   lineola"
-94.8606,45.337,"Thymelicus   lineola"
-97.132141,49.855939,"Thymelicus   lineola"
-78.30427,44.339864,"Thymelicus   lineola"
-75.785791,45.371486,"Thymelicus   lineola"
-76.449528,42.481022,"Thymelicus   lineola"
-79.856566,43.344395,"Thymelicus   lineola"
-79.252364,39.554868,"Thymelicus   lineola"
