"lon","lat","species.name"
-98.149531,26.073206,"Urbanus   procne"
-98.266488,26.204878,"Urbanus   procne"
-97.956934,26.126425,"Urbanus   procne"
-98.365442,26.176868,"Urbanus   procne"
-98.266472,26.204664,"Urbanus   procne"
-98.365531,26.176579,"Urbanus   procne"
-100.238451,25.795485,"Urbanus   procne"
-97.417813,25.852276,"Urbanus   procne"
-97.958,26.126777,"Urbanus   procne"
-98.229714,26.175286,"Urbanus   procne"
-98.230052,26.176653,"Urbanus   procne"
-98.134882,26.291684,"Urbanus   procne"
-97.952329,26.125911,"Urbanus   procne"
-98.192383,26.1898,"Urbanus   procne"
-98.229849,26.174678,"Urbanus   procne"
-97.568584,25.996623,"Urbanus   procne"
-98.366063,26.179546,"Urbanus   procne"
-97.989302,26.147897,"Urbanus   procne"
-98.330845,26.180403,"Urbanus   procne"
-98.2298,26.176788,"Urbanus   procne"
-98.378209,26.190443,"Urbanus   procne"
-98.219375,26.39836,"Urbanus   procne"
-98.192719,26.190088,"Urbanus   procne"
-98.365485,26.176865,"Urbanus   procne"
-98.365635,26.176857,"Urbanus   procne"
-98.137178,26.077975,"Urbanus   procne"
-98.229919,26.177629,"Urbanus   procne"
-100.139818,25.300262,"Urbanus   procne"
-98.366493,26.179835,"Urbanus   procne"
-98.135378,26.081127,"Urbanus   procne"
-97.988238,26.14719,"Urbanus   procne"
-98.157467,26.16138,"Urbanus   procne"
-100.206598,25.639303,"Urbanus   procne"
-97.206719,26.077178,"Urbanus   procne"
-100.299999,25.703738,"Urbanus   procne"
-98.13495,26.291951,"Urbanus   procne"
-97.953108,26.123228,"Urbanus   procne"
-98.134885,26.292005,"Urbanus   procne"
-97.568354,25.9968,"Urbanus   procne"
-97.957697,26.124238,"Urbanus   procne"
-97.664708,26.184421,"Urbanus   procne"
-98.330516,26.182649,"Urbanus   procne"
-97.56612,25.986337,"Urbanus   procne"
-100.284873,25.595627,"Urbanus   procne"
-97.568505,25.996548,"Urbanus   procne"
-98.203116,26.377559,"Urbanus   procne"
-97.958544,26.126849,"Urbanus   procne"
-98.192635,26.189863,"Urbanus   procne"
-98.330801,26.182963,"Urbanus   procne"
-97.727944,26.159725,"Urbanus   procne"
-98.141007,26.080463,"Urbanus   procne"
-97.989083,26.147196,"Urbanus   procne"
-97.966003,26.062943,"Urbanus   procne"
-97.39702,25.840638,"Urbanus   procne"
-97.989722,26.1474,"Urbanus   procne"
-97.568507,25.996632,"Urbanus   procne"
-97.957807,26.125283,"Urbanus   procne"
-97.66448,26.184328,"Urbanus   procne"
